Title,Tags,Link,With Code,matched_keywords,performance issue,factor,description,tag,problems root causes,how to fix,label_1,label_2,final_label
Get access to data directory for private data storage,"android,file-permissions,data-storage,android-device-monitor",https://stackoverflow.com/questions/36262502/get-access-to-data-directory-for-private-data-storage,True,data storage,No,No,,,,,0,0,0
Out of Memory Error when loading images to a View Pager from File,"android,android-fragments,android-viewpager,out-of-memory,android-drawable",https://stackoverflow.com/questions/36240545/out-of-memory-error-when-loading-images-to-a-view-pager-from-file,True,out of memory,Memory Consumption,"Image
AsyncTask
Massive Data",,,,,1,1,1
Memory Leak in CursorLoader,"android,memory-leaks,loader",https://stackoverflow.com/questions/36208444/memory-leak-in-cursorloader,True,memory leak,Memory Consumption,Fragment,,,,,1,1,1
Android onDraw delay by X seconds with handler makes UI sluggish,"android,handler",https://stackoverflow.com/questions/36181587/android-ondraw-delay-by-x-seconds-with-handler-makes-ui-sluggish,True,sluggish,Responsiveness,Main Thread,,,,,1,1,1
Prevent memory leak in Android,"android,performance,memory,memory-leaks",https://stackoverflow.com/questions/36179116/prevent-memory-leak-in-android,True,memory leak,No,No,,,,,0,0,0
Out of Memory error on createbitmap,"android,image",https://stackoverflow.com/questions/36178160/out-of-memory-error-on-createbitmap,True,out of memory,Memory Consumption,Image,,,,,1,1,1
Memory Leak issue : com.example.android.uamp.ui.FullScreenPlayerActivity has leaked,"android,memory-leaks,exoplayer",https://stackoverflow.com/questions/36170914/memory-leak-issue-com-example-android-uamp-ui-fullscreenplayeractivity-has-lea,True,memory leak,Memory Consumption,Activity,,,,,1,1,1
ByteArrayOutputStream Out of Memory error when send over socket,"android,memory-leaks,garbage-collection,out-of-memory,bytearrayoutputstream",https://stackoverflow.com/questions/36162632/bytearrayoutputstream-out-of-memory-error-when-send-over-socket,True,out of memory,Memory Consumption,Massive Data,,,,,1,1,1
Maps API Memory Leak,"android,dictionary,memory,memory-leaks",https://stackoverflow.com/questions/36151123/maps-api-memory-leak,True,memory leak,Memory Consumption,Fragment,,,,,1,1,1
Slow and unresponsive activity in Android,"java,android,multithreading,optimization",https://stackoverflow.com/questions/36145181/slow-and-unresponsive-activity-in-android,True,unresponsive,Responsiveness,"Main Thread
Resource",,,,,1,1,1
