commit_Link,commit_Title,commit_Description,issue_Id,issue_link,matched_keywords
https://github.com/celzero/rethink-app/commit/d862261b3542818607298154180ea9df6d646041,new overall data usage stat on stats screen main ui,,,,data usage
https://github.com/celzero/rethink-app/commit/4ad8f19fc6cfb3ebd3837ab518d2845c1fa91e3e,show data usage stats in Statistics screen,,,,data usage
https://github.com/celzero/rethink-app/commit/7e831268ffaea05ae1ca10a4e4b553b020cd3633,schedule data usage job in play store version,,,,data usage
https://github.com/celzero/rethink-app/commit/f1a1a6a6e8b22971d2d798b98a6cacd7db40440a,ui changes to show data usage per conn & by app,,,,data usage
https://github.com/celzero/rethink-app/commit/8ed466f6406fb38b3afddead92ee2167b55fb101,App info screen revamp,"Issue: slowness or ANR while loading the appwise
network logs in app info screen.

Introduced new pagedadapter to provide the
source to recycler view.

App screen revamp to resolve the slowness
while loading the screen.",,, ANR 
https://github.com/celzero/rethink-app/commit/dd05861fb080b25a222bef9a55dd68b7844dfac3,UI related changes,"Issue fix: ANR when user clicks on add button when there is more than 1000+ custom
IPs added to the list.

Other minor UI changes.",,, ANR 
https://github.com/celzero/rethink-app/commit/3dceebc51b9d8271b73194f43d1b996c54afd239,"Dependencies, paging v2 to 3 migration, issue fix","Migrate from paging version 2 to 3.

dependencies are updated to latest version.

Retry mechanism for OkHttp connection
request with different custom dns.
Earlier only quad9 is used as custom DNS,
now on failure okhttp request will use
cloudflare, google to as custom dns.

Fix: Freeform multiwindow crash#391Fix: Blocklist update
Fix: Universal custom allow/block IP
feature screen caused ANR/slowness in
loading when there is more number of entries.

Forward DNS request to Orbot if One-touch
Orbot is enabled.

Increase Glide cache size limit to 350 mb.

Removed some of unused strings.xml.",,,cache size
https://github.com/celzero/rethink-app/commit/e1ba3005f69987663adf7d38d902ad8a4a37621f,Quantile estimates way off,"Since network latencies fluctuate a lot, especially on mobile networks,
the latency calculation jumps around and points to values that are way
off than the actual median, and when that happens, the estimator takes
longer than desirable to converge on to the actual median.

Increase the sample size from 5 to 30, which does increase computation
cost but in turn handles the network latency distribution quite well from what
simulations tell us.

Former-commit-id:9a04087",,,"latency
network latency"
https://github.com/celzero/rethink-app/commit/81b190451e58cfbdf93403a98db9ecc5cfe03f6a,Remove Quantile estimation from Shared preference,"Quantile estimation is performed for every DNS requests.
Removed shared preference write for every DNS request

PersistentState.setMedianLatency()


Former-commit-id:ed0074a",,,latency
https://github.com/celzero/rethink-app/commit/d40bb281156e4a63468f282f40c5b0526158d126,"Cleanup of downloaded files, Quantile Measurement fix","#182- Clean up the folder which had the old download files.
This was introduced in v053, before that the files downloaded as
part of blocklists are stored in external files dir by the
DownloadManager and moved to canonicalPath.
Now in v053 we are moving the files from external dir to canonical
path. So deleting the old files in the external directory. Introduced
two methods in Utilities.#180- Fixed the quantile reset logic. Now the latency calculation
reset will happen when there is a change in the DNS configuration
and for every 1000 requests for now.#175- Now check for update will see the source of the app
download and the prompt will be shown to the user based on that.

Issue fix - Fix for DNS changing from CloudFlare security to Default DNS.


Former-commit-id:3608c42",,,latency
