HTML_URL,Title,Body,Labels,matched_keywords
https://github.com/ivpn/android-app/issues/220,Latency information not displayed in the list of servers,"### Description:
Occasionally, when switching between protocols or when manually refreshing the servers latency, it is observed that the latency information is missing.
I noticed the issue because sometimes the app was selecting different servers when switching protocols while ""fastest server"" was selected.

### Expected result:
App should always display the latency information when switching between protocols or when manually refreshing the servers latency.

### Steps to reproduce:
1. Install 2.8.4 or beta 2.8.6.
2. Login.
3. Make sure the latency values are present in the list of servers.
4. Select fastest server.
5. Refresh the servers latency repeatedly until the issue occurs.
6. Alternatively, change the protocols several times, from WireGuard to OpenVPN and vice versa, until the issue occurs.

### Environment:
IVPN: 2.8.4 or beta 2.8.6
OS: Samsung Galaxy S10 Android 11","['type: bug', 'priority: medium']",latency
https://github.com/ivpn/android-app/issues/156,Server list ping times are not correct,"# Bug report

## Describe your environment

* Device: Pixel 6  
* OS name and version: __Android 13 September 2022 update___  
* IVPN app version: ___2.8.3 (and 2.8.2)__  
  
## Describe the problem

A customer reports:

> When connecting to ivpn fastest server, it connects to a server in Netherlands, which is 100's of miles away from me and should have a high ping. (Download speeds, and rendering of simple webpages takes a lot longer than they should on this server)

> When looking at the list of servers, most show a 0ms ping, 1 showing a 2ms ping. This doesn't appear accurate. 

> I just followed your instructions and the issue still persist.
> Logout, clear data of ivpn app, uninstall, reboot device, reinstall app via website apk.

![android-2 8 3-latency-pixel6](https://user-images.githubusercontent.com/74565577/194389162-7797a487-23be-4d93-aa2e-9f6a52af9945.png)
",['type: bug'],latency
https://github.com/zaneschepke/wgtunnel/issues/87,[FEATURE] - Local HTTP/SOCKS5 proxy mode for use with other VPNs,"**Is your feature request related to a problem? Please describe.**
For quite a long time now I've always been torn between using the best ad blocker for Android, AdGuard, and using Cloudflare Warp via WireGuard for faster internet (no video buffering, less ping in video games, etc). I can't use both because Android only allows one VPN active at a time. AdGuard does have an automatic proxy mode for rooted devices to allow using WireGuard with it though, but ad filtering will not work if an ipv6 address is specified in the WireGuard config, which must result in me essentially connecting to ipv4 only, in order to continue experiencing the best of both AdGuard and Cloudflare Warp.

**Describe the solution you'd like**
A mode in WG Tunnel that allows exposing configs to other compatible VPNs, like AdGuard, in a form of a local (127.0.0.1:xxxx) HTTP and/or SOCKS5 inbound proxy. In this manner, AdGuard, in it's regular VPN mode can filter ads in both ipv4 and ipv6 connections like normal, but through the proxy, so that I may also experience the benefits of Cloudflare Warp.

**Describe alternatives you've considered**
- Kernel userspace mode in WireGuard: with that enabled, whether AdGuard is in VPN mode or automatic proxy, the same undesirable results occur so long as an ipv6 config is specified in the WireGuard config.
- SagerNet (depreciated; based on v2-ray) & successor, sing-box (based on sing-box): both SagerNet and sing-box cannot refresh its proxy connection automatically, so when the Android device regains cell service or connects/disconnects from Wifi, all apps not excluded from AdGuard filtering in VPN mode will not connect to the internet until the responsible proxy app is manually stopped and restarted.
- SagerNet fork, Matsuri (depreciated; based on v2-ray) & successor, NekoBoxForAndroid (based on sing-box): Matsuri, like SagerNet, did not well support WireGuard configs, as the app's base arch, v2-ray, does not support WireGuard configs at all, so connections were often unstable; NekoBoxForAndroid, like both Matsuri and SagerNet, 1): have a lot more settings that I deem unnecessary, unappealing, and just confusing for my use case, that, if tampered with, with limited proper knowledge of them, can drastically affect the connection for better or worse, and 2): are simply battery drainers compared to sing-box and WireGuard itself.

**Additional context**
I recently found another GitHub project called [Wireproxy](https://github.com/pufferffish/wireproxy). I haven't tried it, but, given the description of the project, it seems to present the solution related to my issue, it's just not made for Android. Hopefully it's content helps though.
",['enhancement'],battery drain
https://github.com/emanuele-f/PCAPdroid/issues/398,Improve full payload mode,"The current implementation of the full payload option is quite limiting, as it's almost ""all or nothing"". With the introduction of the decryption rules, since the TLS decryption can now happen during normal monitoring, it's often necessary to review some decrypted data in full while avoiding the app from going out of memory because of the full payload.

In essence we need a more dynamic approach, here are some ideas:
- give the user the ability to selectively enable the full payload at runtime. Also possibly evaluate to enable it always for decrypted connections
- always keep the most recent x MB of payload in memory, so that the user can always review the most recent connections payload
- possibly implement an alternative file-backed payload dump to overcome the ram limits",['enhancement'],out of memory
https://github.com/osociety/vernet/issues/14,Start scanning ports automatically when pressing on scanned device,"Start scanning ports automatically when pressing on scanned device

When clicking on a device from scan for devices list I would expect that it will start scanning ports for me.

But I need to press `Scan` each time.

Another thing (maybe it is just me) I would love to see details only about the device, without all the options to scan google.com etc.
Show me all the information that it can give me about the device, ports mac address host name mDNS response time, perhaps option to ping again and option to traceroute.
 
Dedicated page for the device that I have clicked on.","['enhancement', 'feature request']",response time
https://github.com/Exodus-Privacy/exodus-android-app/issues/85,on-device analysis,"I was just thinking about the whole region-specific problem as well as app size limit.

With ClassyShark3xodus and all, why not do more on-device analysis which would then upload the results to Exodus' server?

You could do code analysis w/ jadx (or whatever),  network analysis w/ NetGuard or this fork https://github.com/OxfordHCC/tracker-control-android, then upload the results.

That might aid in server resources and get more reports.","['enhancement', 'question']",app size
https://github.com/beemdevelopment/Aegis/issues/1183,ANR after biometric authentication,"We received an email from a user who is encountering ANR popups after unlocking Aegis using biometric authentication (but not if they unlock using their password). They also sent over a screen recording, but since it contains some personal information, I won't share it here. I'll describe it instead:
- Aegis is launched
- The biometric prompt is shown and the user authenticates
- The biometric prompt is closed and the app then visibly hangs in ``AuthActivity`` for 5 seconds or so
- ``AuthActivity`` closes and ``MainActivity`` opens
- The user gets ANR prompts once every couple of seconds, even though the app appears to remain responsive throughout this.

They're using Aegis on a **Sony XQ-DC54** running **Android 13**.

They've also sent us a bugreport ZIP that gives us some more insight into what is happening. Just before Android reports the ANR, the following is seen in the log:

```
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - BEGIN ###
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: When extracting from a bug report, please include this header
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: and all 2 records below.
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) IKeystoreOperation::update Pending: 1.500838281s Overdue 1.000843021s
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) Operation::update: calling update Pending: 1.500811093s Overdue 1.00081203s
09-08 15:59:22.658  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - END ###
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - BEGIN ###
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: When extracting from a bug report, please include this header
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: and all 2 records below.
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) IKeystoreOperation::update Pending: 2.501168436s Overdue 2.001173229s
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) Operation::update: calling update Pending: 2.501141822s Overdue 2.001142707s
09-08 15:59:23.659  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - END ###
09-08 15:59:24.659  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - BEGIN ###
09-08 15:59:24.659  1017   699 28594 W keystore2: keystore2::watchdog: When extracting from a bug report, please include this header
09-08 15:59:24.660  1017   699 28594 W keystore2: keystore2::watchdog: and all 2 records below.
09-08 15:59:24.660  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) IKeystoreOperation::update Pending: 3.502164999s Overdue 3.002170416s
09-08 15:59:24.660  1017   699 28594 W keystore2: keystore2::watchdog: ThreadId(19) Operation::update: calling update Pending: 3.502149582s Overdue 3.002150623s
09-08 15:59:24.660  1017   699 28594 W keystore2: keystore2::watchdog: ### Keystore Watchdog report - END ###
```

Looking at the backtrace of the main thread at the moment of the ANR, we can see that Aegis is communicating with the Keystore service to decrypt the biometric key slot. We see something similar when they're trying to set up biometrics through Aegis' settings menu.

```
""main"" prio=5 tid=1 Native
  | group=""main"" sCount=1 ucsCount=0 flags=1 obj=0x7275cae8 self=0xb400007035ab9be0
  | sysTid=20265 nice=-10 cgrp=top-app sched=0/0 handle=0x72041884f8
  | state=S schedstat=( 187068401 24628019 325 ) utm=10 stm=8 core=0 HZ=100
  | stack=0x7fdcea6000-0x7fdcea8000 stackSize=8188KB
  | held mutexes=
  native: #00 pc 00000000000a5b8c  /apex/com.android.runtime/lib64/bionic/libc.so (__ioctl+12) (BuildId: 2938f6235116cbc48464ee0f7622625e)
  native: #01 pc 000000000005c9e0  /apex/com.android.runtime/lib64/bionic/libc.so (ioctl+160) (BuildId: 2938f6235116cbc48464ee0f7622625e)
  native: #02 pc 000000000005c2a0  /system/lib64/libbinder.so (android::IPCThreadState::talkWithDriver(bool)+284) (BuildId: af2c6edea56d998ea36c11c3b4123011)
  native: #03 pc 000000000005d4fc  /system/lib64/libbinder.so (android::IPCThreadState::waitForResponse(android::Parcel*, int*)+76) (BuildId: af2c6edea56d998ea36c11c3b4123011)
  native: #04 pc 000000000005d238  /system/lib64/libbinder.so (android::IPCThreadState::transact(int, unsigned int, android::Parcel const&, android::Parcel*, unsigned int)+224) (BuildId: af2c6edea56d998ea36c11c3b4123011)
  native: #05 pc 0000000000054a44  /system/lib64/libbinder.so (android::BpBinder::transact(unsigned int, android::Parcel const&, android::Parcel*, unsigned int)+192) (BuildId: af2c6edea56d998ea36c11c3b4123011)
  native: #06 pc 0000000000175bb8  /system/lib64/libandroid_runtime.so (android_os_BinderProxy_transact(_JNIEnv*, _jobject*, int, _jobject*, _jobject*, int)+156) (BuildId: 9fd640b0990deb09d17a2a91aa61b073)
  at android.os.BinderProxy.transactNative(Native method)
  at android.os.BinderProxy.transact(BinderProxy.java:584)
  at android.system.keystore2.IKeystoreOperation$Stub$Proxy.update(IKeystoreOperation.java:191)
  at android.security.KeyStoreOperation.lambda$update$1$android-security-KeyStoreOperation(KeyStoreOperation.java:115)
  at android.security.KeyStoreOperation$$ExternalSyntheticLambda1.execute(unavailable:4)
  at android.security.KeyStoreOperation.handleExceptions(KeyStoreOperation.java:69)
  at android.security.KeyStoreOperation.update(KeyStoreOperation.java:115)
  at android.security.keystore2.KeyStoreCryptoOperationChunkedStreamer$MainDataStream.update(KeyStoreCryptoOperationChunkedStreamer.java:222)
  at android.security.keystore2.KeyStoreCryptoOperationChunkedStreamer.update(KeyStoreCryptoOperationChunkedStreamer.java:156)
  at android.security.keystore2.KeyStoreCryptoOperationChunkedStreamer.doFinal(KeyStoreCryptoOperationChunkedStreamer.java:179)
  at android.security.keystore2.AndroidKeyStoreAuthenticatedAESCipherSpi$BufferAllOutputUntilDoFinalStreamer.doFinal(AndroidKeyStoreAuthenticatedAESCipherSpi.java:396)
  at android.security.keystore2.AndroidKeyStoreCipherSpiBase.engineDoFinal(AndroidKeyStoreCipherSpiBase.java:603)
  at javax.crypto.Cipher.doFinal(Cipher.java:2056)
  at kotlin.LazyKt__LazyKt.decrypt(SourceFile:18)
  at com.beemdevelopment.aegis.vault.slots.RawSlot.getKey(SourceFile:7)
  at androidx.biometric.BiometricViewModel$1.onAuthenticationSucceeded(SourceFile:28)
  at androidx.core.app.ActivityRecreator$1.run(SourceFile:197)
  at android.os.Handler.handleCallback(Handler.java:942)
  at android.os.Handler.dispatchMessage(Handler.java:99)
  at android.os.Looper.loopOnce(Looper.java:346)
  at android.os.Looper.loop(Looper.java:475)
  at android.app.ActivityThread.main(ActivityThread.java:7950)
  at java.lang.reflect.Method.invoke(Native method)
  at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:548)
  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:942)
```

It would not be a surprise that waiting for multiple seconds for a response from the Keystore service, on the main thread, is eventually going to result in Android finding that your app is not responsive. We should consider moving this off the main thread. I still don't understand why the user keeps getting ANR popups though, even after the app is responsive again.",['bug'], ANR 
https://github.com/ukanth/afwall/issues/1368,App hangs in retrieving log data,"When you select view log from menu app hangs and becomes unresponsive with the message is ""Working"" ""Retrieving log data""
AFWall 3.6.0 donate
Android 13

",['Review'],unresponsive
https://github.com/nandan-desai-extras/PrivacyBreacher/issues/15,List Tracking identifiers,"App with no prems can use several Tracking identifiers, list them by:
- ff they change across profiles
- if factory reset change them
- if app re-installation in the same profile change them
- if user can re-set them
- are they exists in stock android (degoogled) or require GooglePlayServices.

For ANDROID_ID opened issue: #8

Below some DRM IDs: (more info at: https://beltran.work/blog/2018-03-27-device-unique-id-android/)
```kotlin
val COMMON_PSSH_UUID = UUID(0x1077EFECC0B24D02L, -0x531cc3e1ad1d04b5L)
val CLEARKEY_UUID = UUID(-0x1d8e62a7567a4c37L, 0x781AB030AF78D30EL)
val PLAYREADY_UUID = UUID(-0x65fb0f8667bfbd7aL, -0x546d19a41f77a06bL)
val WIDEVINE_UUID = UUID(-0x121074568629b532L, -0x5c37d8232ae2de13L)

val drumIDByteArray = MediaDrm(WIDEVINE_UUID).getPropertyByteArray(MediaDrm.PROPERTY_DEVICE_UNIQUE_ID)
val drumID = android.util.Base64.encodeToString(drumIDByteArray,android.util.Base64.DEFAULT)
```

Store Random UUID in external-storage App-Specific folder (`getExternalFilesDir()`) or other place (need to survive re-installation, thus external storage...)
more info: https://medium.com/@khambhaytajaydip/android-unique-device-id-414aca1eaa09

```kotlin
var uniqueID = UUID.randomUUID().toString()
```

getAdvertisingIdInfo
https://developers.google.com/android/reference/com/google/android/gms/ads/identifier/AdvertisingIdClient

FID - FirebaseInstallations  getId() 
https://firebase.google.com/docs/reference/android/com/google/firebase/installations/FirebaseInstallations#getId()

more info & more methods in:
https://stackoverflow.com/questions/2785485/is-there-a-unique-android-device-id
https://stackoverflow.com/questions/2785485/is-there-a-unique-android-device-id?page=2
https://stackoverflow.com/questions/4468248/unique-id-of-android-device
https://ssaurel.medium.com/how-to-retrieve-an-unique-id-to-identify-android-devices-6f99fd5369eb
https://en.proft.me/2017/06/13/how-get-unique-id-identify-android-devices/
https://developer.android.com/training/articles/user-data-ids",['feature'], FF 
https://github.com/xmikos/SnooperStopper/issues/12,Causes battery drop after reboot,"I'm using CM13 and I have read https://github.com/xmikos/SnooperStopper/issues/8, but I have a different issue.

Because actually my device is _not_ encrypted. However the reboot option still works (as I expect it), but strange things happen when it is triggered.

Because actually my battery level drops of several percent after rebooting the device:
![snooperstopperreboot](https://cloud.githubusercontent.com/assets/11966684/15159132/528e2fc6-16f3-11e6-9448-64674f699052.png)

I could reproduce it too times (and only realized it was caused by this app the second time) and afterwards I had to [recalibrate my battery](https://android.stackexchange.com/questions/39746/is-there-an-efficient-way-to-calibrate-the-battery-than-using-some-apps).
As you can image I'm not really keen on reproducing this again...
",[],battery drop
