AppId,Content,ReviewCreatedVersion,ReviewTime,matched_keywords,performance issue,tag,label_1,label_2,final_label
com.woolworths.rewards,"When boosting products for the points, on check out extra points weren't received. Now I have to contact woolworths to fix the error. App is also sluggish for me on the latest version, running Android 10 also.",22.16.0,20220826,sluggish,Responsiveness,,1,1,1
com.microsoft.emmx,"Please answer me, How can I set video player on website manually to restrict data usage? I have search a lot but didn't find any solution! There is not any option to set. [There is not sit permission]. I use Android 13",122.0.2365.56,20240308,data usage,No,,0,0,0
org.telegram.messenger,"A Telegram user found my activeness in a group annoying and reported me for spam. My account was limited for days without hearing my own side of the story. The only option I was left with when I checked in with the Spam Info Bot was to admit that I was wrong, which I did but wasn't released from the restrictions still. I think this is unfair. Edit: I keep getting restricted for another three days over and over again. Telegram support is unresponsive. You only get to chat with a bot.",10.12.0,20240524,unresponsive,No,,0,0,0
com.netflix.mediaclient,"I find it amazing that the pricing for the subscription increased whilst the quality dropped significantly. Since the last update video keeps freezing on my S8 and the app becomes unresponsive making it almost unusable. Sometimes audio continues while no picture shows up, even with all other apps closed and a strong internet connection. Thoroughly disappointed and unimpressed.",7.50.0 build 17 34771,20200407,unresponsive,Responsiveness,,1,1,1
com.waze,"Has saved myself and many people I know a substantial amount of time, frustration and MONEY. My only requests for updates are some additional vehicles types, better quality voice overs and a bug... most importantly... to decrease the amount of battery draw Because if your Battery is low,l map disappears completely. I was on 3% and changing, The phone kept shutting down with only the waze app operating. Needless to say I didn't make it to a very important engagement That was a once in a lifeti",4.101.0.1,20240511,battery draw,Energy Consumption,,1,1,1
com.waze,"I believe Waze participated in a worst user experience Olympics and won the 
first place. Waze defeated even Google Maps navigation in terms of 
inconvenience. It looks like Waze arranged the championship on how to 
complicate the most common use cases, how to make the most used user 
actions multi-steps and time-consuming. Didn't you do a quality assurance 
for narration? Why Ukrainian ""Marichka"" is mumbling and make the driver 
straining the ears on to understand what she's saying? I never met such a 
low-quality narration - everyone makes it better. If I want to zoom-out 
while driving - I try to pinch the map and instead of zooming-out it 
rotates the map. Then I try to zoom-out with on-screen controls, but they 
are so small and the interface is so unresponsive and jagged, so I give up. 
That's no go, guys. I'm very sorry.",4.99.0.2,20231110,unresponsive,Responsiveness,,1,1,1
com.sec.android.easyMover,"!!Beware!!😨 this is a (Renamed- ""Samsung Bloatware"" App)😩😣And just as worthless, as was 7 years ago...When it was pre-installed in my Samsung phone...Or actually it's even worse, and totally Useless...Being Samsung has made it incompatable anr un-updateable for my phone...Still cant even ""disable it, much less delete it...And worst of all, it still runs, using up data, memory and running down battery😩 👎😬""Shame on You Samsung""😬👎",,20211025, ANR ,"Storage Consumption
Memory Consumption
Energy Consumption",,1,1,1
com.discord,"Edit: It is fixed The app keeps crashing whenever I open a forum post. And then upon restarting the app, the same forum post is open and the app crashes again. Can't change channel in the sidebar as that is unresponsive before the app crashes, and can't type anything into chat to be able to change channel either. App is up-to-date, force closing and restarting the app doesn't work, and even after restarting the phone the same forum post open, leading to crashing. The app is completely unusable.",230.15 - Stable,20240528,unresponsive,Responsiveness,,1,1,1
com.google.android.apps.authenticator2,"Bug Report: - Issue with rearranging key order: The app freezes and becomes unresponsive. - Synchronization across devices is inconsistent. Occasionally, a ""-1"" is added to the key name, leading to discrepancies on different devices. - This inconsistency has resulted in the permanent loss of some keys for me, when removing redundent keys. Caution advised!",6.0,20230823,unresponsive,Responsiveness,,1,1,1
com.finch.finch,I do love this cute app. My only issue has ever been is it is sooo slow and sluggish if I try to add or edit tasks on the journeys tasks list. One of the slowest glitchiest apps I have. This is particularly frustrating as it's a productivity app and it occurs when you're trying to be super productive and get everything down quick. I've been using it for over a year and although there have been a few tweaks here and there this issue has never improved.,3.69.8,20240405,sluggish,Responsiveness,example,1,1,1
au.com.optus.selfservice,Edit: They reverted the data usage meter! Much better now. Can no longer see how you're doing with data compared to how long there is left in the month. Much harder to keep track of,5.12.1,20200518,data usage,No,,0,0,0
com.indeed.android.jobsearch,"Great app. However, when opening a link off-site, the app becomes buggy and slow, at time unresponsive. Best to open them in a dedicated web browser.",168.0,20240223,unresponsive,Responsiveness,,1,1,1
au.com.nab.mobile,"Update 14/09/2020 The battery drain issue was resolved. Rewarding NAB with 4 more stars. The battery drain is causing inconvenience. The NAB app has drained 26% battery since the last charge. This issue has been persisting for over two months now and the only update we have is, 'we are investigating'. Sorry, but someone in your IT department is not doing their job right. Someone needs to take their finger out and get the job done. It should not take months to investigate a battery drain issue.",9.56.0,20200915,battery drain,Energy Consumption,example,1,1,1
au.com.nab.mobile,"Battery draining turd....fix by tomorrow or new bank account. They updated the app still no change, so I'll be moving to com bank as soon as I get a day off. What incompetents....this issues been going on for over a month.",9.36.0,20190926,battery drain,Energy Consumption,example,1,1,1
org.westpac.bank,"2019..no problems on my android, easy to use.< .... 29/07/2021> This app must have caught the Delta strain! Twice in the last couple of months it has crashed, is sluggish and only shows certain things, even has weird subject numbers instead of titles. Tanya, you sound like a bott...if ppl are complaining here about the app why tell them to contact Westpac by email?? Pointless and time wasting...fix the app and get rid of the bugs your not admitting it has.",9.54,20210719,sluggish,Responsiveness,,1,1,1
com.plexapp.android,Latest update has MASSIVE battery drain issue. Set a movie to play on my Chromecast (not my phone) and by the time it was over I had lost 1/3 of my battery. Phone is noticably warmer than usual. Closed app and it continued to use another 1/3 of my battery with nothing playing at all... Never had issue like this before woth the app. Just started last few days.,8.8.1.21332,20201102,battery drain,Energy Consumption,,1,1,1
com.google.earth,"Brilliant. But how about a Go version like for Google Maps and Google Search apps to save internal storage space? Every time a full size version of a Google app gets updated it eats up even more internal storage space. Even if you have a mini SD card to increase storage space in your device, if there's not enough storage space in your internal storage it won't install certain updates or new apps from Google Play store, you have to uninstall updates or apps before reinstalling updates and apps.",9.3.1.6,20191202,storage space,Storage Consumption,,1,1,1
com.google.earth,"Please be reminded that before using this app, check the RAM (random acces memory) capacity first! Or else when opened with other apps or multiple apps being installed and been activated with data because these generates notification just like social media apps and other apps keeps running. There will be RAM running abnormalities. Specially those 3GB RAM capacity phones. I suggest when using this app is to cancel all the data usage of apps and running apps focus the use only on Google Earth.",,20201208,data usage,Memory Consumption,,1,1,1
com.chating.messages.chat.fun,Needs to be quicker response time between messages.,5.85.1,20240323,response time,Responsiveness,,1,1,1
com.symantec.mobilesecurity,"Since Norton 360 saved me from hackers, it rescued my phone from an app whose data usage was excessive to the tune of 45gb and put it into deep sleep while it was running. No idea it could do that. 2) There have been 8 times when Norton detected malicious software and helped uninstall it. 3) It detected a bogus MAC address in a game I just installed and was loading for the first time. It shut it down and gave the bogus MAC address. GET NORTON 360, or you'll be sorry.",5.84.3.240409924,20240506,data usage,No,,0,0,0
com.mxtech.videoplayer.pro,"I'm frustrated, I used to have an option in MX Player that makes PiP player buttons ff and rewind - but I don't see it on Pro version.. And it's really crutual, while working on educational videos.. will it be here, or I can't find it?",1.74.7,20231223, FF ,No,,0,0,0
