keyword,title,publication
mobile_battery,"SERENUS: Alleviating Low-Battery Anxiety Through Real-time, Accurate, and User-Friendly Energy Consumption Prediction of Mobile Applications",UIST '24: Proceedings of the 37th Annual ACM Symposium on User Interface Software and Technology
mobile_battery,MixMax: Leveraging Heterogeneous Batteries to Alleviate Low Battery Experience for Mobile Users,"MobiSys '23: Proceedings of the 21st Annual International Conference on Mobile Systems, Applications and Services"
mobile_battery,Optimization of the battery swapping station to power up mobile and stationary loads,e-Energy '22: Proceedings of the Thirteenth ACM International Conference on Future Energy Systems
mobile_battery,Toward Customized Hybrid Fuel-Cell and Battery-powered Mobile Device for Individual Users,"ACM Transactions on Embedded Computing Systems (TECS), Volume 18, Issue 6"
mobile_battery,Environment-aware estimation of battery state-of-charge for mobile devices,ICCPS '19: Proceedings of the 10th ACM/IEEE International Conference on Cyber-Physical Systems
mobile_battery,Machine Learning-based Prevention of Battery-oriented Illegitimate Task Injection in Mobile Crowdsensing,WiseML 2019: Proceedings of the ACM Workshop on Wireless Security and Machine Learning
mobile_battery,"Exploiting Multi-Cell Battery for Mobile Devices: Design, Management, and Performance",SenSys '17: Proceedings of the 15th ACM Conference on Embedded Network Sensor Systems
mobile_battery,Using Mobile Device Batteries as Thermometers,"GetMobile: Mobile Computing and Communications (SIGMOBILE-GETMOBILE), Volume 25, Issue 1"
mobile_battery,An In-depth Analysis of the Impact of Battery Usage Patterns on Performance of Task Allocation Algorithms in Sparse Mobile Crowdsensing,"MSWIM '19: Proceedings of the 22nd International ACM Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems"
mobile_battery,Battery state-of-health estimation for mobile devices,ICCPS '17: Proceedings of the 8th International Conference on Cyber-Physical Systems
mobile_battery,Battery-aware transformations in mobile applications,ASE '16: Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering
mobile_battery,Sensing Cold-Induced Situational Impairments in Mobile Interaction Using Battery Temperature,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT), Volume 1, Issue 3"
mobile_battery,Towards 7x improvement in battery life of mobile devices,"S3: Proceedings of the Eighth Wireless of the Students, by the Students, and for the Students Workshop"
mobile_battery,Evaluating battery aging on mobile devices,DAC '15: Proceedings of the 52nd Annual Design Automation Conference
mobile_battery,Accurate Prediction of Available Battery Time for Mobile Applications,"ACM Transactions on Embedded Computing Systems (TECS), Volume 15, Issue 3"
mobile_battery,Mobile Device Batteries as Thermometers,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT), Volume 4, Issue 1"
