keyword,title,publication
mobile_energy,Reliable and Energy-Efficient Communications in Mobile Robotic Networks by Collaborative Beamforming,"ACM Transactions on Sensor Networks (TOSN), Volume 20, Issue 5"
mobile_energy,Towards the design of a mobile application with persuasive elements to increase energy flexibility,ECCE '24: Proceedings of the European Conference on Cognitive Ergonomics 2024
mobile_energy,AdaOper: Energy-efficient and Responsive Concurrent DNN Inference on Mobile Devices,AdaAIoTSys '24: Proceedings of the 2024 Workshop on Adaptive AIoT Systems
mobile_energy,Energy and QoE Optimization for Mobile Video Streaming with Adaptive Brightness Scaling,"ACM Transactions on Sensor Networks (TOSN), Volume 20, Issue 4"
mobile_energy,Towards Energy-efficient Federated Learning via INT8-based Training on Mobile DSPs,WWW '24: Proceedings of the ACM Web Conference 2024
mobile_energy,"SERENUS: Alleviating Low-Battery Anxiety Through Real-time, Accurate, and User-Friendly Energy Consumption Prediction of Mobile Applications",UIST '24: Proceedings of the 37th Annual ACM Symposium on User Interface Software and Technology
mobile_energy,Resource Reservation Contract Design for Mobile Edge Computing with Energy Harvesting,ICAICE '23: Proceedings of the 4th International Conference on Artificial Intelligence and Computer Engineering
mobile_energy,Combatting Energy Issues for Mobile Applications,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 32, Issue 1"
mobile_energy,High Energy Efficiency Mobile AR Applications under Adaptive Object Detection Engine and Self-learning Governor,SAC '24: Proceedings of the 39th ACM/SIGAPP Symposium on Applied Computing
mobile_energy,Collaborative Resource Allocation for Affected Los Angeles Regions Leveraging Mobile Energy Storages,"BuildSys '23: Proceedings of the 10th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation"
mobile_energy,Cost-Effective Strategies for Building Energy Efficient Mobile Applications,ICSE '23: Proceedings of the 45th International Conference on Software Engineering: Companion Proceedings
mobile_energy,An Empirical Study on the Impact of CSS Prefixes on the Energy Consumption and Performance of Mobile Web Apps,MOBILESoft '24: Proceedings of the IEEE/ACM 11th International Conference on Mobile Software Engineering and Systems
mobile_energy,An Empirical Evaluation of the Energy Consumption of using Web Push APIs in Mobile Web Apps - The Case of Telegram,MOBILESoft '24: Proceedings of the IEEE/ACM 11th International Conference on Mobile Software Engineering and Systems
mobile_energy,Power Profiler: Monitoring Energy Consumption of ML Algorithms on Android Mobile Devices,e-Energy '23 Companion: Companion Proceedings of the 14th ACM International Conference on Future Energy Systems
mobile_energy,EEFL: High-Speed Wireless Communications Inspired Energy Efficient Federated Learning over Mobile Devices,"MobiSys '23: Proceedings of the 21st Annual International Conference on Mobile Systems, Applications and Services"
mobile_energy,MoEnlight: Energy-efficient and self-adaptive Low-light Video Stream Enhancement on Mobile Devices,ACM TURC '23: Proceedings of the ACM Turing Award Celebration Conference - China 2023
mobile_energy,Uncovering Vulnerabilities of Bluetooth Low Energy IoT from Companion Mobile Apps with Ble-Guuide,ASIA CCS '23: Proceedings of the 2023 ACM Asia Conference on Computer and Communications Security
mobile_energy,Energy Efficient and Secure Neural Network–based Disease Detection Framework for Mobile Healthcare Network,"ACM Transactions on Privacy and Security (TOPS), Volume 26, Issue 3"
mobile_energy,Implementing Sustainable Urban Mobility Transitions in Positive Energy Districts,WWW '24: Companion Proceedings of the ACM Web Conference 2024
mobile_energy,Mobile or FPGA? A Comprehensive Evaluation on Energy Efficiency and a Unified Optimization Framework,"ACM Transactions on Embedded Computing Systems (TECS), Volume 21, Issue 5"
mobile_energy,WiFED Mobile: WiFi Friendly Energy Delivery With Mobile Distributed Beamforming,"IEEE/ACM Transactions on Networking (TON), Volume 29, Issue 3"
mobile_energy,Triangle Dropping: An Occluded-geometry Predictor for Energy-efficient Mobile GPUs,"ACM Transactions on Architecture and Code Optimization (TACO), Volume 19, Issue 3"
mobile_energy,Realizing Emotional Interactions to Learn User Experience and Guide Energy Optimization for Mobile Architectures,MICRO '22: Proceedings of the 55th Annual IEEE/ACM International Symposium on Microarchitecture
mobile_energy,eGEN: an energy-saving modeling language and code generator for location-sensing of mobile apps,ESEC/FSE 2022: Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering
mobile_energy,Solution of Mobile Base Station Based on Hybrid System of Wind Photovoltaic Energy Storage and Hydrogen Energy Storage,AIAM2021: 2021 3rd International Conference on Artificial Intelligence and Advanced Manufacture
mobile_energy,Statistical verification using learned usages for evaluating energy-efficient mobile device design,SAC '22: Proceedings of the 37th ACM/SIGAPP Symposium on Applied Computing
mobile_energy,Comparing the Energy Efficiency of WebAssembly and JavaScript in Web Applications on Android Mobile Devices,EASE '22: Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering
mobile_energy,On the Impact of the Critical CSS Technique on the Performance and Energy Consumption of Mobile Browsers,EASE '22: Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering
mobile_energy,An Energy-Efficient DRAM Cache Architecture for Mobile Platforms With PCM-Based Main Memory,"ACM Transactions on Embedded Computing Systems (TECS), Volume 21, Issue 1"
mobile_energy,Trading energy for accuracy in mobile interruptiblity inference,UbiComp/ISWC '20 Adjunct: Adjunct Proceedings of the 2020 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2020 ACM International Symposium on Wearable Computers
