keyword,title,publication
mobile_gpu,Mobile GPU 101,SIGGRAPH Courses '24: ACM SIGGRAPH 2024 Courses
mobile_gpu,GPU Acceleration for Mobile Networking Simluations,HOTMOBILE '24: Proceedings of the 25th International Workshop on Mobile Computing Systems and Applications
mobile_gpu,GPU-Based Parallel Path Planning for Mobile Robot Navigation in Dynamic Environments,SOICT '23: Proceedings of the 12th International Symposium on Information and Communication Technology
mobile_gpu,A GPU-enabled mobile telemedicine training system for graphic rendering,MobiCom '22: Proceedings of the 28th Annual International Conference on Mobile Computing And Networking
mobile_gpu,Pantheon: Preemptible Multi-DNN Inference on Mobile Edge GPUs,"MOBISYS '24: Proceedings of the 22nd Annual International Conference on Mobile Systems, Applications and Services"
mobile_gpu,YOLOv3-mobile for Real-time Pedestrian Detection on Embedded GPU,ICGSP '21: Proceedings of the 5th International Conference on Graphics and Signal Processing
mobile_gpu,Minimizing GPU Kernel Launch Overhead in Deep Learning Inference on Mobile GPUs,HotMobile '21: Proceedings of the 22nd International Workshop on Mobile Computing Systems and Applications
mobile_gpu,Towards Real-time CNN Inference from a Video Stream on a Mobile GPU (WiP Paper),"LCTES '20: The 21st ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems"
mobile_gpu,User interaction aware reinforcement learning for power and thermal efficiency of CPU-GPU mobile MPSoCs,"DATE '20: Proceedings of the 23rd Conference on Design, Automation and Test in Europe"
mobile_gpu,Triangle Dropping: An Occluded-geometry Predictor for Energy-efficient Mobile GPUs,"ACM Transactions on Architecture and Code Optimization (TACO), Volume 19, Issue 3"
mobile_gpu,GPU based High Definition Parallel Video Codec Optimization in Mobile Device,MobiCom '18: Proceedings of the 24th Annual International Conference on Mobile Computing and Networking
mobile_gpu,Mobile GPU compute exploring the mobile GPU through OpenCL,SIGGRAPH '14: ACM SIGGRAPH 2014 Talks
mobile_gpu,Exploiting Activation Sparsity for Fast CNN Inference on Mobile GPUs,"ACM Transactions on Embedded Computing Systems (TECS), Volume 20, Issue 5s"
mobile_gpu,Mapping parallelism in a functional IR through constraint satisfaction: a case study on convolution for mobile GPUs,CC 2022: Proceedings of the 31st ACM SIGPLAN International Conference on Compiler Construction
mobile_gpu,Synergistic CPU-GPU Frequency Capping for Energy-Efficient Mobile Games,"ACM Transactions on Embedded Computing Systems (TECS), Volume 17, Issue 2"
mobile_gpu,Accelerating Mobile Audio Sensing Algorithms through On-Chip GPU Offloading,"MobiSys '17: Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services"
mobile_gpu,Adaptive multi-rate ray sampling on mobile ray tracing GPU,SA '16: SIGGRAPH ASIA 2016 Mobile Graphics and Interactive Applications
mobile_gpu,Profiling and optimizing deep learning inference on mobile GPUs,APSys '20: Proceedings of the 11th ACM SIGOPS Asia-Pacific Workshop on Systems
mobile_gpu,Dynamic rendering quality scaling for mobile GPU,SA '15: SIGGRAPH Asia 2015 Posters
mobile_gpu,Improving mobile gaming performance through cooperative CPU-GPU thermal management,DAC '16: Proceedings of the 53rd Annual Design Automation Conference
mobile_gpu,Training Machine Learning Network on Adreno Mobile GPUs Using OpenCL,IWOCL '20: Proceedings of the International Workshop on OpenCL
mobile_gpu,Automatic generation of specialized direct convolutions for mobile GPUs,GPGPU '20: Proceedings of the 13th Annual Workshop on General Purpose Processing using Graphics Processing Unit
mobile_gpu,Managing GPU buffers for caching more apps in mobile systems,EMSOFT '15: Proceedings of the 12th International Conference on Embedded Software
mobile_gpu,Impact of CPU-GPU data transfers on mobile device GPGPU,SIGGRAPH '15: ACM SIGGRAPH 2015 Talks
mobile_gpu,An efficient hybrid ray tracing and rasterizer architecture for mobile GPU,SA '15: SIGGRAPH Asia 2015 Mobile Graphics and Interactive Applications
mobile_gpu,Realizing the compute potential of the mobile GPU,SIGGRAPH '14: ACM SIGGRAPH 2014 Panels
mobile_gpu,A User-Centric CPU-GPU Governing Framework for 3D Games on Mobile Devices,ICCAD '15: Proceedings of the IEEE/ACM International Conference on Computer-Aided Design
mobile_gpu,CoDL: efficient CPU-GPU co-execution for deep learning inference on mobile devices,"MobiSys '22: Proceedings of the 20th Annual International Conference on Mobile Systems, Applications and Services"
mobile_gpu,Accelerating a computer vision algorithm on a mobile SoC using CPU-GPU co-processing: a case study on face detection,MOBILESoft '16: Proceedings of the International Conference on Mobile Software Engineering and Systems
mobile_gpu,Integrated CPU-GPU Power Management for 3D Mobile Games,DAC '14: Proceedings of the 51st Annual Design Automation Conference
mobile_gpu,A control-theoretic approach for energy efficient CPU-GPU subsystem in mobile platforms,DAC '15: Proceedings of the 52nd Annual Design Automation Conference
mobile_gpu,Saving energy without defying deadlines on mobile GPU-based heterogeneous systems,CODES '14: Proceedings of the 2014 International Conference on Hardware/Software Codesign and System Synthesis
