keyword,title,publication
mobile_issue,Introduction to the Special Issue Mobility,"ACM Journal on Autonomous Transportation Systems (JATS), Volume 1, Issue 2"
mobile_issue,SoK: An Exhaustive Taxonomy of Display Issues for Mobile Applications,IUI '24: Proceedings of the 29th International Conference on Intelligent User Interfaces
mobile_issue,MotorEase: Automated Detection of Motor Impairment Accessibility Issues in Mobile App UIs,ICSE '24: Proceedings of the IEEE/ACM 46th International Conference on Software Engineering
mobile_issue,Combatting Energy Issues for Mobile Applications,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 32, Issue 1"
mobile_issue,"Remodeling a Mobile Educational Metaverse Using a Co-Design Approach: Challenges, Issues, and Expected Features",ICEMT '23: Proceedings of the 7th International Conference on Education and Multimedia Technology
mobile_issue,Keep Sensors in Check: Disentangling Country-Level Generalization Issues in Mobile Sensor-Based Models with Diversity Scores,"AIES '23: Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society"
mobile_issue,A Study on Thermal Issues in Mobile Extended Reality Applications,SenSys '22: Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems
mobile_issue,The Metamorphosis: Automatic Detection of Scaling Issues for Mobile Apps,ASE '22: Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering
mobile_issue,Automated repair of size-based inaccessibility issues in mobile applications,ASE '21: Proceedings of the 36th IEEE/ACM International Conference on Automated Software Engineering
mobile_issue,An Exploratory Analysis of Human-centric Issues in Parking Solutions Using Surveys and Mobile Parking App Reviews,OzCHI '21: Proceedings of the 33rd Australian Conference on Human-Computer Interaction
mobile_issue,Introduction to Special Issue on Deep Learning for Mobile Multimedia,"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM), Volume 13, Issue 3s"
mobile_issue,Detecting and diagnosing energy issues for mobile applications,ISSTA 2020: Proceedings of the 29th ACM SIGSOFT International Symposium on Software Testing and Analysis
mobile_issue,Some Issues for Location Dependent Information System Query in Mobile Environment,CIKM '20: Proceedings of the 29th ACM International Conference on Information & Knowledge Management
mobile_issue,Introduction to the Special Issue on Urban Mobility: Algorithms and Systems,"ACM Transactions on Spatial Algorithms and Systems (TSAS), Volume 5, Issue 2"
mobile_issue,Security Issues in Mobile Healthcare Applications,iiWAS2019: Proceedings of the 21st International Conference on Information Integration and Web-based Applications & Services
mobile_issue,Introduction to the Special Issue on Technology to Support Independent Orientation and Mobility of People with Visual Impairments,"ACM Transactions on Accessible Computing (TACCESS), Volume 13, Issue 2"
mobile_issue,Guest Editorial Special Issue on Nanoelectronic Circuit and System Design Methods for the Mobile Computing Era,"ACM Journal on Emerging Technologies in Computing Systems (JETC), Volume 13, Issue 2"
mobile_issue,"Mobile device management (MDM) technologies, issues and challenges","ICCSP '19: Proceedings of the 3rd International Conference on Cryptography, Security and Privacy"
mobile_issue,"Mobile Cloud Computing: Architecture, Advantages and Security Issues","NISS '20: Proceedings of the 3rd International Conference on Networking, Information Systems & Security"
mobile_issue,Introduction to this special issue: urban analytics and mobility (part 2),"SIGSPATIAL Special (SIGSPATIAL), Volume 10, Issue 2"
mobile_issue,Introduction to this special issue: urban analytics and mobility (part 1),"SIGSPATIAL Special (SIGSPATIAL), Volume 10, Issue 1"
mobile_issue,The 1st Workshop on User Experience in Urban Air Mobility: Design considerations and issues,AutomotiveUI '21 Adjunct: 13th International Conference on Automotive User Interfaces and Interactive Vehicular Applications
mobile_issue,"Search, Mining, and Their Applications on Mobile Devices: Introduction to the Special Issue","ACM Transactions on Information Systems (TOIS), Volume 35, Issue 4"
mobile_issue,Mobile data analytics: introduction to this special issue,"SIGSPATIAL Special (SIGSPATIAL), Volume 7, Issue 3"
mobile_issue,Introduction to Special Issue on Mobile Technologies for Older Users,"ACM Transactions on Accessible Computing (TACCESS), Volume 4, Issue 3"
mobile_issue,Public perception of ethical issues concerning automated mobility: A focus group study among three road user categories,ECCE '21: Proceedings of the 32nd European Conference on Cognitive Ergonomics
mobile_issue,Investigating accessibility issues of UI mobile design patterns in online communities: a virtual ethnographic study,IHC '17: Proceedings of the XVI Brazilian Symposium on Human Factors in Computing Systems
mobile_issue,Mobile Social Multimedia Analytics in the Big Data Era: An Introduction to the Special Issue,"ACM Transactions on Intelligent Systems and Technology (TIST), Volume 8, Issue 3"
mobile_issue,Prominent issues for privacy establishment in privacy policies of mobile apps,IHC '16: Proceedings of the 15th Brazilian Symposium on Human Factors in Computing Systems
mobile_issue,Issues on Developing a Location Aware Game for Mobile Browsers,CompSysTech '16: Proceedings of the 17th International Conference on Computer Systems and Technologies 2016
mobile_issue,GLOVE: Towards Privacy-Preserving Publishing of Record-Level-Truthful Mobile Phone Trajectories,"ACM/IMS Transactions on Data Science (TDS), Volume 2, Issue 3"
mobile_issue,Identifying the root cause of video streaming issues on mobile devices,CoNEXT '15: Proceedings of the 11th ACM Conference on Emerging Networking Experiments and Technologies
mobile_issue,Guidelines for Developing Social Networking Mobile Apps to Deaf Audience: a Proposal Based on User experience and Technical Issues,IHC '18: Proceedings of the 17th Brazilian Symposium on Human Factors in Computing Systems
mobile_issue,Application-level task execution issues in mobile cloud computing,SAC '15: Proceedings of the 30th Annual ACM Symposium on Applied Computing
mobile_issue,Supporting the Development of Social Networking Mobile Apps for Deaf Users: Guidelines Based on User Experience Issues,DSAI '18: Proceedings of the 8th International Conference on Software Development and Technologies for Enhancing Accessibility and Fighting Info-exclusion
mobile_issue,Mobile augmented reality illustrations that entertain and inform: design and implementation issues with the hololens,SA '17: SIGGRAPH Asia 2017 Mobile Graphics & Interactive Applications
mobile_issue,Understanding mobile information supply: studying the amount of textual information smartphones provide,NordiCHI '18: Proceedings of the 10th Nordic Conference on Human-Computer Interaction
mobile_issue,Enhancing the effectiveness of mobile in-app programmatic advertising using publishers-controlled factors,ICCMB '20: Proceedings of the 2020 the 3rd International Conference on Computers in Management and Business
mobile_issue,New privacy issues in mobile telephony: fix and verification,CCS '12: Proceedings of the 2012 ACM conference on Computer and communications security
mobile_issue,Kinematic Constraints and ns-3 Mobility Models: the AUV Issue,WNS3 '17: Proceedings of the 2017 Workshop on ns-3
mobile_issue,Mobile healthcare service model in Japan: current condition and future issues,UbiComp/ISWC'15 Adjunct: Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers
mobile_issue,Session details: Mobile issues,CHI '11: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
mobile_issue,"Making the Mobile Web Faster: Mobile performance issues? Fix the back end, not just the client.","Queue (QUEUE), Volume 11, Issue 1"
mobile_issue,Virtualization Techniques for Redesigning Mobile Backhaul Networks: Challenges and Issues,MobiArch '15: Proceedings of the 10th International Workshop on Mobility in the Evolving Internet Architecture
mobile_issue,Software engineering issues for mobile application development,FoSER '10: Proceedings of the FSE/SDP workshop on Future of software engineering research
mobile_issue,Addressing mobility issues in mobile environment,MobMid '08: Proceedings of the 1st workshop on Mobile middleware: embracing the personal communication device
mobile_issue,Special Issue on Performance Issues in Mobile Computing,"ACM SIGMETRICS Performance Evaluation Review (SIGMETRICS), Volume 28, Issue 3"
mobile_issue,Security issues related with DNS dynamic updates for mobile nodes: a survey,FIT '10: Proceedings of the 8th International Conference on Frontiers of Information Technology
mobile_issue,"Design of a Multicriterio Model with a Diffuse Hierarchical Analysis Process - FAHP, for the Selection of Suppliers in a Mobile Cellular Telecommunications Company",ICETM '19: Proceedings of the 2019 2nd International Conference on Education Technology Management
mobile_issue,Towards a persistent publish/subscribe system for networks of mobile devices,MECC '17: Proceedings of the 2nd Workshop on Middleware for Edge Clouds & Cloudlets
mobile_issue,Tool-support for mobile and pervasive application development - issues and challenges,MobileHCI '10: Proceedings of the 12th international conference on Human computer interaction with mobile devices and services
mobile_issue,Mobile multimedia database common issues and future considerations,MoMM '09: Proceedings of the 7th International Conference on Advances in Mobile Computing and Multimedia
