keyword,title,publication
mobile_latency,A Benchmark for ML Inference Latency on Mobile Devices,"EdgeSys '24: Proceedings of the 7th International Workshop on Edge Systems, Analytics and Networking"
mobile_latency,JitBright: towards Low-Latency Mobile Cloud Rendering through Jitter Buffer Optimization,NOSSDAV '24: Proceedings of the 34th edition of the Workshop on Network and Operating System Support for Digital Audio and Video
mobile_latency,nnPerf: Demystifying DNN Runtime Inference Latency on Mobile Platforms,SenSys '23: Proceedings of the 21st ACM Conference on Embedded Networked Sensor Systems
mobile_latency,RTCSR: Zero-latency Aware Super-resolution for WebRTC Mobile Video Streaming,EMS '23: Proceedings of the 2023 Workshop on Emerging Multimedia Systems
mobile_latency,Predicting Inference Latency of Neural Architectures on Mobile Devices,ICPE '23: Proceedings of the 2023 ACM/SPEC International Conference on Performance Engineering
mobile_latency,Rectifying Skewed Kernel Page Reclamation in Mobile Devices for Improving User-Perceivable Latency,"ACM Transactions on Embedded Computing Systems (TECS), Volume 22, Issue 5s"
mobile_latency,Reducing Mobile Web Latency Through Adaptively Selecting Transport Protocol,"IEEE/ACM Transactions on Networking (TON), Volume 31, Issue 5"
mobile_latency,ASFL: Adaptive Semi-asynchronous Federated Learning for Balancing Model Accuracy and Total Latency in Mobile Edge Networks,ICPP '23: Proceedings of the 52nd International Conference on Parallel Processing
mobile_latency,Nebula: Reliable Low-latency Video Transmission for Mobile Cloud Gaming,WWW '22: Proceedings of the ACM Web Conference 2022
mobile_latency,Invited Paper: Intelligent Agent Support for Achieving Low Latency in Cloud-Native NextG Mobile Core Networks,ICDCN '23: Proceedings of the 24th International Conference on Distributed Computing and Networking
mobile_latency,Uncovering Latent Patterns in Service-Level Spatiotemporal Mobile Traffic,GeoPrivacy '24: Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Geo-Privacy and Data Utility for Smart Societies
mobile_latency,Impact of Response Latency on User Behaviour in Mobile Web Search,CHIIR '21: Proceedings of the 2021 Conference on Human Information Interaction and Retrieval
mobile_latency,Accelerating Mobile Applications With Parallel High-bandwidth and Low-latency Channels,HotMobile '21: Proceedings of the 22nd International Workshop on Mobile Computing Systems and Applications
mobile_latency,The Effect of Latency on High Precision Micro Instructions in Mobile AR,MobileHCI '20: 22nd International Conference on Human-Computer Interaction with Mobile Devices and Services
mobile_latency,Architecture of Integrated Machine Learning in Low Latency Mobile VR Graphics Pipeline,SA '19: SIGGRAPH Asia 2019 Technical Briefs
mobile_latency,Low Latency Mobile Augmented Reality with Flexible Tracking,MobiCom '18: Proceedings of the 24th Annual International Conference on Mobile Computing and Networking
