keyword,title,publication
mobile_launch,"More Apps, Faster Hot-Launch on Mobile Devices via Fore/Background-aware GC-Swap Co-design","ASPLOS '24: Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 3"
mobile_launch,Minimizing GPU Kernel Launch Overhead in Deep Learning Inference on Mobile GPUs,HotMobile '21: Proceedings of the 22nd International Workshop on Mobile Computing Systems and Applications
mobile_launch,Feasibility study of launching mobile-based postgraduate research products based on artificial intelligence,ICAIIS 2021: 2021 2nd International Conference on Artificial Intelligence and Information Systems
mobile_launch,Mobile Foundation Model as Firmware,ACM MobiCom '24: Proceedings of the 30th Annual International Conference on Mobile Computing and Networking
mobile_launch,Enhancing user experiences by exploiting energy and launch delay trade-off of mobile multimedia applications,"ACM Transactions on Embedded Computing Systems (TECS), Volume 12, Issue 1s"
mobile_launch,Pairing-free secure-channel establishment in mobile networks with fine-grained lawful interception,SAC '22: Proceedings of the 37th ACM/SIGAPP Symposium on Applied Computing
mobile_launch,Fast app launching for mobile devices using predictive user context,"MobiSys '12: Proceedings of the 10th international conference on Mobile systems, applications, and services"
mobile_launch,Launching an Efficient Participatory Sensing Campaign: A Smart Mobile Device-Based Approach,"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM), Volume 12, Issue 1s"
mobile_launch,Implementing an application-specific credential platform using late-launched mobile trusted module,STC '10: Proceedings of the fifth ACM workshop on Scalable trusted computing
mobile_launch,Foundations for Systematic Evaluation and Benchmarking of a Mobile Food Logger in a Large-scale Nutrition Study,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT), Volume 4, Issue 2"
mobile_launch,ACM HotMobile 2013 Poster: Mobifetch: an execution-time prefetching technique to expedite application launch in mobile devices,"ACM SIGMOBILE Mobile Computing and Communications Review (SIGMOBILE), Volume 17, Issue 3"
mobile_launch,Stress Annotations from Older Adults - Exploring the Foundations for Mobile ML-Based Health Assistance,PervasiveHealth'19: Proceedings of the 13th EAI International Conference on Pervasive Computing Technologies for Healthcare
mobile_launch,TrajGDM: A New Trajectory Foundation Model for Simulating Human Mobility,SIGSPATIAL '23: Proceedings of the 31st ACM International Conference on Advances in Geographic Information Systems
mobile_launch,An Innovative Approach for Ad Hoc Network Establishment in Disaster Environments by the Deployment of Wireless Mobile Agents,"ACM Transactions on Autonomous and Adaptive Systems (TAAS), Volume 13, Issue 4"
mobile_launch,Mobile application for monitoring oncological treatments of children of the Carlos Portela Foundation,Interacción '18: Proceedings of the XIX International Conference on Human Computer Interaction
mobile_launch,Leveraging language foundation models for human mobility forecasting,SIGSPATIAL '22: Proceedings of the 30th International Conference on Advances in Geographic Information Systems
mobile_launch,Prominent issues for privacy establishment in privacy policies of mobile apps,IHC '16: Proceedings of the 15th Brazilian Symposium on Human Factors in Computing Systems
mobile_launch,A Model for Establishing Response-time Bounds to Prevent Malware Pandemics in Mobile Devices,CompSysTech '16: Proceedings of the 17th International Conference on Computer Systems and Technologies 2016
mobile_launch,iLauncher: an intelligent launcher for mobile apps based on individual usage patterns,SAC '13: Proceedings of the 28th Annual ACM Symposium on Applied Computing
mobile_launch,A Foundation for Mobile User Experience in Theme Parks,AcademicMindTrek '13: Proceedings of International Conference on Making Sense of Converging Media
mobile_launch,On the Impact of Mobile Network Delays on Connection Establishment Performance of a Carrier Grade NAT Device,AINTEC '14: Proceedings of the 10th Asian Internet Engineering Conference
mobile_launch,Establishment of spatial formation by a mobile guide robot,HRI '12: Proceedings of the seventh annual ACM/IEEE international conference on Human-Robot Interaction
mobile_launch,"Why Large Scale Mobile and E-Commerce Apps use Node.js: One of the highlights from Node Summit 2013, remixed. MODERATED BY: Erik Meijer, Founder, Applied Duality","Queue (QUEUE), Volume 12, Issue 2"
mobile_launch,Establishing mobile ad-hoc networks in 802.11 infrastructure mode,CHANTS '11: Proceedings of the 6th ACM workshop on Challenged networks
mobile_launch,Establishing mobile ad-hoc networks in 802.11 infrastructure mode,"WiNTECH '11: Proceedings of the 6th ACM international workshop on Wireless network testbeds, experimental evaluation and characterization"
mobile_launch,Mobile media search: has media search finally found its perfect platform? part II,MM '09: Proceedings of the 17th ACM international conference on Multimedia
