keyword,title,publication
mobile_memory,Memory Management on Mobile Devices,ISMM 2024: Proceedings of the 2024 ACM SIGPLAN International Symposium on Memory Management
mobile_memory,Olfactory Wearables for Mobile Targeted Memory Reactivation,CHI '23: Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems
mobile_memory,Impact of Joint Heat and Memory Constraints of Mobile Device in Edge-Assisted On-Device Artificial Intelligence,NetAISys '24: Proceedings of the 2nd International Workshop on Networked AI Systems
mobile_memory,Digital treatment: Base on the mobile interface for memory improvement of elderly,ISAIMS '23: Proceedings of the 2023 4th International Symposium on Artificial Intelligence for Medicine Science
mobile_memory,Spatial Mobile Memories: Recording and Sharing Everyday Moments using Mobile Augmented Reality,IMX '24: Proceedings of the 2024 ACM International Conference on Interactive Media Experiences
mobile_memory,IOSR: Improving I/O Efficiency for Memory Swapping on Mobile Devices Via Scheduling and Reshaping,"ACM Transactions on Embedded Computing Systems (TECS), Volume 22, Issue 5s"
mobile_memory,Memory-efficient DNN training on mobile devices,"MobiSys '22: Proceedings of the 20th Annual International Conference on Mobile Systems, Applications and Services"
mobile_memory,FoodFighters - Improving Memory Retention of Food Items through a Mobile Serious Game,CHI EA '23: Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems
mobile_memory,Memory-efficient DNN training on mobile devices,"MobiSys '22: Proceedings of the 20th Annual International Conference on Mobile Systems, Applications and Services"
mobile_memory,JS Capsules: A Framework for Capturing Fine-grained JavaScript Memory Measurements for the Mobile Web.,SIGMETRICS '23: Abstract Proceedings of the 2023 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems
mobile_memory,ICE: Collaborating Memory and Process Management for User Experience on Resource-limited Mobile Devices,EuroSys '23: Proceedings of the Eighteenth European Conference on Computer Systems
mobile_memory,Breaking KASLR on Mobile Devices without Any Use of Cache Memory,ASHES'22: Proceedings of the 2022 Workshop on Attacks and Solutions in Hardware Security
