keyword,title,publication
mobile_performance,Trinity: High-Performance and Reliable Mobile Emulation through Graphics Projection,"ACM Transactions on Computer Systems (TOCS), Volume 42, Issue 3-4"
mobile_performance,Management And Performance of Multiple Video Decoder Instances in Mobile Devices,MMSys '24: Proceedings of the 15th ACM Multimedia Systems Conference
mobile_performance,Performance Optimization of Mobile Automated Biometric Identification System (MABIS) for Philippine Law Enforcement Agency,ICCDE '24: Proceedings of the 2024 10th International Conference on Computing and Data Engineering
mobile_performance,Evolution of Mobile Networks from 4G to 5G: Architectural Transformations New Services and Enhancement of Key Performance Indicators,"NISS '24: Proceedings of the 7th International Conference on Networking, Intelligent Systems and Security"
mobile_performance,An Empirical Study on the Impact of CSS Prefixes on the Energy Consumption and Performance of Mobile Web Apps,MOBILESoft '24: Proceedings of the IEEE/ACM 11th International Conference on Mobile Software Engineering and Systems
mobile_performance,Mediating Place as Staging Time in “Setting”: Sonic Interactive Mobile Technology as an Art Performance,DIS '23 Companion: Companion Publication of the 2023 ACM Designing Interactive Systems Conference
mobile_performance,Causal impact of Android go on mobile web performance,IMC '22: Proceedings of the 22nd ACM Internet Measurement Conference
mobile_performance,Octopus: Exploiting the Edge Intelligence for Accessible 5G Mobile Performance Enhancement,"IEEE/ACM Transactions on Networking (TON), Volume 31, Issue 6"
mobile_performance,End-to-End Delay Performance for Mobile Cyber-Physical Systems with Edge Computing,"ICNCC '22: Proceedings of the 2022 11th International Conference on Networks, Communication and Computing"
mobile_performance,A City-level High-performance Spatio-temporal Mobility Simulation System,SuMob '23: Proceedings of the 1st ACM SIGSPATIAL International Workshop on Sustainable Mobility
mobile_performance,Mobile WiMAX Network Optimization and Performance Analysis,ICEMIS'21: The 7th International Conference on Engineering & MIS 2021
mobile_performance,Reining in mobile web performance with document and permission policies,HotMobile '22: Proceedings of the 23rd Annual International Workshop on Mobile Computing Systems and Applications
mobile_performance,“Inconsistent Performance”: Understanding Concerns of Real-World Users on Smart Mobile Health Applications Through Analyzing App Reviews,UIST '22 Adjunct: Adjunct Proceedings of the 35th Annual ACM Symposium on User Interface Software and Technology
mobile_performance,Mobile Task Offloading Under Unreliable Edge Performance,"ACM SIGMETRICS Performance Evaluation Review (SIGMETRICS), Volume 48, Issue 4"
mobile_performance,Performance Monitoring for Exercise Movements using Mobile Cameras,BodySys'21: Proceedings of the Workshop on Body-Centric Computing Systems
mobile_performance,Analysis of Performance Improvements and Bias Associated with the Use of Human Mobility Data in COVID-19 Case Prediction Models,"ACM Journal on Computing and Sustainable Societies (ACMJCSS), Volume 1, Issue 2"
mobile_performance,On the Impact of the Critical CSS Technique on the Performance and Energy Consumption of Mobile Browsers,EASE '22: Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering
mobile_performance,Towards a Performance Optimization of Mobile Automated Fingerprint Identification System (MAFIS) for the Philippine National Police,ICCAI '22: Proceedings of the 8th International Conference on Computing and Artificial Intelligence
mobile_performance,Police Office Model Performance and Security Evaluation in a Simulated Group of Mobile Robots,ICFNDS '21: Proceedings of the 5th International Conference on Future Networks and Distributed Systems
mobile_performance,On the Impact of Competitive Gameplay on Text Entry Performance - A Study Based on a Mobile Typing Game,CHI EA '22: Extended Abstracts of the 2022 CHI Conference on Human Factors in Computing Systems
mobile_performance,Performance Analysis and Evaluation of Routing Protocols for Mobile Adhoc Networks,IC3-2021: Proceedings of the 2021 Thirteenth International Conference on Contemporary Computing
mobile_performance,Secure Computational Offloading with gRPC: A Performance Evaluation in a Mobile Cloud Computing Environment,DIVANet '21: Proceedings of the 11th ACM Symposium on Design and Analysis of Intelligent Vehicular Networks and Applications
mobile_performance,A Performance Study on MIMO-Beamforming in Railway Environments with In-Band Mobile Relay Node,"CMAAE 2021: 2021 International Conference on Mechanical, Aerospace and Automotive Engineering"
mobile_performance,Performance bottlenecks identification in cloudified mobile networks,MobiCom '20: Proceedings of the 26th Annual International Conference on Mobile Computing and Networking
mobile_performance,"FingerText: Exploring and Optimizing Performance for Wearable, Mobile and One-Handed Typing",CHI '21: Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems
mobile_performance,Timecourses showing mind wandering and heuristic strategies interact complexly to affect SART performance rapidly,ECCE '24: Proceedings of the European Conference on Cognitive Ergonomics 2024
mobile_performance,Online Mobile App Usage as an Indicator of Sleep Behavior and Job Performance,WWW '21: Proceedings of the Web Conference 2021
mobile_performance,QIHE: Quantifying the Importance of Hardware Events with Respect to Performance of Mobile Processors,ICBDC '21: Proceedings of the 6th International Conference on Big Data and Computing
mobile_performance,Effects of activity breakpoints on mobile crowdsourcing task performance,UbiComp/ISWC '20 Adjunct: Adjunct Proceedings of the 2020 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2020 ACM International Symposium on Wearable Computers
mobile_performance,Performance of Mobile Users on Side Drawer and Bottom Drawer Menus,MobileHCI '20: 22nd International Conference on Human-Computer Interaction with Mobile Devices and Services
mobile_performance,Robert: An Automated Tool to Perform Mobile Application Test,ICCTA '24: Proceedings of the 2024 10th International Conference on Computer Technology Applications
mobile_performance,Beyond technocentrism: Improving Lower-Achiever's English Listening Performance by Using Mobile-Assisted Language Learning on University of Technology students,ICICM '21: Proceedings of the 11th International Conference on Information Communication and Management
mobile_performance,Outlook of device and assembly technologies enabling high-performance mobile computing: IRDS view (invited),SLIP '20: Proceedings of the Workshop on System-Level Interconnect: Problems and Pathfinding Workshop
mobile_performance,Performance Testing in Mobile Application: a Systematic Literature Map,SBQS '19: Proceedings of the XVIII Brazilian Symposium on Software Quality
mobile_performance,Mobile Network Performance during the COVID-19 Outbreak from a Testbed Perspective,"WiNTECH '20: Proceedings of the 14th International Workshop on Wireless Network Testbeds, Experimental evaluation & Characterization"
mobile_performance,"Global mobile network aggregators: taxonomy, roaming performance and optimization","MobiSys '22: Proceedings of the 20th Annual International Conference on Mobile Systems, Applications and Services"
mobile_performance,Touch-dynamics based Behavioural Biometrics on Mobile Devices – A Review from a Usability and Performance Perspective,"ACM Computing Surveys (CSUR), Volume 53, Issue 6"
mobile_performance,Performance Analysis of Two Different Models with Central Policy of Tracking Area List in Mobile Telecommunication,ICCIP '20: Proceedings of the 6th International Conference on Communication and Information Processing
mobile_performance,Investigating the Correlation between Performance Scores and Energy Consumption of Mobile Web Apps,EASE '20: Proceedings of the 24th International Conference on Evaluation and Assessment in Software Engineering
mobile_performance,Development of mobile academic information system (AIS) UIN Syarif Hidayatullah Jakarta based on Android with performance evaluation based on ISO/ IEC 25010,MoMM '20: Proceedings of the 18th International Conference on Advances in Mobile Computing & Multimedia
mobile_performance,A performance analysis of a mobile parallel mechanism with multi-motion mode,"RICAI '19: Proceedings of the 2019 International Conference on Robotics, Intelligent Control and Artificial Intelligence"
mobile_performance,Measuring mobile text entry performance and behaviour in the wild with a serious game,MUM '19: Proceedings of the 18th International Conference on Mobile and Ubiquitous Multimedia
mobile_performance,Impact of Device Performance on Mobile Internet QoE,IMC '18: Proceedings of the Internet Measurement Conference 2018
mobile_performance,Tortoise or Hare? Quantifying the Effects of Performance on Mobile App Retention,WWW '19: The World Wide Web Conference
mobile_performance,An empirical study of mobile network behavior and application performance in the wild,IWQoS '19: Proceedings of the International Symposium on Quality of Service
mobile_performance,Exploring performance of thumb input for pointing and dragging tasks on mobile device,AsianHCI '19: Proceedings of Asian CHI Symposium 2019: Emerging HCI Research Collection
mobile_performance,Using Computer Simulations to Investigate the Potential Performance of ‘A to B’ Routing Systems for People with Mobility Impairments,MobileHCI '21: Proceedings of the 23rd International Conference on Mobile Human-Computer Interaction
mobile_performance,Optimal performance of the opportunistic scheduling in new generation mobile systems,ICSDE'18: Proceedings of the 2nd International Conference on Smart Digital Environment
mobile_performance,Analysis of Performance and Energy Consumption of Wearable Devices and Mobile Gateways in IoT Applications,COINS '19: Proceedings of the International Conference on Omni-Layer Intelligent Systems
mobile_performance,An In-depth Analysis of the Impact of Battery Usage Patterns on Performance of Task Allocation Algorithms in Sparse Mobile Crowdsensing,"MSWIM '19: Proceedings of the 22nd International ACM Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems"
mobile_performance,An In-depth Analysis of the Impact of Battery Usage Patterns on Performance of Task Allocation Algorithms in Sparse Mobile Crowdsensing,"MSWIM '19: Proceedings of the 22nd International ACM Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems"
mobile_performance,A performance evaluation of cross-platform mobile application development approaches,MOBILESoft '18: Proceedings of the 5th International Conference on Mobile Software Engineering and Systems
mobile_performance,Analysis and Modeling of Grid Performance on Touchscreen Mobile Devices,CHI '18: Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
mobile_performance,A Performance Evaluation of Time-Series Mobility Prediction for Connected Vehicular Networks,Q2SWinet '20: Proceedings of the 16th ACM Symposium on QoS and Security for Wireless and Mobile Networks
mobile_performance,Predicting the performance of virtual reality video streaming in mobile networks,MMSys '18: Proceedings of the 9th ACM Multimedia Systems Conference
mobile_performance,Context-Aware Hierarchical Online Learning for Performance Maximization in Mobile Crowdsourcing,"IEEE/ACM Transactions on Networking (TON), Volume 26, Issue 3"
mobile_performance,ABT: Mobile Solution for Computer Assisted Boxing Training.: Using smartphones to measure and track boxers’ performance while training.,ICSIE '21: Proceedings of the 10th International Conference on Software and Information Engineering
