keyword,title,publication
mobile_response,Mobile phone usage data for disaster response,"Communications of the ACM (CACM), Volume 65, Issue 4"
mobile_response,DRMACert: Certification for Disaster Response Mobile Applications,CSSE '21: Proceedings of the 4th International Conference on Computer Science and Software Engineering
mobile_response,2nd Workshop on Mobile Resilience: Designing Mobile Interactive Systems for Crisis Response,MobileHCI '21: Adjunct Publication of the 23rd International Conference on Mobile Human-Computer Interaction
mobile_response,A Fast Response Neighbor Discovery Algorithm in Low-Duty-Cycle Mobile Sensor Networks,AIPR '22: Proceedings of the 2022 5th International Conference on Artificial Intelligence and Pattern Recognition
mobile_response,Boosting English Language Acquisition through Mobile Learning: A Fusion of the Technology Acceptance and Stimulus-Organism-Response Models,ICDEL '24: Proceedings of the 2024 9th International Conference on Distance Education and Learning
mobile_response,An Emergency Response System Based on Mobile Network User Positioning,BDSIC '21: Proceedings of the 2021 3rd International Conference on Big-data Service and Intelligent Computation
mobile_response,Measuring Quantitative Situated User Experience with a Mobile Galvanic Skin Response Sensor,IHC '21: Proceedings of the XX Brazilian Symposium on Human Factors in Computing Systems
mobile_response,Emotional Response Language Education for Mobile Devices,MobileHCI '20: 22nd International Conference on Human-Computer Interaction with Mobile Devices and Services
mobile_response,Designing Boater Advocacy: A Lean UX Mobile App Project to Increase Emergency Response Accountability,SIGDOC '21: Proceedings of the 39th ACM International Conference on Design of Communication
mobile_response,Impact of Response Latency on User Behaviour in Mobile Web Search,CHIIR '21: Proceedings of the 2021 Conference on Human Information Interaction and Retrieval
mobile_response,Mobile augmented reality techniques for emergency response,"MobiQuitous '19: Proceedings of the 16th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services"
mobile_response,Abstract - Challenges and Opportunities in Accessing Mobile Phone Data for COVID-19 Response in Developing Countries,COMPASS '21: Proceedings of the 4th ACM SIGCAS Conference on Computing and Sustainable Societies
mobile_response,IRespondPH: A Mobile and Web-based Application for Post Disaster Needs Assessment and Response in the Philippines,"ICSET 2021: 2021 5th International Conference on E-Society, E-Education and E-Technology"
mobile_response,Heterogeneous User Responses to Privacy Risks in Mobile Apps: Understanding the Dualistic Role of Privacy Risk Perceptions,MobileHCI '23 Companion: Proceedings of the 25th International Conference on Mobile Human-Computer Interaction
mobile_response,Challenge-response behavioral mobile authentication: a comparative study of graphical patterns and cognitive games,ACSAC '19: Proceedings of the 35th Annual Computer Security Applications Conference
mobile_response,"Using Mobile Airtime Credits to Incentivize Learning, Sharing and Survey Response: Experiences from the Field",COMPASS '20: Proceedings of the 3rd ACM SIGCAS Conference on Computing and Sustainable Societies
mobile_response,"“Hey, can we talk?”: Exploring How Revealing Implicit Emotional Responses Tangibly Could Foster Empathy During Mobile Texting","TEI '23: Proceedings of the Seventeenth International Conference on Tangible, Embedded, and Embodied Interaction"
mobile_response,Mobility Response to COVID-19-related Restrictions in New York City,SpatialEpi '21: Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Spatial Computing for Epidemiology
mobile_response,Designing an Information Bot for an Opportunistic Mobile Environment in Disaster Response Scenario,ICDCN '20: Proceedings of the 21st International Conference on Distributed Computing and Networking
