keyword,title,publication
mobile_responsiveness,SWAM: Revisiting Swap and OOMK for Improving Application Responsiveness on Mobile Devices,ACM MobiCom '23: Proceedings of the 29th Annual International Conference on Mobile Computing and Networking
mobile_responsiveness,AdaOper: Energy-efficient and Responsive Concurrent DNN Inference on Mobile Devices,AdaAIoTSys '24: Proceedings of the 2024 Workshop on Adaptive AIoT Systems
mobile_responsiveness,Layout Cross-Browser Failure Classification for Mobile Responsive Design Web Applications: Combining Classification Models Using Feature Selection,"ACM Transactions on the Web (TWEB), Volume 17, Issue 4"
mobile_responsiveness,Using virtualized task isolation to improve responsiveness in mobile and IoT software,IoTDI '19: Proceedings of the International Conference on Internet of Things Design and Implementation
mobile_responsiveness,Understanding the Responsiveness of Mobile App Developers to Software Library Updates,CODASPY '19: Proceedings of the Ninth ACM Conference on Data and Application Security and Privacy
mobile_responsiveness,Investigating Mobile Users' Ringer Mode Usage and Attentiveness and Responsiveness to Communication,MobileHCI '15: Proceedings of the 17th International Conference on Human-Computer Interaction with Mobile Devices and Services
mobile_responsiveness,Improving responsiveness in mobile apps via refactoring for asynchrony (invited talk),DeMobile 2014: Proceedings of the 2nd International Workshop on Software Development Lifecycle for Mobile
mobile_responsiveness,Boosting quasi-asynchronous I/O for better responsiveness in mobile devices,FAST'15: Proceedings of the 13th USENIX Conference on File and Storage Technologies
mobile_responsiveness,Compliant activity inhibits deliberate mind wandering and accelerates thought probe responsiveness compared to compliant inactivity,ECCE '19: Proceedings of the 31st European Conference on Cognitive Ergonomics
mobile_responsiveness,Responsive News Summarization for Ubiquitous Consumption on Multiple Mobile Devices,IUI '18: Proceedings of the 23rd International Conference on Intelligent User Interfaces
mobile_responsiveness,"Responsive, mobile app, mobile first: untangling the UX design web in practical experience",SIGDOC '15: Proceedings of the 33rd Annual International Conference on the Design of Communication
mobile_responsiveness,Responsive snippets: adaptive skim-reading for mobile devices,MobileHCI '18: Proceedings of the 20th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct
mobile_responsiveness,A Case Study in Mobile-Optimized vs. Responsive Web Application Design,MobileHCI '15: Proceedings of the 17th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct
mobile_responsiveness,Mobile Cloud Learning: A New Responsive SCORM Design Approach Based Semantic Learning Object on the Microsoft SharePoint Online and Office 365,"BDCA'17: Proceedings of the 2nd international Conference on Big Data, Cloud and Applications"
mobile_responsiveness,A trade-off between energy consumption reduction and responsiveness in information delivery for delay-tolerant sensor networks with mobile sink,IWCMC '06: Proceedings of the 2006 international conference on Wireless communications and mobile computing
mobile_responsiveness,Reactive Overlays for Adaptive Routing in Mobile Ad hoc Networks,DIVANet '20: Proceedings of the 10th ACM Symposium on Design and Analysis of Intelligent Vehicular Networks and Applications
