keyword,title,publication
phone_energy,AECT: Accurate Energy Efficient Contact Tracing Using Smart Phones for Infectious Disease Detection,"ACM Transactions on Sensor Networks (TOSN), Just Accepted "
phone_energy,A study of enhancement of ranging performance of beacons through improvement of the smart phone's gyroscope: focusing on the Bluetooth low energy,IMCOM '17: Proceedings of the 11th International Conference on Ubiquitous Information Management and Communication
phone_energy,Understanding energy consumption of UHF RFID readers for mobile phone sensing applications,"WiNTECH '12: Proceedings of the seventh ACM international workshop on Wireless network testbeds, experimental evaluation and characterization"
phone_energy,Optimising Energy Consumption Heuristically on Android Mobile Phones,GECCO '16 Companion: Proceedings of the 2016 on Genetic and Evolutionary Computation Conference Companion
phone_energy,What is keeping my phone awake?: characterizing and detecting no-sleep energy bugs in smartphone apps,"MobiSys '12: Proceedings of the 10th international conference on Mobile systems, applications, and services"
phone_energy,Exploiting usage statistics for energy-efficient logical status inference on mobile phones,ISWC '14: Proceedings of the 2014 ACM International Symposium on Wearable Computers
phone_energy,Energy Efficient Tracking by Dynamic Voltage and Frequency Scaling on Android Smart Phones,ICDSC '14: Proceedings of the International Conference on Distributed Smart Cameras
phone_energy,Exploiting processor heterogeneity for energy efficient context inference on mobile phones,HotPower '13: Proceedings of the Workshop on Power-Aware Computing and Systems
phone_energy,Energy-aware keyword search on mobile phones,MCC '12: Proceedings of the first edition of the MCC workshop on Mobile cloud computing
phone_energy,"Towards real-time, fine-grained energy analytics in buildings through mobile phones",BuildSys '12: Proceedings of the Fourth ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings
phone_energy,"Demo: PhoneLets: offloading the phone off your phone for energy, cost and network load optimization",MobiCom '14: Proceedings of the 20th annual international conference on Mobile computing and networking
phone_energy,Energy consumption in mobile phones: a measurement study and implications for network applications,IMC '09: Proceedings of the 9th ACM SIGCOMM conference on Internet measurement
phone_energy,Enabling energy efficient continuous sensing on mobile phones with LittleRock,IPSN '10: Proceedings of the 9th ACM/IEEE International Conference on Information Processing in Sensor Networks
phone_energy,Tracking Human Motions in Photographing: A Context-Aware Energy-Saving Scheme for Smart Phones,"ACM Transactions on Sensor Networks (TOSN), Volume 13, Issue 4"
phone_energy,Poster Abstract: Smart Phone Lift for Improving Energy Efficiency and User Comfort in Green Buildings,ICCPS '12: Proceedings of the 2012 IEEE/ACM Third International Conference on Cyber-Physical Systems
phone_energy,PlaceMap: Discovering Human Places of Interest Using Low-Energy Location Interfaces on Mobile Phones,ACM DEV-5 '14: Proceedings of the Fifth ACM Symposium on Computing for Development
phone_energy,SiFi: exploiting VoIP silence for WiFi energy savings insmart phones,UbiComp '11: Proceedings of the 13th international conference on Ubiquitous computing
phone_energy,Deliberation for intuition: a framework for energy-efficient trip detection on cellular phones,UbiComp '11: Proceedings of the 13th international conference on Ubiquitous computing
phone_energy,Poster: energy consumption impact of UHF RFID reader integration with mobile phones,"MobiSys '11: Proceedings of the 9th international conference on Mobile systems, applications, and services"
phone_energy,MELOS: a low-cost and low-energy generic sensing attachment for mobile phones,NSDR '11: Proceedings of the 5th ACM workshop on Networked systems for developing regions
phone_energy,"VTrack: accurate, energy-aware road traffic delay estimation using mobile phones",SenSys '09: Proceedings of the 7th ACM Conference on Embedded Networked Sensor Systems
phone_energy,Cool-Tether: energy efficient on-the-fly wifi hot-spots using mobile phones,CoNEXT '09: Proceedings of the 5th international conference on Emerging networking experiments and technologies
phone_energy,Footprint: cellular assisted Wi-Fi AP discovery on mobile phones for energy saving,WINTECH '09: Proceedings of the 4th ACM international workshop on Experimental evaluation and characterization
phone_energy,Electrical energy absorption in the human head from a cellular telephone,VIS '96: Proceedings of the 7th conference on Visualization '96
