keyword,title,publication
phone_memory,Where is My Phone?: Towards Developing an Episodic Memory Model for Companion Robots to Track Users' Salient Objects,HRI '23: Companion of the 2023 ACM/IEEE International Conference on Human-Robot Interaction
phone_memory,Acquisition System of Physical Memory Image on MTK-based Mobile Phone,CSAE '18: Proceedings of the 2nd International Conference on Computer Science and Application Engineering
phone_memory,Can People Finger-draw Color-sketches from Memory for Painting Search on Mobile Phone?,MoMM '14: Proceedings of the 12th International Conference on Advances in Mobile Computing and Multimedia
phone_memory,Imaginary phone: learning imaginary interfaces by transferring spatial memory from a familiar device,UIST '11: Proceedings of the 24th annual ACM symposium on User interface software and technology
phone_memory,Utilising contextual memory retrieval cues and the ubiquity of the cell phone to review lifelogged physiological activities,IMCE '09: Proceedings of the 1st international workshop on Interactive multimedia for consumer electronics
phone_memory,Usage of the memory of mobile phones by illiterate people,ACM DEV '13: Proceedings of the 3rd ACM Symposium on Computing for Development
phone_memory,Studying spatial memory and map navigation performance on projector phones with peephole interaction,CHI '13: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
phone_memory,Working-memory failure in phone-based interaction,"ACM Transactions on Computer-Human Interaction (TOCHI), Volume 4, Issue 2"
phone_memory,Look what i found!: augmenting phone calls with memories of the past,CHI EA '13: CHI '13 Extended Abstracts on Human Factors in Computing Systems
phone_memory,Controlling memory contention on a scalable multiprocessor-based telephone switch,SIGMETRICS '99: Proceedings of the 1999 ACM SIGMETRICS international conference on Measurement and modeling of computer systems
phone_memory,Health aspects of wireless communication: effects of microwave and mobile telephone exposure on memory process,"ACM SIGMOBILE Mobile Computing and Communications Review (SIGMOBILE), Volume 4, Issue 2"
