keyword,title,publication
phone_performance,Improving Speech Enhancement Performance by Leveraging Contextual Broad Phonetic Class Information,"IEEE/ACM Transactions on Audio, Speech and Language Processing (TASLP), Volume 31"
phone_performance,'It's More Fun With My Phone': A Replication Study of Cell Phone Presence and Task Performance,CHI EA '17: Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems
phone_performance,Improving the Performance of Mobile Phone Crowdsourcing Applications,AAMAS '15: Proceedings of the 2015 International Conference on Autonomous Agents and Multiagent Systems
phone_performance,"How to Hold Your Phone When Tapping: A Comparative Study of Performance, Precision, and Errors",ISS '18: Proceedings of the 2018 ACM International Conference on Interactive Surfaces and Spaces
phone_performance,A study of enhancement of ranging performance of beacons through improvement of the smart phone's gyroscope: focusing on the Bluetooth low energy,IMCOM '17: Proceedings of the 11th International Conference on Ubiquitous Information Management and Communication
phone_performance,POSTER: Performance signatures of mobile phone browsers,CCS '13: Proceedings of the 2013 ACM SIGSAC conference on Computer & communications security
phone_performance,A Performance Comparison of On-Hand versus On-Phone Nonvisual Input by Blind and Sighted Users,"ACM Transactions on Accessible Computing (TACCESS), Volume 7, Issue 4"
phone_performance,Exploring the effects of ad schemes on the performance cost of mobile phones,A-Mobile 2018: Proceedings of the 1st International Workshop on Advances in Mobile App Analysis
phone_performance,A cell phone based platform for facial performance capture,SIGGRAPH '12: ACM SIGGRAPH 2012 Posters
phone_performance,Performance comparisons of spatial data processing techniques for a large scale mobile phone dataset,COM.Geo '12: Proceedings of the 3rd International Conference on Computing for Geospatial Research and Applications
phone_performance,Monitoring and Analyzing Wi-Fi Availability and Performance on a University Campus Using Recycled Cell Phones to Aid Students in Selecting Study Areas,SIGUCCS '16: Proceedings of the 2016 ACM SIGUCCS Annual Conference
phone_performance,Investigating selection and reading performance on a mobile phone while walking,MobileHCI '10: Proceedings of the 12th international conference on Human computer interaction with mobile devices and services
phone_performance,Mobile phone performance analysis for camera based visual interactions,SAICSIT '09: Proceedings of the 2009 Annual Research Conference of the South African Institute of Computer Scientists and Information Technologists
phone_performance,Improving Performance of Rural Supply Chains Using Mobile Phones: Reducing Information Asymmetry to Improve Stock Availability in Low-resource Environments,ACM DEV-5 '14: Proceedings of the Fifth ACM Symposium on Computing for Development
phone_performance,"Design, development and performance evaluation of reconfigured mobile Android phone for people who are blind or visually impaired",SIGDOC '10: Proceedings of the 28th ACM International Conference on Design of Communication
phone_performance,"Understanding performance of eyes-free, absolute position control on touchable mobile phones",MobileHCI '13: Proceedings of the 15th international conference on Human-computer interaction with mobile devices and services
phone_performance,Studying spatial memory and map navigation performance on projector phones with peephole interaction,CHI '13: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
phone_performance,Performance Characterization on Mobile Phones for Collaborative Augmented Reality (CAR) Applications,DS-RT '11: Proceedings of the 2011 IEEE/ACM 15th International Symposium on Distributed Simulation and Real Time Applications
phone_performance,"Camera phone based motion sensing: interaction techniques, applications and performance study",UIST '06: Proceedings of the 19th annual ACM symposium on User interface software and technology
phone_performance,CaMus2: optical flow and collaboration in camera phone music performance,NIME '07: Proceedings of the 7th international conference on New interfaces for musical expression
phone_performance,CaMus2: collaborative music performance with mobile camera phones,ACE '07: Proceedings of the international conference on Advances in computer entertainment technology
phone_performance,Measured performance of data transmission over cellular telephone networks,"ACM SIGCOMM Computer Communication Review (SIGCOMM-CCR), Volume 24, Issue 5"
