keyword,title,publication
smartphone_memory,MemSaver: Enabling an All-in-memory Switch Experience for Many Apps in a Smartphone,ICPE '24: Proceedings of the 15th ACM/SPEC International Conference on Performance Engineering
smartphone_memory,ARound the Smartphone: Investigating the Effects of Virtually-Extended Display Size on Spatial Memory,CHI '23: Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems
smartphone_memory,Autobiographical Memory and Smartphone Attachment through Photography: The Moderating Effects of Emotions,MUM '22: Proceedings of the 21st International Conference on Mobile and Ubiquitous Multimedia
smartphone_memory,Transportation mode classification from smartphone sensors via a long-short-term-memory network,UbiComp/ISWC '19 Adjunct: Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers
smartphone_memory,Impact of memory frequency scaling on user-centric smartphone workloads,SAC '18: Proceedings of the 33rd Annual ACM Symposium on Applied Computing
smartphone_memory,A method to avoid smartphone memory errors impacting encryption keys,WSC '16: Proceedings of the 2016 Winter Simulation Conference
smartphone_memory,Smartphone-like or TV-like Smart TV?: The Effect of False Memory Creation,TVX '18: Proceedings of the 2018 ACM International Conference on Interactive Experiences for TV and Online Video
smartphone_memory,Extending app installable memory in Android smartphones,MOBILESoft '16: Proceedings of the International Conference on Mobile Software Engineering and Systems
smartphone_memory,Protecting Data on Smartphones and Tablets from Memory Attacks,ASPLOS '15: Proceedings of the Twentieth International Conference on Architectural Support for Programming Languages and Operating Systems
smartphone_memory,Building high-performance smartphones via non-volatile memory: the swap approach,EMSOFT '14: Proceedings of the 14th International Conference on Embedded Software
smartphone_memory,Why application errors drain battery easily?: a study of memory leaks in smartphone apps,HotPower '13: Proceedings of the Workshop on Power-Aware Computing and Systems
