keyword,title,publication
smartphone_resource,A smartphone-enabled crowdsensing and crowdsourcing system for predicting municipality resource allocation stochastic requirements,PCI '20: Proceedings of the 24th Pan-Hellenic Conference on Informatics
smartphone_resource,Supporting Smartphone-Based Image Capture of Rapid Diagnostic Tests in Low-Resource Settings,ICTD '20: Proceedings of the 2020 International Conference on Information and Communication Technologies and Development
smartphone_resource,"An Early Resource Characterization of Deep Learning on Wearables, Smartphones and Internet-of-Things Devices",IoT-App '15: Proceedings of the 2015 International Workshop on Internet of Things towards Applications
smartphone_resource,UBAR: User- and Battery-aware Resource Management for Smartphones,"ACM Transactions on Embedded Computing Systems (TECS), Volume 20, Issue 3"
smartphone_resource,REQUEST: Seamless Dynamic Adaptive Streaming over HTTP for Multi-Homed Smartphone under Resource Constraints,MM '17: Proceedings of the 25th ACM international conference on Multimedia
smartphone_resource,RecDroid: a resource access permission control portal and recommendation service for smartphone users,SPME '14: Proceedings of the ACM MobiCom workshop on Security and privacy in mobile environments
smartphone_resource,Light-weight adaptive task offloading from smartphones to nearby computational resources,RACS '11: Proceedings of the 2011 ACM Symposium on Research in Applied Computation
smartphone_resource,Demo: CoMon - resource-aware cooperative context monitoring system for smartphone-centric sensor-rich pans,"MobiSys '11: Proceedings of the 9th international conference on Mobile systems, applications, and services"
smartphone_resource,When it's better to ask forgiveness than get permission: attribution mechanisms for smartphone resources,SOUPS '13: Proceedings of the Ninth Symposium on Usable Privacy and Security
smartphone_resource,SmartPhoto: a resource-aware crowdsourcing approach for image sensing with smartphones,MobiHoc '14: Proceedings of the 15th ACM international symposium on Mobile ad hoc networking and computing
smartphone_resource,MobiSIM: a simulation library for resource prediction of smartphones and wireless sensor networks,ANSS 13: Proceedings of the 46th Annual Simulation Symposium
