keyword,title,publication
android_battery,A study on identifying battery-draining Android applications in screen-off state,2015 IEEE 4th Global Conference on Consumer Electronics (GCCE)
android_battery,A Real-Time Android-Based Monitoring System for the Power Lithium-Ion Battery Used on EVs,2017 10th International Conference on Intelligent Computation Technology and Automation (ICICTA)
android_battery,Android Smartphone: Battery saving service,2011 International Conference on Research and Innovation in Information Systems
android_battery,A Battery-Aware Energy-Efficient Android Phone with Bayesian Networks,2012 9th International Conference on Ubiquitous Intelligence and Computing and 9th International Conference on Autonomic and Trusted Computing
android_battery,Identifying battery-draining applications by monitoring behavior in screen-off state in Android,2016 IEEE International Conference on Consumer Electronics-Taiwan (ICCE-TW)
android_battery,Reducing battery consumption of data polling and pushing techniques on Android using GZip,2015 7th International Conference on Information Technology and Electrical Engineering (ICITEE)
android_battery,Phase-based predicting the battery remaining time for Android mobile devices,2021 International Conference on Information and Communication Technology Convergence (ICTC)
android_battery,Battery monitoring and analysis for android based system,2013 15th International Conference on Advanced Computing Technologies (ICACT)
android_battery,Multimedia-based battery drain attacks for Android devices,2014 IEEE 11th Consumer Communications and Networking Conference (CCNC)
android_battery,Battery operated smart device for human movement measurement based on android OS platform and bluetooth technology,12th Symposium on Neural Network Applications in Electrical Engineering (NEUREL)
android_battery,Silent Battery Draining Attack against Android Systems by Subverting Doze Mode,2016 IEEE Global Communications Conference (GLOBECOM)
android_battery,Battery Efficient Location Strategy on Android,2019 International Conference on Military Communications and Information Systems (ICMCIS)
android_battery,Android App based Battery Management System with Charging Station Locator for Electric Vehicles,2024 Second International Conference on Emerging Trends in Information Technology and Engineering (ICETITE)
