keyword,title,publication
android_cpu,CPU power consumption reduction in android smartphone,2015 3rd International Conference on Green Energy and Technology (ICGET)
android_cpu,On the use of nonlinear methods for low-power CPU frequency prediction based on Android context variables,2016 IEEE 15th International Symposium on Network Computing and Applications (NCA)
android_cpu,Observation of Method Invocation in Application Runtime in Android for CPU Clock Rate Adjustment,2021 Ninth International Symposium on Computing and Networking Workshops (CANDARW)
android_cpu,CPU Usage Trends in Android Applications,2022 IEEE International Conference on Big Data (Big Data)
android_cpu,Power management for Android platform by Set CPU,2016 3rd International Conference on Computing for Sustainable Global Development (INDIACom)
android_cpu,CSS: An Android Application for Solving the CPU Process Scheduling Problems,2023 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE)
android_cpu,Estimating Android applications' CPU energy usage via bytecode profiling,2012 First International Workshop on Green and Sustainable Software (GREENS)
android_cpu,ARMORED: CPU-Bound Encryption for Android-Driven ARM Devices,"2013 International Conference on Availability, Reliability and Security"
android_cpu,Android Ransomware Detection using Machine Learning Techniques: A Comparative Analysis on GPU and CPU,2020 21st International Arab Conference on Information Technology (ACIT)
android_cpu,Performance Improvement of Linux CPU Scheduler Using Policy Gradient Reinforcement Learning for Android Smartphones,IEEE Access
android_cpu,MobiCore: An adaptive hybrid approach for power-efficient CPU management on Android devices,2017 30th IEEE International System-on-Chip Conference (SOCC)
android_cpu,Profiling CPU Behavior for Detection of Android Ransomware,SoutheastCon 2022
android_cpu,BrezeFlow: Unified Debugger for Android CPU Power Governors and Schedulers on Edge Devices,2020 57th ACM/IEEE Design Automation Conference (DAC)
