keyword,title,publication
android_energy,Refactoring Android-specific Energy Smells: A Plugin for Android Studio,2020 IEEE/ACM 28th International Conference on Program Comprehension (ICPC)
android_energy,Impact of Bluetooth low energy on energy consumption in Android OS,2018 XIV-th International Conference on Perspective Technologies and Methods in MEMS Design (MEMSTECH)
android_energy,Smart DC Home for Energy Saving with Android-Based Real-Time Energy Monitoring,2022 International Electronics Symposium (IES)
android_energy,Android on Mobile Devices: An Energy Perspective,2010 10th IEEE International Conference on Computer and Information Technology
android_energy,Student Attendance Management System with Bluetooth Low Energy Beacon and Android Devices,2015 18th International Conference on Network-Based Information Systems
android_energy,Measurement and analysis of energy consumption on Android smartphones,2014 4th IEEE International Conference on Information Science and Technology
android_energy,Leafactor: Improving Energy Efficiency of Android Apps via Automatic Refactoring,2017 IEEE/ACM 4th International Conference on Mobile Software Engineering and Systems (MOBILESoft)
android_energy,PETrA: A Software-Based Tool for Estimating the Energy Profile of Android Applications,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)
android_energy,Development of Mobile Indoor Positioning System Application Using Android and Bluetooth Low Energy with Trilateration Method,"2017 International Conference on Soft Computing, Intelligent System and Information Technology (ICSIIT)"
android_energy,Smart attendance management using Bluetooth Low Energy and Android,2016 IEEE Region 10 Conference (TENCON)
android_energy,Energy consumption in android phones when using wireless communication technologies,2012 Proceedings of the 35th International Convention MIPRO
android_energy,Development of Android based on-line monitoring and control system for Renewable Energy Sources,"2014 International Conference on Computer, Communications, and Control Technology (I4CT)"
android_energy,GEMMA: Multi-objective Optimization of Energy Consumption of GUIs in Android Apps,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)
android_energy,Energy efficient video decoding for the Android operating system,2013 IEEE International Conference on Consumer Electronics (ICCE)
android_energy,"Implementation of a smart grid system to remotely monitor, control and schedule energy sources using Android based mobile devices",2014 9th International Conference on Industrial and Information Systems (ICIIS)
android_energy,"GreenSource: A Large-Scale Collection of Android Code, Tests and Energy Metrics",2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR)
android_energy,Energy-aware computing for android platforms,2011 International Conference on Energy Aware Computing
android_energy,Improving Android Performance and Energy Efficiency,2011 24th Internatioal Conference on VLSI Design
android_energy,A Battery-Aware Energy-Efficient Android Phone with Bayesian Networks,2012 9th International Conference on Ubiquitous Intelligence and Computing and 9th International Conference on Autonomic and Trusted Computing
android_energy,Android and Bluetooth Low Energy Device Based Safety System,2019 3rd International Conference on Computing Methodologies and Communication (ICCMC)
android_energy,An Efficient Energy Management System for Android Phone Using Bayesian Networks,2012 32nd International Conference on Distributed Computing Systems Workshops
android_energy,Energy Metamorphic Testing for Android Applications,"2019 IEEE 30th International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC Workshops)"
android_energy,Bluetooth Low Energy-based Smart Home Android Solution,IEEE EUROCON 2019 -18th International Conference on Smart Technologies
android_energy,Android phone performance enhancement by energy efficient web browser,2015 Global Conference on Communication Technologies (GCCT)
android_energy,Android based energy aware real-time location tracking system,2015 Seventh International Conference on Ubiquitous and Future Networks
android_energy,Energy-Aware Technology-Based DVFS Mechanism for the Android Operating System,2012 Brazilian Symposium on Computing System Engineering
android_energy,Android-based application for real time energy monitoring of domestic electricity,"2015 IEEE Conference on Systems, Process and Control (ICSPC)"
android_energy,SEMA: An Approach Based on Internal Measurement to Evaluate Energy Efficiency of Android Applications,2015 Brazilian Symposium on Computing Systems Engineering (SBESC)
android_energy,mHealth Musculoskeletal Applications: Bluetooth Low Energy Devices and Android,2016 32nd Southern Biomedical Engineering Conference (SBEC)
android_energy,Automated offloading of android applications for computation/energy optimizations,2017 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)
android_energy,PhoneJoule: An Energy Management System for Android-Based Smartphones,"2013 IEEE International Conference on Green Computing and Communications and IEEE Internet of Things and IEEE Cyber, Physical and Social Computing"
