keyword,title,publication
android_performance,A qualitative analysis of the performance of MongoDB vs MySQL database based on insertion and retriewal operations using a web/android application to explore load balancing — Sharding in MongoDB and its advantages,"2017 International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)"
android_performance,Evaluating performance of Android platform using native C for embedded systems,ICCAS 2010
android_performance,GNSS Precise Point Positioning with Android Smartphones and Comparison with High Performance Receivers,"2019 IEEE International Conference on Signal, Information and Data Processing (ICSIDP)"
android_performance,Analysis of Android malware detection performance using machine learning classifiers,2013 International Conference on ICT Convergence (ICTC)
android_performance,Performance Analysis for Android Runtime Environment,2015 Fifth International Conference on Communication Systems and Network Technologies
android_performance,Performance analysis on Android SQLite database,2019 18th International Symposium INFOTEH-JAHORINA (INFOTEH)
android_performance,Android application for WiFi based indoor position: System design and performance analysis,2016 International Conference on Information Networking (ICOIN)
android_performance,Measuring and Improving Application Launching Performance on Android Devices,2013 First International Symposium on Computing and Networking
android_performance,Maintainable Mobile Model Using Pre-Cache Technology for High Performance Android System,2015 IEEE 2nd International Conference on Cyber Security and Cloud Computing
android_performance,Performance of Automation Testing Tools for Android Applications,2018 10th International Conference on Information Technology and Electrical Engineering (ICITEE)
android_performance,A method to improve application launch performance in Android devices,2016 International Conference on Internet of Things and Applications (IOTA)
android_performance,Improving Android Performance and Energy Efficiency,2011 24th Internatioal Conference on VLSI Design
android_performance,"In situ sports performance analysis system using inertial measurement units, high-FPS video camera, and the Android platform","2014 International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment and Management (HNICEM)"
android_performance,"Design, Development and Performance Analysis of a Low-Cost Health-Care Monitoring System using an Android Application","2018 International Conference on Innovations in Science, Engineering and Technology (ICISET)"
android_performance,Demystifying Application Performance Management Libraries for Android,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)
android_performance,Performance analysis for improved RAM utilization for Android applications,2012 CSI Sixth International Conference on Software Engineering (CONSEG)
android_performance,A memory management scheme for enhancing performance of applications on Android,2015 IEEE Recent Advances in Intelligent Computational Systems (RAICS)
android_performance,Android phone performance enhancement by energy efficient web browser,2015 Global Conference on Communication Technologies (GCCT)
android_performance,Performance Evaluation and Analysis of OpenVPN on Android,2012 Fourth International Conference on Computational and Information Sciences
android_performance,An Android-based application for digital gait performance analysis and rehabilitation,"2015 17th International Conference on E-health Networking, Application & Services (HealthCom)"
android_performance,Performance evaluation of Android location service at the urban canyon,16th International Conference on Advanced Communication Technology
android_performance,Performance Analysis of Kotlin Coroutines on Android in a Model-View-Intent Architecture pattern,2021 2nd International Conference for Emerging Technology (INCET)
android_performance,Android programming techniques for improving performance,2011 3rd International Conference on Awareness Science and Technology (iCAST)
android_performance,Learning Performance Optimization from Code Changes for Android Apps,"2019 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
android_performance,Performance analysis of middleware distributed and clustered systems (PAMS) concept in mobile communication devices using Android operating system,"2014 International Conference on Parallel, Distributed and Grid Computing"
android_performance,Design and Development of Android Performance Testing Tool,2020 IEEE Conference on Big Data and Analytics (ICBDA)
android_performance,Enhancing application performance by memory partitioning in Android platforms,2013 IEEE International Conference on Consumer Electronics (ICCE)
android_performance,Performance evaluation of instant messenger in Android operating system and iPhone operating system,2016 4th International Conference on Cyber and IT Service Management
android_performance,Performance Comparison of Dalvik and ART on Different Android-Based Mobile Devices,2018 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI)
android_performance,Performance of max-plus algebra-based morphological wavelet transform watermarking in android devices,"2017 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)"
android_performance,Performance Investigation of Unit Testing in Android Programming Learning Assistance System,2021 IEEE 3rd Global Conference on Life Sciences and Technologies (LifeTech)
android_performance,Performance analysis of Android underlying virtual machine in mobile phones,2012 IEEE Second International Conference on Consumer Electronics - Berlin (ICCE-Berlin)
