keyword,title,publication
android_response,Secured authentication using challenge-response and quick-response code for Android mobiles,International Conference on Information Communication and Embedded Systems (ICICES2014)
android_response,iFall: An android application for fall monitoring and response,2009 Annual International Conference of the IEEE Engineering in Medicine and Biology Society
android_response,User-Perceived Response Metrics in Android OS for Software Aging detection,2020 IEEE 15th International Conference on Computer Sciences and Information Technologies (CSIT)
android_response,Do Your Students Get It? Quiz It! The Android Classroom Response System,2014 IEEE 14th International Conference on Advanced Learning Technologies
android_response,Android-based Student Response System as a Learning Tool in the Classroom,"2018 IEEE 10th International Conference on Humanoid, Nanotechnology, Information Technology,Communication and Control, Environment and Management (HNICEM)"
android_response,Therapists response towards using Android app to control NAO robot during intervention program for children with autism,2015 IEEE International Symposium on Robotics and Intelligent Sensors (IRIS)
android_response,Response Type Road Roughness Measuring System from a Vehicle Mounted Android Smartphone,2022 IEEE Delhi Section Conference (DELCON)
android_response,"Development of a Collaborative Information Management Prototype through a gamification App for Android in the prevention, response and recovery of natural, technological and human disasters",2023 18th Iberian Conference on Information Systems and Technologies (CISTI)
android_response,Emergency response gas emergency intelligent auxiliary information terminal software development based on the android operating system,2018 Chinese Control And Decision Conference (CCDC)
android_response,Context Bucketed Text Responses using Generative Adversarial Neural Network in Android Application with Tens or Flow-Lite Framework,2022 8th International Conference on Signal Processing and Communication (ICSC)
android_response,Android Device Incident Response: Viber Analysis,2022 IEEE International Conference on Cyber Security and Resilience (CSR)
android_response,Android-based Multimedia Data Transmission for Online Disaster Monitoring and Emergency Response,2018 International Conference on Electrical Engineering and Informatics (ICELTICs)
android_response,"Why are you smiling? In a strategic context, people's affective responses reflect the meaning of android's facial expressions",2012 IEEE International Conference on Development and Learning and Epigenetic Robotics (ICDL)
android_response,Fog Computing based Automated Accident Detection and Emergency Response System using Android Smartphone,2018 14th International Conference on Emerging Technologies (ICET)
android_response,Technology-Needs Assessment Data Analysis using PCA for the Design of a WLAN-based Hybrid Classroom Response and Learning Management System Android Application,"2019 IEEE 11th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management ( HNICEM )"
android_response,A pilot study of QuizIt: The new android classroom response system,2014 International Conference on Interactive Mobile Communication Technologies and Learning (IMCL2014)
