keyword,title,publication
android_storage,Enforcing File System Permissions on Android External Storage: Android File System Permissions (AFP) Prototype and ownCloud,"2014 IEEE 13th International Conference on Trust, Security and Privacy in Computing and Communications"
android_storage,Protecting Data in Android External Data Storage,2019 IEEE 43rd Annual Computer Software and Applications Conference (COMPSAC)
android_storage,Design and Implementation of File Multi-Cloud Storage System Based on Android,2020 IEEE 11th International Conference on Software Engineering and Service Science (ICSESS)
android_storage,ID Card Storage System using Optical Character Recognition (OCR) on Android-based Smartphone,2022 International Conference on Electrical and Information Technology (IEIT)
android_storage,Research on Display and Storage of Raster Data Based on Android Platform,2018 Fifth International Workshop on Earth Observation and Remote Sensing Applications (EORSA)
android_storage,Android phone as wireless USB storage device through USB/IP connection,2011 IEEE International Conference on Consumer Electronics (ICCE)
android_storage,Management and Control System of Hazardous Chemicals Storage Cabinet Based on Android,2020 Chinese Automation Congress (CAC)
android_storage,Android Local Data Storage for Enhanced Quality of Experience: Performance Benchmark of Different Approaches on a Transactional Application,2022 Innovations in Intelligent Systems and Applications Conference (ASYU)
android_storage,A fully automated intelligent system for vehicle storage and parking management using android and arduino hardware and applications,2019 IEEE International Conference on Design & Test of Integrated Micro & Nano-Systems (DTS)
android_storage,Design and implementation of Android-based speech storage system,"2016 IEEE Information Technology, Networking, Electronic and Automation Control Conference"
android_storage,Secure File Storage for Android Devices on Public Clouds,2019 IEEE 8th International Conference on Cloud Networking (CloudNet)
android_storage,A SDKEY-Based Secure Storage and Transmission Approach for Android Phone,2014 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery
android_storage,Cross-layered view on android storage IO system,2012 7th International Conference on Computing and Convergence Technology (ICCCT)
android_storage,PolyScope: Multi-Policy Access Control Analysis to Triage Android Scoped Storage,IEEE Transactions on Dependable and Secure Computing
android_storage,An Implementation and Evaluation of Basic Data Storage Topic for Content Provider Stage in Android Programming Learning Assistance System,"2021 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)"
android_storage,Application of IoT and Cloud Storage in Android-Based Smart Home Technology,2021 7th International HCI and UX Conference in Indonesia (CHIuXiD)
android_storage,A fine-grained permission control mechanism for external storage of Android,"2016 IEEE International Conference on Systems, Man, and Cybernetics (SMC)"
android_storage,Demystifying Android’s Scoped Storage Defense,IEEE Security & Privacy
android_storage,An Empirical Analysis of Hazardous Uses of Android Shared Storage,IEEE Transactions on Dependable and Secure Computing
android_storage,Security Library for Safe Data Storage on Android Platform,"2021 IEEE 20th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)"
android_storage,Secure Storage of Data on Devices-Android based,2021 International Conference on Software Engineering & Computer Systems and 4th International Conference on Computational Science and Information Management (ICSECS-ICOCSIM)
android_storage,Offloading Android Storage to Cloud Platform,2021 5th International Conference on Information Systems and Computer Networks (ISCON)
android_storage,SecureESFS: Sharing Android External Storage Files in a Securer Way,"2020 IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)"
