keyword,title,publication
mobile_battery,Optimizimg the mobile PC battery through smart battery software,The Twelfth Annual Battery Conference on Applications and Advances
mobile_battery,Potential for extended battery life in mobile healthcare with Bluetooth low energy and signal compression,IET Irish Signals and Systems Conference (ISSC 2012)
mobile_battery,Utilizing Mobile Devices' Tactile Feedback for Presenting Braille Characters: An Optimized Approach for Fast Reading and Long Battery Life,Interacting with Computers
mobile_battery,IEEE Standard for Rechargeable Batteries for Mobile Phones - Redline,Most Recent Versions
mobile_battery,"IEEE Draft Guide for Design, Operation, and Maintenance of Battery Energy Storage Systems, both Stationary and Mobile, and Applications Integrated with Electric Power Systems",Versions
mobile_battery,"IEEE Draft Guide for Design, Operation, and Maintenance of Battery Energy Storage Systems, both Stationary and Mobile, and Applications Integrated with Electric Power Systems",Versions
mobile_battery,"Open, flexible and extensible battery management system for lithium-ion batteries in mobile and stationary applications",2016 IEEE 25th International Symposium on Industrial Electronics (ISIE)
mobile_battery,Design and experimental setup of a backup battery as a source to mobile phone battery,"2016 International Conference on Electrical, Electronics, and Optimization Techniques (ICEEOT)"
mobile_battery,Battery Cells Characterization for Subsequent Operation in Battery Models used in Mobile Charging Station Designing,2019 Electric Vehicles International Conference (EV)
mobile_battery,Extending the range of electric scooters from fixed-point battery stations by using a dynamic battery swapping mobile application,2018 IEEE International Conference on Applied System Invention (ICASI)
mobile_battery,RF energy harvesting using 900MHz of mobile signal frequency to charging the mobile battery,2017 International Conference on Innovations in Green Energy and Healthcare Technologies (IGEHT)
mobile_battery,A novel battery charger circuit with an improved parallel-loaded resonant converter for rechargeable batteries in mobile power applications,2014 IEEE 23rd International Symposium on Industrial Electronics (ISIE)
mobile_battery,"Reliable IoT Systems for Improving Quality of Battery Life Through The Exploitation of Cloud, Mobile and BLE Technologies. Case Study: Battery Charge Protect",2020 9th Mediterranean Conference on Embedded Computing (MECO)
mobile_battery,On the impact of 2G and 3G network usage for mobile phones' battery life,2009 European Wireless Conference
mobile_battery,A dual-band internal antenna with a parasitic patch for mobile handsets and the consideration of the handset case and battery,IEEE Antennas and Wireless Propagation Letters
mobile_battery,Towards an intrusion detection system for battery exhaustion attacks on mobile computing devices,Third IEEE International Conference on Pervasive Computing and Communications Workshops
mobile_battery,Will fuel cells replace batteries in mobile devices?,Computer
mobile_battery,Contactless energy transmission to mobile loads by CLPS-test driving of an EV with starter batteries,IEEE Transactions on Magnetics
mobile_battery,Stationary and mobile battery energy storage systems for smart grids,2011 4th International Conference on Electric Utility Deregulation and Restructuring and Power Technologies (DRPT)
mobile_battery,Powerful change part 1: batteries and possible alternatives for the mobile market,IEEE Pervasive Computing
mobile_battery,Parallel Connections and their Effect on the Battery Consumption of a Mobile Phone,2010 7th IEEE Consumer Communications and Networking Conference
mobile_battery,Extending Mobile Device's Battery Life by Offloading Computation to Cloud,2015 2nd ACM International Conference on Mobile Software Engineering and Systems
mobile_battery,A flexible weighted clustering algorithm based on battery power for Mobile Ad hoc Networks,2008 IEEE International Symposium on Industrial Electronics
mobile_battery,Optimizing DRX configuration to improve battery power saving and latency of active mobile applications over LTE-A network,2013 IEEE Wireless Communications and Networking Conference (WCNC)
mobile_battery,Battery Exhaustion Attack Detection with Small Handheld Mobile Computers,2007 IEEE International Conference on Portable Information Devices
mobile_battery,Adaptive Self Refresh Scheme for Battery Operated High-Density Mobile DRAM Applications,2006 IEEE Asian Solid-State Circuits Conference
mobile_battery,NXG04-3: Does Multi-hop Communication Extend the Battery Life of Mobile Terminals?,IEEE Globecom 2006
mobile_battery,Analysis of the integration of IEEE 802.11e capabilities in battery limited mobile devices,IEEE Wireless Communications
mobile_battery,An approach to improve battery run-time in mobile applications with supercapacitors,"IEEE 34th Annual Conference on Power Electronics Specialist, 2003. PESC '03."
mobile_battery,A Noninverting Buck–Boost Converter With State-Based Current Control for Li-ion Battery Management in Mobile Applications,IEEE Transactions on Industrial Electronics
mobile_battery,Application of Unscented Kalman Filter in the SOC Estimation of Li-ion Battery for Autonomous Mobile Robot,2006 IEEE International Conference on Information Acquisition
mobile_battery,Battery consumption and handoff examination of a cellular ad-hoc united communication system for operational mobile robots,"Ninth IEEE International Symposium on Personal, Indoor and Mobile Radio Communications (Cat. No.98TH8361)"
mobile_battery,Building a cloud-based energy storage system through digital transformation of distributed backup battery in mobile base stations,China Communications
mobile_battery,Battery Swapping Mobile Service Station for Electric Vehicles Application,"2021 Second International Conference on Smart Technologies in Computing, Electrical and Electronics (ICSTCEE)"
mobile_battery,Energy-Saving 3-Step Velocity Control Algorithm for Battery-Powered Wheeled Mobile Robots,Proceedings of the 2005 IEEE International Conference on Robotics and Automation
mobile_battery,Battery life of mobile peers with UMTS and WLAN in a Kademlia-based P2P overlay,"2009 IEEE 20th International Symposium on Personal, Indoor and Mobile Radio Communications"
mobile_battery,An aging-aware battery charge scheme for mobile devices exploiting plug-in time patterns,2015 33rd IEEE International Conference on Computer Design (ICCD)
mobile_battery,Techno-Economic Analysis of a Battery Energy Storage System with Combined Stationary and Mobile Applications,2018 IEEE Conference on Technologies for Sustainability (SusTech)
mobile_battery,Improving battery life and performance of mobile devices with cyber foraging,"2011 IEEE 22nd International Symposium on Personal, Indoor and Mobile Radio Communications"
mobile_battery,Synergistic Effect of Charge/Discharge Cycle and Storage in Degradation of Lithium-ion Batteries for Mobile Phones,INTELEC 05 - Twenty-Seventh International Telecommunications Conference
mobile_battery,Synchronized Power Saving Mechanisms for Battery-Powered Mobile Terminals in Smart FiWi Networks,2014 IEEE 80th Vehicular Technology Conference (VTC2014-Fall)
mobile_battery,Battery Management System For Mobile Robots based on an Extended Kalman Filter Approch,2021 29th Mediterranean Conference on Control and Automation (MED)
mobile_battery,Offloading to Improve the Battery Life of Mobile Devices,IEEE Pervasive Computing
mobile_battery,The safety characteristics of lithium-ion batteries for mobile phones and the nail penetration test,INTELEC 07 - 29th International Telecommunications Energy Conference
mobile_battery,Impact of SIB Scheduling on the Standby Battery Life of Mobile Devices in UMTS,2007 16th IST Mobile and Wireless Communications Summit
mobile_battery,Minimizing Capacity Degradation of Heterogeneous Batteries in a Mobile Embedded System,IEEE Embedded Systems Letters
mobile_battery,Microgrid system and component evaluation: Mobile test platform with battery storage,2017 IEEE Innovative Smart Grid Technologies - Asia (ISGT-Asia)
mobile_battery,An average modeling approach for mobile refrigeration hybrid power systems with improved battery simulation,2013 IEEE Transportation Electrification Conference and Expo (ITEC)
mobile_battery,NEMA: Node Energy Monitoring Algorithm for Zone Head Selection in mobile ad-hoc network using residual battery power of node,"2016 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)"
mobile_battery,A new approach to battery power tracking and predicting for mobile robot transportation using wavelet decomposition and ANFIS networks,2014 IEEE International Conference on Robotics and Biomimetics (ROBIO 2014)
mobile_battery,A Mobile Photovoltaic-Battery System for Off-Grid Applications,"2020 International Conference on Electrical, Communication, and Computer Engineering (ICECCE)"
mobile_battery,Batteries-supercapacitors storage systems for a mobile hybrid renewable energy system,2013 IEEE Electrical Power & Energy Conference
mobile_battery,Coin based mobile battery charger with high security,2017 3rd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT)
mobile_battery,A methodology for testing battery deprivation denial of service attacks in mobile phones,2015 International Conference on Information and Digital Technologies
mobile_battery,Minimum-time grid coverage trajectory planning algorithm for mobile robots with battery voltage constraints,ICCAS 2010
mobile_battery,"A single-step, single-inductor energy-harvestingbased power supply platform with a regulated battery charger for mobile applications",2015 IEEE Applied Power Electronics Conference and Exposition (APEC)
mobile_battery,Power Profile Evaluation of Battery-Powered Mobile Applications,"2007 14th IEEE International Conference on Electronics, Circuits and Systems"
mobile_battery,Minimum-energy trajectory planning on a tangent for battery-powered three-wheeled omni-directional mobile robots,ICCAS 2010
mobile_battery,A thermal management system for lithium-ion battery in mobile systems,2013 European Conference on Circuit Theory and Design (ECCTD)
mobile_battery,Residual Battery Capacity Based Routing Protocol for Extending Lifetime of Mobile Ad Hoc Network,2018 International Conference On Advances in Communication and Computing Technology (ICACCT)
mobile_battery,Evaluating battery aging on mobile devices,2015 52nd ACM/EDAC/IEEE Design Automation Conference (DAC)
mobile_battery,Methods of energy conservation and management for commercial Li-ion battery packs of mobile phones,"The 25th International Telecommunications Energy Conference, 2003. INTELEC '03."
mobile_battery,Advanced traction rechargeable battery system for cableless mobile robot,Proceedings 2003 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM 2003)
mobile_battery,An implementation of an automatic adjustment power transfer position wireless battery charging system for mobile devices,2017 IEEE 6th Global Conference on Consumer Electronics (GCCE)
mobile_battery,New Approach for Improving Battery Power Consumption of Wireless Mobile Adhoc Networks Nodes Using Genetic Algorithm,2020 International Conference on Power Electronics & IoT Applications in Renewable Energy and its Control (PARC)
mobile_battery,Mobile interface control scheme can extend battery life,2015 International Conference on Information Networking (ICOIN)
mobile_battery,Exploring energy harvesting technology for wireless charging of mobile device batteries,2017 Conference on Information Communication Technology and Society (ICTAS)
mobile_battery,Transistor-interconnect mobile system-on-chip co-design method for holistic battery energy minimization,2015 Symposium on VLSI Technology (VLSI Technology)
mobile_battery,Study on the Control Strategy of Mobile Battery Energy Storage for the Overload Elimination of Distribution Transformer,2020 12th IEEE PES Asia-Pacific Power and Energy Engineering Conference (APPEEC)
mobile_battery,Development of Long Rail Dynamic Wireless Power Transfer for Battery-Free Mobile Robot,2019 10th International Conference on Power Electronics and ECCE Asia (ICPE 2019 - ECCE Asia)
mobile_battery,RF Harvesting at 2.4 GHz for Scattering between Battery-less Transponder and Mobile Telephones,2021 IEEE International Conference on RFID Technology and Applications (RFID-TA)
mobile_battery,Energy consumption prediction technique for embedded mobile device by using battery discharging pattern,2010 2nd IEEE InternationalConference on Network Infrastructure and Digital Content
mobile_battery,Real-Time Monitoring Device for Car Battery with Remote Switching Capability Via Mobile Application,"2019 34th International Technical Conference on Circuits/Systems, Computers and Communications (ITC-CSCC)"
mobile_battery,GMM-P: Intelligent Method Based a Mobile Battery Swapping Service for Electric Vehicles,2021 25th International Computer Science and Engineering Conference (ICSEC)
mobile_battery,Compiler Directed Battery-Aware Implementation of Mobile Applications,2006 International Conference on Emerging Technologies
mobile_battery,Adaptive battery conservation management using packet QoS classifications for multimedia mobile packet communications,Proceedings IEEE 56th Vehicular Technology Conference
mobile_battery,A Scheduling Policy for Battery Management in Mobile Devices,2009 First International Conference on Networks & Communications
mobile_battery,Mobile Battery Energy Storage System for On/Off Grid Applications,2022 Global Energy Conference (GEC)
mobile_battery,Zinc-air rechargeable batteries for mobile power,Proceedings of 9th Annual Battery Conference on Applications and Advances
mobile_battery,Balancing Precision and Battery Drain in Activity Recognition on Mobile Phone,2012 IEEE 18th International Conference on Parallel and Distributed Systems
mobile_battery,The impact of radiation degraded li-ion battery to mobile robots,"2017 International Conference on Mechanical, System and Control Engineering (ICMSC)"
mobile_battery,Mobile ad hoc networks powered by energy harvesting: Battery-level dynamics and spatial throughput,2013 IEEE International Conference on Communications (ICC)
mobile_battery,Using remaining battery lifetime information and relaying to decrease outage probability of a mobile terminal,2003 IEEE 58th Vehicular Technology Conference. VTC 2003-Fall (IEEE Cat. No.03CH37484)
mobile_battery,Performance evaluation of permanent magnet linear generator for charging the battery of mobile apparatus,IEMDC 2001. IEEE International Electric Machines and Drives Conference (Cat. No.01EX485)
mobile_battery,Harvesting Data Streams for Scattering between Battery-less Transponder and Mobile Telephones,2022 Wireless Power Week (WPW)
mobile_battery,Battery Level Estimation of Mobile Agents under Communication Constraints,"2010 IEEE International Conference on Sensor Networks, Ubiquitous, and Trustworthy Computing"
mobile_battery,Phase-based predicting the battery remaining time for Android mobile devices,2021 International Conference on Information and Communication Technology Convergence (ICTC)
mobile_battery,Analysis on the battery lifespan of a mobile terminal under probabilistic delay constraint,"2012 Third International Conference on Future Systems: Where Energy, Computing and Communication Meet (e-Energy)"
mobile_battery,Design of a centralized management system based on mobile modular on-board batteries,2018 International Conference on Power System Technology (POWERCON)
mobile_battery,A Smart Solution for Fair Value Compensation (FVC) in EV-Batteries Based Mobile Microgrid,2012 10th International Conference on Frontiers of Information Technology
mobile_battery,Algorithm for Replacing the Battery of a Robotic Tool Using Serving Mobile Robots,2022 International Russian Automation Conference (RusAutoCon)
mobile_battery,Dynamic fuzzy controller based multilayered architecture for extended battery life in mobile handheld devices,"2009 IEEE International Conference on Systems, Man and Cybernetics"
mobile_battery,Battery-aware network discovery algorithm for mobile terminals within heterogeneous networks,2014 IEEE 19th International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD)
mobile_battery,Tunable ESD clamp for high-voltage power I/O pins of a battery charge circuit in mobile applications,2017 47th European Solid-State Device Research Conference (ESSDERC)
mobile_battery,Dynamic power demand allocation and battery energy compensation control of a mobile microgrid system,2015 IEEE 11th International Conference on Power Electronics and Drive Systems
mobile_battery,Modelling and improving the battery performance of a mobile phone application: A methodology,5th International Conference on Energy Aware Computing Systems & Applications
mobile_battery,Defending Battery Exhaustion Attacks on Mobile Systems,2009 33rd Annual IEEE International Computer Software and Applications Conference
mobile_battery,Battery life challenges on future mobile notebook platforms,Proceedings of the 2004 International Symposium on Low Power Electronics and Design (IEEE Cat. No.04TH8758)
mobile_battery,Dual-band internal antenna of PIFA type for mobile handsets and the effect of the handset case and battery,2005 IEEE Antennas and Propagation Society International Symposium
mobile_battery,Design of Mobile Application for Monitoring Battery Condition Using Internet of Things Technology,2023 IEEE Asia Pacific Conference on Wireless and Mobile (APWiMob)
mobile_battery,Survey on mobile phone battery end-life in Tanzania,2013 Africon
mobile_battery,RF Harvesting for Scattering at 1.8 Volt between Battery-less Transponder and Mobile Telephones,2023 IEEE 13th International Conference on RFID Technology and Applications (RFID-TA)
mobile_battery,A novel modulation/RF architecture for long battery life-time PCS mobile units,IEEE Transactions on Consumer Electronics
mobile_battery,Harvesting for Scattering Bluetooth-Signals between Battery-less Transponder and Mobile Telephones,2020 IEEE Wireless Power Transfer Conference (WPTC)
mobile_battery,The Effects of Mobile Battery Electricity Storage Systems On The Distribution Network,2020 12th International Conference on Electrical and Electronics Engineering (ELECO)
mobile_battery,Failure analysis on Mobile Phone Batteries and Accessories,2018 IEEE 20th Electronics Packaging Technology Conference (EPTC)
mobile_battery,Mobile battery energy storage systems influence on overcurrent protection of distribution networks,2018 Simposio Brasileiro de Sistemas Eletricos (SBSE)
mobile_battery,Three megawatt mobile RF system with battery prime power,Conference Record of the 2000 Twenty-fourth International Power Modulator Symposium
mobile_battery,Quantitative Evaluation in Embedded System Design: Predicting Battery Lifetime in Mobile Devices,"2008 Design, Automation and Test in Europe"
mobile_battery,Contactless Energy Transmission To Mobile Loads By CLPS - Test Driving Of An EV With Starter Batteries,Year: 1997 | Conference Paper | Publisher: IEEE
mobile_battery,Efficient Design and Analysis of Battery Switching Stations for the Collaborative Wireless Network of Mobile Robots,2021 International Conference on Artificial Intelligence (ICAI)
mobile_battery,An approach to increase the battery time of a mobile phone using free energy harvesting,2015 IEEE International Telecommunications Energy Conference (INTELEC)
mobile_battery,Space batteries for mobile battlefield power applications,IEEE Aerospace and Electronic Systems Magazine
mobile_battery,A Novel High-Frequency Sinusoidal Pulse-Charging Method Based on a Contactless Battery Charger for Mobile Service Robots,2020 IEEE 29th International Symposium on Industrial Electronics (ISIE)
mobile_battery,Optimal Planning of Mobile Battery Energy Storage in Distribution Network with Soft Open Point,2022 IEEE/IAS Industrial and Commercial Power System Asia (I&CPS Asia)
mobile_battery,"Development, Demonstration, and Validation of Mobile Battery Energy Storage System (MBESS) by Southern California Edison (SCE)",2024 IEEE Electrical Energy Storage Application and Technologies Conference (EESAT)
