keyword,title,publication
mobile_cpu,"Mobile CPU's rise to power: Quantifying the impact of generational mobile CPU design trends on performance, energy, and user satisfaction",2016 IEEE International Symposium on High Performance Computer Architecture (HPCA)
mobile_cpu,Inside Tiger Lake: Intel’s Next Generation Mobile Client CPU,2020 IEEE Hot Chips 32 Symposium (HCS)
mobile_cpu,PRINCIPIA: Opportunistic CPU and CPU-shares Allocation for Containerized Virtualization in Mobile Edge Computing,NOMS 2023-2023 IEEE/IFIP Network Operations and Management Symposium
mobile_cpu,Impact of ultra low power and fast write operation of advanced perpendicular MTJ on power reduction for high-performance mobile CPU,2012 International Electron Devices Meeting
mobile_cpu,Novel hybrid DRAM/MRAM design for reducing power of high performance mobile CPU,2012 International Electron Devices Meeting
mobile_cpu,4.3 A 20nm 2.5GHz ultra-low-power tri-cluster CPU subsystem with adaptive power allocation for optimal mobile SoC performance,2016 IEEE International Solid-State Circuits Conference (ISSCC)
mobile_cpu,3.4 A 10nm FinFET 2.8GHz tri-gear deca-core CPU complex with optimized power-delivery network for mobile SoC performance,2017 IEEE International Solid-State Circuits Conference (ISSCC)
mobile_cpu,The Role of the CPU in Energy-Efficient Mobile Web Browsing,IEEE Micro
mobile_cpu,"10.3 heterogeneous multi-processing quad-core CPU and dual-GPU design for optimal performance, power, and thermal tradeoffs in a 28nm mobile application processor",2014 IEEE International Solid-State Circuits Conference Digest of Technical Papers (ISSCC)
mobile_cpu,A 600MIPS 120mW 70/spl mu/A leakage triple-CPU mobile application processor chip,"ISSCC. 2005 IEEE International Digest of Technical Papers. Solid-State Circuits Conference, 2005."
mobile_cpu,"A Perpetuum Mobile 32bit CPU with 13.4pJ/cycle, 0.14µA sleep current using Reverse Body Bias Assisted 65nm SOTB CMOS technology",2014 IEEE COOL Chips XVII
mobile_cpu,Performance evaluation of LDPC decoding on a general purpose mobile CPU,2013 IEEE Global Conference on Signal and Information Processing
mobile_cpu,Using the CPU and GPU for real-time video enhancement on a mobile computer,IEEE 10th INTERNATIONAL CONFERENCE ON SIGNAL PROCESSING PROCEEDINGS
mobile_cpu,Design and implementation of a low power mobile CPU based embedded system for artificial leg control,2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)
mobile_cpu,CPU and GPU parallel processing for mobile Augmented Reality,2013 6th International Congress on Image and Signal Processing (CISP)
mobile_cpu,CPU Resource Resilience in Wireless Mobile Communications: Design and Evaluation on COTS Virtual Distributed Platform,2022 IEEE International Black Sea Conference on Communications and Networking (BlackSeaCom)
mobile_cpu,Promise of a low power mobile CPU based embedded system in artificial leg control,2012 Annual International Conference of the IEEE Engineering in Medicine and Biology Society
mobile_cpu,Runtime CPU scheduler customization framework for a flexible mobile operating system,2009 IEEE Student Conference on Research and Development (SCOReD)
mobile_cpu,A 5nm 3.4GHz Tri-Gear ARMv9 CPU Subsystem in a Fully Integrated 5G Flagship Mobile SoC,2022 IEEE International Solid-State Circuits Conference (ISSCC)
mobile_cpu,Mobile CPU Based Optimization of Fast Likelihood Computation for Continuous Speech Recognition,"2007 IEEE International Conference on Acoustics, Speech and Signal Processing - ICASSP '07"
mobile_cpu,Systems engineering approach to CPU scheduling for mobile multimedia systems,2011 IEEE International Systems Conference
mobile_cpu,A perpetuum mobile 32bit CPU on 65nm SOTB CMOS technology with reverse-body-bias assisted sleep mode,2014 IEEE Hot Chips 26 Symposium (HCS)
mobile_cpu,Mobile Application Aware Smartphone CPU Clock Frequency Optimization,2018 Sixth International Symposium on Computing and Networking Workshops (CANDARW)
mobile_cpu,Towards a parallelization and performance optimization of Viola and Jones algorithm in heterogeneous CPU-GPU mobile system,2015 15th International Conference on Intelligent Systems Design and Applications (ISDA)
mobile_cpu,A New Direction for III–V FETs for Mobile CPU Operation Including Burst-Mode: In0.35Ga0.65As Channel,IEEE Electron Device Letters
mobile_cpu,Mobile CPU power/performance benchmarking and process technology co-optimization,2014 IEEE International Conference on IC Design & Technology
mobile_cpu,Speed-up image processing on mobile CPU and GPU,2015 Asia Pacific Conference on Multimedia and Broadcasting
mobile_cpu,CPU and GPU gray scale image conversion on mobile platforms,"2017 9th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)"
mobile_cpu,Effective Uilitzation of Modern Mobile CPU's Asymmetric Characteristics,2019 International SoC Design Conference (ISOCC)
