keyword,title,publication
mobile_energy,Mobile App Energy Consumption: A Study of Known Energy Issues in Mobile Applications and their Classification Schemes – Summary Plan,2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)
mobile_energy,"Mobile application for household energy consumption feedback using smart meters: Increasing energy awareness, encouraging energy savings and avoiding energy peaks",2014 International Conference on Collaboration Technologies and Systems (CTS)
mobile_energy,Saving Energy in Mobile Devices Using Mobile Device Cloudlet in Mobile Edge Computing for 5G,"2017 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)"
mobile_energy,"Energy-Efficient Computing: Datacenters, Mobile Devices, and Mobile Clouds",2018 Ninth International Green and Sustainable Computing Conference (IGSC)
mobile_energy,PowerScope: a tool for profiling the energy usage of mobile applications,Proceedings WMCSA'99. Second IEEE Workshop on Mobile Computing Systems and Applications
mobile_energy,Energy efficiency of media access protocols for mobile data networks,IEEE Transactions on Communications
mobile_energy,Statistical analysis of the level crossings and duration of fades of the signal from an energy density mobile radio antenna,The Bell System Technical Journal
mobile_energy,A Moore?s Law for Mobile Energy: Improving upon conventional batteries and energy sources for mobile devices,IEEE Consumer Electronics Magazine
mobile_energy,Energy and link measurements for mobile phones using IEEE802.11b/g [PDF Not Yet Available In IEEE Xplore],"2008 6th International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks and Workshops"
mobile_energy,Potential for extended battery life in mobile healthcare with Bluetooth low energy and signal compression,IET Irish Signals and Systems Conference (ISSC 2012)
mobile_energy,An energy efficient design for UAV communication with mobile edge computing,China Communications
mobile_energy,EMS-MAC: Energy Efficient Contention-Based Medium Access Control Protocol for Mobile Sensor Networks,The Computer Journal
mobile_energy,Mobile energy disseminators increase electrical vehicles range in a smart city,5th IET Hybrid and Electric Vehicles Conference (HEVC 2014)
mobile_energy,Energy efficient and Fault Tolerant Routing Protocol for Mobile Wireless Sensor Networks,2014 International Conference on Information and Communications Technologies (ICT 2014)
mobile_energy,AMPS: An Adaptive Message Push Strategy for the Energy Efficiency Optimization in Mobile Terminals,The Computer Journal
mobile_energy,Energy saving techniques applied over a nation-wide mobile network,European Wireless 2014; 20th European Wireless Conference
mobile_energy,A carbon free mobile supply solution combining Energy Storage System and local production for planned and unplanned outages,CIRED 2021 - The 26th International Conference and Exhibition on Electricity Distribution
mobile_energy,Energy Efficiency of Network-Based Acoustic Echo Control in Mobile Radio,Speech Communication; 10. ITG Symposium
mobile_energy,Energy and Power Measurements for Network Coding in the Context of Green Mobile Clouds,ISWCS 2013; The Tenth International Symposium on Wireless Communication Systems
mobile_energy,Multi-user cooperative diversity for energy conservation in green mobile networks,IET International Conference on Communication Technology and Application (ICCTA 2011)
mobile_energy,Energy efficient cooperative caching based on clustering in mobile ad hoc networks,International Conference on Software Intelligence Technologies and Applications & International Conference on Frontiers of Internet of Things 2014
mobile_energy,"IEEE Draft Guide for Design, Operation, and Maintenance of Battery Energy Storage Systems, both Stationary and Mobile, and Applications Integrated with Electric Power Systems",Versions
mobile_energy,Mobile energy with E.DIS (Moew.e) pilot project within IElectrix,CIRED 2020 Berlin Workshop (CIRED 2020)
mobile_energy,THE OPTIMAL DISPATCH OF MOBILE ENERGY STORAGE SYSTEM FOR THE BLACK-START OF TRADITIONAL THERMAL GENERATORS,The 10th Renewable Power Generation Conference (RPG 2021)
mobile_energy,"IEEE Draft Guide for Design, Operation, and Maintenance of Battery Energy Storage Systems, both Stationary and Mobile, and Applications Integrated with Electric Power Systems",Versions
mobile_energy,Smart office energy management system using bluetooth low energy based beacons and a mobile app,2015 IEEE International Conference on Consumer Electronics (ICCE)
mobile_energy,Energy locality: processing/communication/interface tradeoffs to optimize energy in mobile systems,Proceedings IEEE Computer Society Workshop on VLSI 2001. Emerging Technologies for VLSI Systems
mobile_energy,Mobile Terminals Cooperative Communication Framework for Energy Saving: Evaluation of Energy Efficiency Using Smartphone Test-Bed,2018 Eleventh International Conference on Mobile Computing and Ubiquitous Network (ICMU)
mobile_energy,A Novel Joint Mobile Cache and Power Management Scheme for Energy-Efficient Mobile Augmented Reality Service in Mobile Edge Computing,IEEE Wireless Communications Letters
mobile_energy,Energy-optimal mobile application execution: Taming resource-poor mobile devices with cloud clones,2012 Proceedings IEEE INFOCOM
mobile_energy,Optimized energy efficient content distribution over wireless networks with mobile-to-mobile cooperation,2010 17th International Conference on Telecommunications
mobile_energy,Response to “Children Absorb Higher Doses of Radio Frequency Electromagnetic Radiation From Mobile Phones Than Adults” and “Yes the Children Are More Exposed to Radiofrequency Energy From Mobile Telephones Than Adults”,IEEE Access
mobile_energy,Energy-Aware Adaptive Compression Scheme for Mobile-to-Mobile Communications,2008 IEEE 10th International Symposium on Spread Spectrum Techniques and Applications
mobile_energy,RF energy harvesting using 900MHz of mobile signal frequency to charging the mobile battery,2017 International Conference on Innovations in Green Energy and Healthcare Technologies (IGEHT)
mobile_energy,Energy and delay efficient strategies for content distribution using mobile-to-mobile cooperation,2013 IFIP Wireless Days (WD)
mobile_energy,An energy-efficient mobile PAM memory interface for future 3D stacked mobile DRAMs,Fifteenth International Symposium on Quality Electronic Design
mobile_energy,Exploiting Mobile-to-Mobile wireless energy sharing for charging relief,2021 International Conference on Design Innovations for 3Cs Compute Communicate Control (ICDI3C)
mobile_energy,Energy-Efficient Dynamic Task Offloading for Energy Harvesting Mobile Cloud Computing,"2018 IEEE International Conference on Networking, Architecture and Storage (NAS)"
mobile_energy,Sharing Mobile and Stationary Energy Storage Resources in Transactive Energy Communities,2021 IEEE Madrid PowerTech
mobile_energy,Cloud-based video streaming with systematic mobile display energy saving: Rate-distortion-display energy profiling,2016 IEEE International Conference on Image Processing (ICIP)
mobile_energy,A novel energy consumption model using Residual Energy Based Mobile Agent selection scheme (REMA) in MANETs,2015 2nd International Conference on Signal Processing and Integrated Networks (SPIN)
mobile_energy,Energy management including photovoltaic panel and energy storage for Smart Grids through mobile application,2015 IEEE PES Innovative Smart Grid Technologies Latin America (ISGT LATAM)
mobile_energy,Application of Mobile Energy Storage to Facilitate Energy Transfer Between TSO and DSO Networks,2020 10th Smart Grid Conference (SGC)
mobile_energy,A fault-tolerant energy-efficient computational offloading approach with minimal energy and response time in mobile cloud computing,"2016 Fourth International Conference on Parallel, Distributed and Grid Computing (PDGC)"
mobile_energy,Energy Efficient Routing Using Residual Energy and Stability in Mobile Ad-Hoc Network,2018 International Conference on Inventive Research in Computing Applications (ICIRCA)
mobile_energy,Energy routing in the smart grid for Delay-Tolerant Loads and Mobile Energy Buffers,2013 IEEE Symposium on Computers and Communications (ISCC)
mobile_energy,Energy-Efficient Mobile Edge Computing System Based on Full-Duplex Energy Harvesting Relay Network,GLOBECOM 2020 - 2020 IEEE Global Communications Conference
mobile_energy,Energy-based fair queuing: Trading off energy management and time-constraint meeting in mobile systems,2013 IEEE International Conference on Consumer Electronics (ICCE)
