keyword,title,publication
mobile_issue,Special Issue Editorial: Mobile Computing,Mohan Kumar
mobile_issue,Did you read our ‘A&G’ mobile issue?,Did you read our ‘A&G’ mobile issue?
mobile_issue,An Evaluation of Real-Time Transaction Management Issues in Mobile Database Systems,The Computer Journal
mobile_issue,Troubleshooting of Mobile Communications Networks Issues,"Mobile Communications Systems Development: A Practical Introduction to System Understanding, Implementation and Deployment"
mobile_issue,Internet of Things: Issues in using mobile communication network,"3rd International Conference on Electrical, Electronics, Engineering Trends, Communication, Optimization and Sciences (EEECOS 2016)"
mobile_issue,Timeliness issues in an IP- based mobile computing environment,"International Multi Topic Conference, 2002. Abstracts. INMIC 2002."
mobile_issue,Security issues in future mobile communications (Paper unavailable),2005 The First IEE International Conference on Commercialising Technology and Innovation (Ref. No. 2005/11044)
mobile_issue,Practical Issues in Deploying Mobile Agents to Explore a Sensor-Instrumented Environment,The Computer Journal
mobile_issue,Mobile App Energy Consumption: A Study of Known Energy Issues in Mobile Applications and their Classification Schemes – Summary Plan,2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)
mobile_issue,Toward assessing the impact of mobile security issues in pedagogical delivery: A mobile learning case study,2013 Science and Information Conference
mobile_issue,Spectrum policy issues for millimeter wave mobile communications [Spectrum Policy and Regulatory Issues],IEEE Wireless Communications
mobile_issue,Mobile cloud computing as future for mobile applications - Implementation methods and challenging issues,2011 IEEE International Conference on Cloud Computing and Intelligence Systems
mobile_issue,Energy Consumption Issues on Mobile Network Systems,2008 International Symposium on Applications and the Internet
mobile_issue,An exploratory analysis of mobile development issues using stack overflow,2013 10th Working Conference on Mining Software Repositories (MSR)
mobile_issue,Issues in wireless mobile computing,[1992] Proceedings Third Workshop on Workstation Operating Systems
mobile_issue,Analysis of interference issues in Integrated Satellite and Terrestrial Mobile Systems,2010 5th Advanced Satellite Multimedia Systems Conference and the 11th Signal Processing for Space Communications Workshop
mobile_issue,Mobile Augmented Reality in industrial applications: Approaches for solution of user-related issues,2008 7th IEEE/ACM International Symposium on Mixed and Augmented Reality
mobile_issue,Extended investigations of user-related issues in mobile industrial AR,2010 IEEE International Symposium on Mixed and Augmented Reality
mobile_issue,User interface issues in mobile computing,Proceedings of IEEE 4th Workshop on Workstation Operating Systems. WWOS-III
mobile_issue,Camera-based Kanji OCR for mobile-phones: practical issues,Eighth International Conference on Document Analysis and Recognition (ICDAR'05)
mobile_issue,Security issues in mobile ecommerce,Proceedings 11th International Workshop on Database and Expert Systems Applications
mobile_issue,Experimental video broadcasting in DVB-RCS/S2 with land mobile satellite channel: A reliability issue,2008 IEEE International Workshop on Satellite and Space Communications
mobile_issue,Architectural Issues for Self-Adaptive Service Migration Management in Mobile Edge Computing Scenarios,2019 IEEE International Conference on Edge Computing (EDGE)
mobile_issue,Mobile code paradigms and security issues,IEEE Internet Computing
mobile_issue,"NFC on Mobile Phones: Issues, Lessons and Future Research",Fifth Annual IEEE International Conference on Pervasive Computing and Communications Workshops (PerComW'07)
mobile_issue,From fixed to mobile femtocells in LTE systems: Issues and challenges,Second International Conference on Future Generation Communication Technologies (FGCT 2013)
mobile_issue,Privacy threats and issues in mobile RFID,"First International Conference on Availability, Reliability and Security (ARES'06)"
mobile_issue,Design issues relevant to developing an integrated voice/data mobile radio system,38th IEEE Vehicular Technology Conference
mobile_issue,Security issues in mobile communications,Proceedings ISADS 95. Second International Symposium on Autonomous Decentralized Systems
mobile_issue,Mobile Cloud Computing: Issues and Challenges,"2018 International Conference on Advances in Computing, Communication Control and Networking (ICACCCN)"
mobile_issue,Solving security issues in mobile computing using cryptography techniques — A Survey,"International Conference on Computing, Communication & Automation"
mobile_issue,A Survey of Challenging Issues and Approaches in Mobile Cloud Computing,"2016 17th International Conference on Parallel and Distributed Computing, Applications and Technologies (PDCAT)"
mobile_issue,"Applications, architectures, and protocol design issues for mobile social networks: A survey",Proceedings of the IEEE
mobile_issue,Consideration and research issues for the future generation of mobile communication,IEEE CCECE2002. Canadian Conference on Electrical and Computer Engineering. Conference Proceedings (Cat. No.02CH37373)
mobile_issue,Combinatorial Issues in Mobile Packet Radio Networks,IEEE Transactions on Communications
mobile_issue,"Terrestrial/land mobile satellite considerations, NASA plans and critical issues",IEEE Transactions on Vehicular Technology
mobile_issue,Coexistance issues concerning 4g and mmwave 5G antennas for mobile terminals,2017 Sixth Asia-Pacific Conference on Antennas and Propagation (APCAP)
mobile_issue,Issues in Implementing a Knowledge-based ECG Analyzer for Personal Mobile Health Monitoring,2006 International Conference of the IEEE Engineering in Medicine and Biology Society
mobile_issue,On performance improvement issues in unordered Tuple Space based Mobile Middleware,2010 Annual IEEE India Conference (INDICON)
mobile_issue,Design issues of Mobile IP handoffs between General Packet Radio Service (GPRS) networks and wireless LAN (WLAN) systems,The 5th International Symposium on Wireless Personal Multimedia Communications
mobile_issue,Practical Issues in Mobile Education,"2006 Fourth IEEE International Workshop on Wireless, Mobile and Ubiquitous Technology in Education (WMTE'06)"
mobile_issue,Security issues in mobile adhoc network: A survey paper,"2016 International Conference on Computing, Communication and Automation (ICCCA)"
mobile_issue,Mobile computing: issues and challenges,2015 12th International Conference on High-capacity Optical Networks and Enabling/Emerging Technologies (HONET)
mobile_issue,Speech Based Command and Control System for Mobile Phones: Issues and Challenges,2016 Second International Conference on Computational Intelligence & Communication Technology (CICT)
mobile_issue,Data replication issues in mobile ad hoc networks,16th International Workshop on Database and Expert Systems Applications (DEXA'05)
mobile_issue,Issues in the design of future mobile communication systems,1999 IEEE International Conference on Communications (Cat. No. 99CH36311)
mobile_issue,Scanning on handover enhancement issues in video application deployments on WiMAX mobile networks,2008 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting
mobile_issue,Selected Health and Law Issues Regarding Mobile Communications with Respect to 5G,2018 International Conference on Broadband Communications for Next Generation Networks and Multimedia Applications (CoBCom)
mobile_issue,Mobile RFID and its design security issues,IEEE Potentials
mobile_issue,"Mobile Cloud Computing Architecture, Application Model, and Challenging Issues",2014 International Conference on Computational Intelligence and Communication Networks
mobile_issue,Design issues for converting websites to mobile sites and apps: A case study,2017 International Conference on Computing Methodologies and Communication (ICCMC)
mobile_issue,Issues of Trust Management for Mobile Wireless Sensor Networks,"2011 7th International Conference on Wireless Communications, Networking and Mobile Computing"
mobile_issue,Interference and compatibility issues between the mobile satellite service and the fixed service in the Ku band,2004 IEEE 59th Vehicular Technology Conference. VTC 2004-Spring (IEEE Cat. No.04CH37514)
mobile_issue,Architectural issues in mobile augmented reality systems: a prototyping case study,Proceedings Eighth Asia-Pacific Software Engineering Conference
mobile_issue,Issues in delivering multimedia content to mobile devices,Proceedings Sixth International Conference on Information Visualisation
