keyword,title,publication
mobile_latency,Design and Evaluation of a Low-Latency Checkpointing Scheme for Mobile Computing Systems,The Computer Journal
mobile_latency,Low Latency Mobile Backhauling using Optical Wireless Links,Broadband Coverage in Germany. 9th ITG Symposium. Proceedings
mobile_latency,Multi-Connectivity Management for Mobile Ultra-Reliable Low-Latency Communications,WSA 2020; 24th International ITG Workshop on Smart Antennas
mobile_latency,Low-latency high-efficiency mobile fronthaul with TDM-PON (mobile-PON),Journal of Optical Communications and Networking
mobile_latency,Experimental demonstration of high-throughput low-latency mobile fronthaul supporting 48 20-MHz LTE signals with 59-Gb/s CPRI-equivalent rate and 2-μs processing latency,2015 European Conference on Optical Communication (ECOC)
mobile_latency,Mobile-PON: A high-efficiency low-latency mobile fronthaul based on functional split and TDM-PON with a unified scheduler,2017 Optical Fiber Communications Conference and Exhibition (OFC)
mobile_latency,A scalable low-latency cache invalidation strategy for mobile environments,IEEE Transactions on Knowledge and Data Engineering
mobile_latency,Computation Offloading and Resource Allocation for Wireless Powered Mobile Edge Computing With Latency Constraint,IEEE Wireless Communications Letters
mobile_latency,Towards immersive tactile Internet experiences: Low-latency FiWi enhanced mobile networks with edge intelligence [Invited],Journal of Optical Communications and Networking
mobile_latency,Demonstration of VR / AR offloading to Mobile Edge Cloud for low latency 5G gaming application,2018 15th IEEE Annual Consumer Communications & Networking Conference (CCNC)
mobile_latency,Offloading Optimization for Low-Latency Secure Mobile Edge Computing Systems,IEEE Wireless Communications Letters
mobile_latency,Optimizing DRX configuration to improve battery power saving and latency of active mobile applications over LTE-A network,2013 IEEE Wireless Communications and Networking Conference (WCNC)
mobile_latency,A Data-Scheduling Mechanism for Multi-Homed Mobile Terminals with Disparate Link Latencies,2010 IEEE 72nd Vehicular Technology Conference - Fall
mobile_latency,Fast Handover Latency Analysis in Proxy Mobile IPv6,2010 IEEE Global Telecommunications Conference GLOBECOM 2010
mobile_latency,Adaptive DRX configuration to optimize device power saving and latency of mobile applications over LTE advanced network,2013 IEEE International Conference on Communications (ICC)
mobile_latency,A 240×180 10mW 12us latency sparse-output vision sensor for mobile applications,2013 Symposium on VLSI Circuits
mobile_latency,MOBMAC - an energy efficient and low latency MAC for mobile wireless sensor networks,"2005 Systems Communications (ICW'05, ICHSN'05, ICMCS'05, SENET'05)"
mobile_latency,Field experimental evaluation of beamtracking and latency performance for 5G mmWave radio access in outdoor mobile environment,"2016 IEEE 27th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)"
mobile_latency,Latency-Aware Offloading for Mobile Edge Computing Networks,IEEE Communications Letters
mobile_latency,Virtualized EAST–WEST PON architecture supporting low-latency communication for mobile functional split based on multiaccess edge computing,Journal of Optical Communications and Networking
mobile_latency,Mobile relays based federation of multiple wireless sensor network segments with reduced-latency,2013 IEEE International Conference on Communications (ICC)
mobile_latency,Leveraging Program Analysis to Reduce User-Perceived Latency in Mobile Applications,2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE)
mobile_latency,Latency-Oblivious Incentive Service Offloading in Mobile Edge Computing,2018 IEEE/ACM Symposium on Edge Computing (SEC)
mobile_latency,Latency Aware Optimal Workload Assignment in Mobile Edge Cloud Offloading Network,2018 IEEE 4th International Conference on Computer and Communications (ICCC)
mobile_latency,A first study on using MPTCP to reduce latency for cloud based mobile applications,2015 IEEE Symposium on Computers and Communication (ISCC)
mobile_latency,Minimizing Latency for 5G Multimedia and V2X Applications using Mobile Edge Computing,2019 2nd International Conference on Intelligent Communication and Computational Techniques (ICCT)
mobile_latency,Data Offloading and Sharing for Latency Minimization in Augmented Reality Based on Mobile-Edge Computing,2018 IEEE 88th Vehicular Technology Conference (VTC-Fall)
mobile_latency,NFV-Based Mobile Edge Computing for Lowering Latency of 4K Video Streaming,2018 Tenth International Conference on Ubiquitous and Future Networks (ICUFN)
mobile_latency,Real-time low latency movement sonification in stroke rehabilitation based on a mobile platform,2014 IEEE International Conference on Consumer Electronics (ICCE)
mobile_latency,Delivery latency minimization in wireless sensor networks with mobile sink,2015 IEEE International Conference on Communications (ICC)
mobile_latency,Analysis of Handover Latency for Mobile IPv6 and mSCTP,ICC Workshops - 2008 IEEE International Conference on Communications Workshops
mobile_latency,Packet Error Rate and Latency Requirements for a Mobile Wireless Access System in an IP Network,2007 IEEE 66th Vehicular Technology Conference
mobile_latency,A Low-Latency Traffic Estimation Based TDM-PON Mobile Front-Haul for Small Cell Cloud-RAN Employing Feed-Forward Artificial Neural Network,2018 20th International Conference on Transparent Optical Networks (ICTON)
mobile_latency,Latency requirement for 5G mobile communications,"2018 10th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)"
mobile_latency,Mobile agent platform design optimisations for minimising network overhead and latency in agent migrations,"IEEE Global Telecommunications Conference, 2004. GLOBECOM '04."
mobile_latency,A Parallel Duplicate Address Detection (PDAD) mechanism to reduce handoff latency of Mobile Internet Protocol version 6 (MIPv6),2011 4th International Conference on Mechatronics (ICOM)
mobile_latency,Latency-Optimal Task Offloading for Mobile-Edge Computing System in 5G Heterogeneous Networks,2018 IEEE 87th Vehicular Technology Conference (VTC Spring)
mobile_latency,Mobile edge computing and field trial results for 5G low latency scenario,China Communications
mobile_latency,A Secure TOF-Based Transceiver with Low Latency and sub-cm Ranging for Mobile Authentication Applications,2018 IEEE Radio Frequency Integrated Circuits Symposium (RFIC)
mobile_latency,A Latency-Aware Task Offloading in Mobile Edge Computing Network for Distributed Elevated LiDAR,2020 IEEE International Symposium on Circuits and Systems (ISCAS)
mobile_latency,NG-PON2 Demonstration with Small Delay Variation and Low Latency for 5G Mobile Fronthaul,2017 European Conference on Optical Communication (ECOC)
mobile_latency,Distributed low-latency rendering for mobile AR,Proceedings IEEE and ACM International Symposium on Augmented Reality
mobile_latency,Latency Modeling for Mobile Edge Computing Using LTE Measurements,2018 IEEE 88th Vehicular Technology Conference (VTC-Fall)
mobile_latency,Energy Efficient Fog RAN (F-RAN) with Flexible BBU Resource Assignment for Latency Aware Mobile Edge Computing (MEC) Services,2019 IEEE 90th Vehicular Technology Conference (VTC2019-Fall)
mobile_latency,Field-Trial Evaluation of Low-Latency and Timing-Accurate 100G Ethernet Aggregator for Converged Mobile X-haul,2018 European Conference on Optical Communication (ECOC)
mobile_latency,Control plane latency reduction for service chaining in mobile edge computing system,2017 13th International Conference on Network and Service Management (CNSM)
mobile_latency,Reducing Authorizing Registration Latency for Proxy Mobile IPv6 Route Optimization,2007 International Conference on Convergence Information Technology (ICCIT 2007)
mobile_latency,Low latency handoff for nested mobile networks,"CCNC 2006. 2006 3rd IEEE Consumer Communications and Networking Conference, 2006."
mobile_latency,Impact of wireless link delay on handover latency in Mobile IPv6 environment,2014 International Conference on Issues and Challenges in Intelligent Computing Techniques (ICICT)
mobile_latency,Joint optimization of latency and energy consumption for mobile edge computing based proximity detection in road networks,China Communications
mobile_latency,An IEEE 802.21 MIH Functionality Assisted Proxy Mobile IPv6 for Reducing Handover Latency and Signaling Cost,2013 10th International Conference on Information Technology: New Generations
mobile_latency,Analysis and Optimization of the Latency Budget in Wireless Systems with Mobile Edge Computing,ICC 2022 - IEEE International Conference on Communications
mobile_latency,Latency-aware Placement for State Management Functions in Service-based 5G Mobile Core Network,2018 IEEE Seventh International Conference on Communications and Electronics (ICCE)
mobile_latency,Reducing Uplink Transmission Latency for Applying TDM-PON to Mobile Fronthaul,2018 European Conference on Optical Communication (ECOC)
mobile_latency,An efficient fast neighbor discovery (EFND) scheme to reduce handover latency in mobile IPv6,2006 8th International Conference Advanced Communication Technology
mobile_latency,Low-Latency Cooperative Computation Offloading for Mobile Edge Computing,"2019 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)"
mobile_latency,Overview of Handover Latency and Resource Consumption in Hierarchical Mobile IPv6 Protocol and GPS Approaches,2012 Third International Conference on Intelligent Systems Modelling and Simulation
mobile_latency,Mobile-aware scheduling for low latency backhaul over DOCSIS,"2017 IEEE 28th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)"
mobile_latency,Reducing Call Setup Latency in Mobile VoIP Systems,IEEE Communications Letters
