keyword,title,publication
mobile_launch,Mobile Service Development and Deployment with Remotely Launched Service-Oriented Mobile Agents,2007 International Conference on Mobile Data Management
mobile_launch,Aeronautical mobile satellite services: The launching of a new era in mobile communications,Canadian Journal of Electrical and Computer Engineering
mobile_launch,A ray launching method for radio-mobile propagation in urban area,Antennas and Propagation Society Symposium 1991 Digest
mobile_launch,Unmanned Vehicles for Mobile Electromagnetic Launch Platforms,IEEE Transactions on Magnetics
mobile_launch,WIP: Real-world 3D models derived from mobile mapping for ray launching based propagation loss modeling,"2022 IEEE 23rd International Symposium on a World of Wireless, Mobile and Multimedia Networks (WoWMoM)"
mobile_launch,Design of mobile solid propellant launch vehicle using hybrid optimization approach,2018 IEEE Aerospace Conference
mobile_launch,Unmanned Vehicles for Mobile Electromagnetic Launch Platforms,2008 14th Symposium on Electromagnetic Launch Technology
mobile_launch,Enhancing user experiences by exploiting energy and launch delay tradeoff of mobile multimedia applications (Extended abstract),Year: 2012 | Conference Paper | Publisher: IEEE
mobile_launch,Research on the user time difference threshold during the mobile terminal app launch process,"2018 International Conference on Computer, Information and Telecommunication Systems (CITS)"
mobile_launch,First Google's android phone launched [Mobile Radio],IEEE Vehicular Technology Magazine
mobile_launch,Guidance Systematic Error Separation for Mobile Launch Vehicles Using Artificial Fish Swarm Algorithm,IEEE Access
mobile_launch,Launching a Micro–Scout UAV from a Mobile Robotic Manipulator Arm,2021 IEEE Aerospace Conference (50100)
mobile_launch,Fraus: Launching Cost-efficient and Scalable Mobile Click Fraud Has Never Been So Easy,2018 IEEE Conference on Communications and Network Security (CNS)
mobile_launch,South Korea Launches LTE-Advanced [Mobile Radio],IEEE Vehicular Technology Magazine
mobile_launch,Performance Evaluation of UAV-Aided Mobile Networks by Means of Ray Launching Generated REMs,2020 30th International Telecommunication Networks and Applications Conference (ITNAC)
mobile_launch,Demonstration of the ballistic missile range safety technology (bmrst) mobile gps-based system for the QRLV-2 launch,2003 IEEE Aerospace Conference Proceedings (Cat. No.03TH8652)
