keyword,title,publication
mobile_resource,Joint resource allocation using evolutionary algorithms in heterogeneous mobile cloud computing networks,China Communications
mobile_resource,A secure authenticated group key agreement protocol for resource-limited mobile devices,The Computer Journal
mobile_resource,Efficient Load-Balancing Aware Cloud Resource Scheduling for Mobile User,The Computer Journal
mobile_resource,Queue-Aware Resource Allocation for OFDMA-Based Mobile Relay Enhanced Networks,ISWCS 2013; The Tenth International Symposium on Wireless Communication Systems
mobile_resource,A Resilient P2P Architecture for Mobile Resource Sharing,The Computer Journal
mobile_resource,Use of mobile devices for medical services in resource-limited settings: case study in RWANDA,Appropriate Healthcare Technologies for Low Resource Settings (AHT 2014)
mobile_resource,Notice of Retraction: The Research of Mobile Agent-Based Mobile Grid Resource Discovery,2010 International Conference on Intelligent Computing and Cognitive Informatics
mobile_resource,Radio resource management of heterogeneous services in mobile WiMAX systems [Radio Resource Management and Protocol Engineering for IEEE 802.16],IEEE Wireless Communications
mobile_resource,Resource cost and QoS achievement in a contract-based resource manager for mobile communications systems,IEEE/AFCEA EUROCOMM 2000. Information Systems for Enhanced Public Safety and Security (Cat. No.00EX405)
mobile_resource,A mobile resource reservation mechanism with dynamic resource sharing,11th IEEE International Symposium on Personal Indoor and Mobile Radio Communications. PIMRC 2000. Proceedings (Cat. No.00TH8525)
mobile_resource,Joint Optimization of Resource Constrained Mobile Terminal Task Unloading and Edge Computing Resource Scheduling,2021 7th International Symposium on System and Software Reliability (ISSSR)
mobile_resource,Energy-optimal mobile application execution: Taming resource-poor mobile devices with cloud clones,2012 Proceedings IEEE INFOCOM
mobile_resource,Collaborative Mobile Edge and Cloud Computing: Tasks Unloading for Improving Users’ Quality of Experience in Resource-Intensive Mobile Applications,2019 IEEE 4th International Conference on Computer and Communication Systems (ICCCS)
mobile_resource,Resource Management Middleware Using Mobile Agents for Mobile Ad Hoc Networks,2010 IEEE 30th International Conference on Distributed Computing Systems Workshops
mobile_resource,Implementing resource reservations for mobile hosts in the Internet using RSVP and mobile IP,VTC2000-Spring. 2000 IEEE 51st Vehicular Technology Conference Proceedings (Cat. No.00CH37026)
mobile_resource,Mobile Resource Aware Scheduling for Mobile Edge Environment,2018 IEEE International Conference on Communications (ICC)
mobile_resource,Collaboration & Mobile Cloud-Computing: Using CoAP to Enable Resource-Sharing between Clouds of Mobile Devices,2015 IEEE Conference on Collaboration and Internet Computing (CIC)
mobile_resource,The Idle Mobile Resource Discovery and Management Scheme in Mobile Grid Computing Using IP-paging,Proceedings of the 4th International Conference on Ubiquitous Information Technologies & Applications
mobile_resource,Mobile Resource Reliability-Based Task Allocation for Mobile Cloud,"2015 Fifth International Conference on Instrumentation and Measurement, Computer, Communication and Control (IMCCC)"
mobile_resource,Interactive design and realization of mobile learning resources through 3G mobile phones,"2012 International Conference on Information Management, Innovation Management and Industrial Engineering"
mobile_resource,A mobile learning application for delivering educational resources to mobile devices,International Conference on Information Society (i-Society 2012)
