keyword,title,publication
mobile_response,mvSERS: A Secure Emergency Response Solution for Mobile Healthcare in Vehicular Environments,The Computer Journal
mobile_response,Probability of error analysis of digital partial response continuous phase modulation with discriminator detection in mobile radio channels,38th IEEE Vehicular Technology Conference
mobile_response,Secured authentication using challenge-response and quick-response code for Android mobiles,International Conference on Information Communication and Embedded Systems (ICICES2014)
mobile_response,Response to “Children Absorb Higher Doses of Radio Frequency Electromagnetic Radiation From Mobile Phones Than Adults” and “Yes the Children Are More Exposed to Radiofrequency Energy From Mobile Telephones Than Adults”,IEEE Access
mobile_response,A cloud-based intrusion detection and response system for mobile phones,2011 IEEE/IFIP 41st International Conference on Dependable Systems and Networks Workshops (DSN-W)
mobile_response,Probability of error analysis of digital partial response continuous phase modulation with noncoherent detection in mobile radio channels,IEEE Transactions on Vehicular Technology
mobile_response,Wideband MIMO mobile impulse response measurements at 3.7 GHz,Vehicular Technology Conference. IEEE 55th Vehicular Technology Conference. VTC Spring 2002 (Cat. No.02CH37367)
mobile_response,Behavior response among secondary school students development towards mobile learning application,"2012 IEEE Colloquium on Humanities, Science and Engineering (CHUSER)"
mobile_response,On intrusion detection and response for mobile ad hoc networks,"IEEE International Conference on Performance, Computing, and Communications, 2004"
mobile_response,Emergency response in smartphone-based Mobile Ad-Hoc Networks,2012 IEEE International Conference on Communications (ICC)
mobile_response,m-Government: A framework of mobile-based emergency response systems,2008 3rd International Conference on Intelligent System and Knowledge Engineering
mobile_response,An Evidence Based Learning and Teaching Strategy for Computer Science Classrooms and Its Extension into a Mobile Classroom Response System,2014 IEEE 14th International Conference on Advanced Learning Technologies
mobile_response,Design and development of a crowdsourcing mobile app for disaster response,2017 25th International Conference on Geoinformatics
mobile_response,Analysis of transient response and operating speed of MOBILE,IEEE Transactions on Electron Devices
mobile_response,IoT Technologies to Enhance Precision and Response Time of Mobile-Based Educational Assessments,2016 International Conference on Computational Science and Computational Intelligence (CSCI)
mobile_response,HAZBOT: a hazardous materials emergency response mobile robot,Proceedings 1992 IEEE International Conference on Robotics and Automation
mobile_response,A mobile system for assessment of physiological response to posture transitions,2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)
mobile_response,TRIAGE: Applying context to improve timely delivery of critical data in mobile ad hoc networks for disaster response,2011 IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops)
mobile_response,A Visual Analytics Multimedia Mobile System for Emergency Response,2011 IEEE International Symposium on Multimedia
mobile_response,User Centred Mobile Aided Learning System: Student Response System (SRS),2010 10th IEEE International Conference on Computer and Information Technology
mobile_response,Efficient memory reclaiming for mitigating sluggish response in mobile devices,2015 IEEE 5th International Conference on Consumer Electronics - Berlin (ICCE-Berlin)
mobile_response,Application of Response Surface Methodology (RSM) in Microspeaker Design Used in Mobile Phones,IEEE Transactions on Magnetics
mobile_response,Probability of error analysis of digital partial response continuous phase modulation with differential detection in mobile radio channels,37th IEEE Vehicular Technology Conference
mobile_response,How to define the user's tolerance of response time in using mobile applications,2016 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)
mobile_response,Low cost mobile EEG for characterization of cortical auditory responses,2016 IEEE International Symposium on Circuits and Systems (ISCAS)
mobile_response,Power demand side response potential and operating model based on EV mobile energy storage,2017 IEEE Conference on Energy Internet and Energy System Integration (EI2)
