keyword,title,publication
phone_battery,IEEE Standard for Rechargeable Batteries for Mobile Phones - Redline,Most Recent Versions
phone_battery,Design and experimental setup of a backup battery as a source to mobile phone battery,"2016 International Conference on Electrical, Electronics, and Optimization Techniques (ICEEOT)"
phone_battery,Battery mystery solved. Why batteries fail for digital cell phones,Fourteenth Annual Battery Conference on Applications and Advances. Proceedings of the Conference (Cat. No.99TH8371)
phone_battery,Understanding mobile phone battery - Human interaction for developing world A perspective of feature phone users in Africa,2012 2nd Baltic Congress on Future Internet Communications
phone_battery,Design of a contactless battery charger for cellular phone,IEEE Transactions on Industrial Electronics
phone_battery,On the impact of 2G and 3G network usage for mobile phones' battery life,2009 European Wireless Conference
phone_battery,Parallel Connections and their Effect on the Battery Consumption of a Mobile Phone,2010 7th IEEE Consumer Communications and Networking Conference
phone_battery,Design of a contactless battery charger for cellular phone,APEC 2000. Fifteenth Annual IEEE Applied Power Electronics Conference and Exposition (Cat. No.00CH37058)
phone_battery,7 mm gate width power heterojunction FETs for Li-ion battery operated personal digital cellular phones,GaAs IC Symposium IEEE Gallium Arsenide Integrated Circuit Symposium. 18th Annual Technical Digest 1996
phone_battery,64% efficiency enhancement-mode power heterojunction FET for 3.5 V Li-ion battery operated personal digital cellular phones,1998 IEEE MTT-S International Microwave Symposium Digest (Cat. No.98CH36192)
phone_battery,Hybrid buck converter optimization and comparison for smart phone integrated battery chargers,2018 IEEE Applied Power Electronics Conference and Exposition (APEC)
phone_battery,Wireless power transfer: An application to cell phone battery recharging,2012 15th International Conference on Computer and Information Technology (ICCIT)
phone_battery,Smart-phone battery-life short-fall in disaster response: Quantifying the gap,2016 IEEE Global Humanitarian Technology Conference (GHTC)
phone_battery,Synergistic Effect of Charge/Discharge Cycle and Storage in Degradation of Lithium-ion Batteries for Mobile Phones,INTELEC 05 - Twenty-Seventh International Telecommunications Conference
phone_battery,Cellular phone battery chargers impact on voltage quality,2000 Power Engineering Society Summer Meeting (Cat. No.00CH37134)
phone_battery,The safety characteristics of lithium-ion batteries for mobile phones and the nail penetration test,INTELEC 07 - 29th International Telecommunications Energy Conference
phone_battery,A Battery-Aware Energy-Efficient Android Phone with Bayesian Networks,2012 9th International Conference on Ubiquitous Intelligence and Computing and 9th International Conference on Autonomic and Trusted Computing
phone_battery,A methodology for testing battery deprivation denial of service attacks in mobile phones,2015 International Conference on Information and Digital Technologies
phone_battery,Prolonging battery usage time in smart phones,2013 IEEE International Conference on Communications (ICC)
phone_battery,Methods of energy conservation and management for commercial Li-ion battery packs of mobile phones,"The 25th International Telecommunications Energy Conference, 2003. INTELEC '03."
phone_battery,Battery Charging of Smart Phones using Organic Solar Cells,"2018 2nd IEEE International Conference on Power Electronics, Intelligent Control and Energy Systems (ICPEICES)"
phone_battery,Balancing Precision and Battery Drain in Activity Recognition on Mobile Phone,2012 IEEE 18th International Conference on Parallel and Distributed Systems
phone_battery,135-hour-battery-life skin temperature monitoring system using a Bluetooth cellular phone,"2013 IEEE Topical Conference on Biomedical Wireless Technologies, Networks, and Sensing Systems"
phone_battery,49% efficiency power amplifier MMIC utilizing SrTiO/sub 3/ capacitors for 3.5 V Li-ion battery operated CDMA cellular phones,1998 IEEE Radio Frequency Integrated Circuits (RFIC) Symposium. Digest of Papers (Cat. No.98CH36182)
phone_battery,A study on the performance of solar charging for rechargeable alkaline manganese (RAM/spl trade/) battery in cellular phone application,"VIII IEEE International Power Electronics Congress, 2002. Technical Proceedings. CIEP 2002."
phone_battery,Modelling and improving the battery performance of a mobile phone application: A methodology,5th International Conference on Energy Aware Computing Systems & Applications
phone_battery,Piezoelectric energy harvesting devices for recharging cell-phone batteries,"2016 International Conference on Microelectronics, Computing and Communications (MicroCom)"
phone_battery,Survey on mobile phone battery end-life in Tanzania,2013 Africon
phone_battery,Failure analysis on Mobile Phone Batteries and Accessories,2018 IEEE 20th Electronics Packaging Technology Conference (EPTC)
phone_battery,Electrostatic discharge (ESD) mechanism for battery charge contact failure in cordless phones,Electrical Overstress/Electrostatic Discharge Symposium Proceedings. 1999 (IEEE Cat. No.99TH8396)
phone_battery,An approach to increase the battery time of a mobile phone using free energy harvesting,2015 IEEE International Telecommunications Energy Conference (INTELEC)
phone_battery,A hybrid approach to charge mobile phone battery by sound energy,"2016 2nd International Conference on Advances in Electrical, Electronics, Information, Communication and Bio-Informatics (AEEICB)"
phone_battery,Context-aware Battery Management for Mobile Phones,2008 Sixth Annual IEEE International Conference on Pervasive Computing and Communications (PerCom)
phone_battery,Exploiting MMS Vulnerabilities to Stealthily Exhaust Mobile Phone's Battery,2006 Securecomm and Workshops
phone_battery,Reading Braille on mobile phones: A fast method with low battery power consumption,2011 International Conference on User Science and Engineering (i-USEr )
