keyword,title,publication
phone_issue,Camera-based Kanji OCR for mobile-phones: practical issues,Eighth International Conference on Document Analysis and Recognition (ICDAR'05)
phone_issue,"NFC on Mobile Phones: Issues, Lessons and Future Research",Fifth Annual IEEE International Conference on Pervasive Computing and Communications Workshops (PerComW'07)
phone_issue,Speech Based Command and Control System for Mobile Phones: Issues and Challenges,2016 Second International Conference on Computational Intelligence & Communication Technology (CICT)
phone_issue,Issues in Developing Ubicomp Applications on Symbian Phones,2006 International Workshop on System Support for Future Mobile Computing Applications
phone_issue,Adaptive SMASH ΣΔ converters for the next generation of mobile phones — Design issues and practical solutions,Proceedings of the 8th IEEE International NEWCAS Conference 2010
phone_issue,An insight into the security issues and their solutions for android phones,2015 2nd International Conference on Computing for Sustainable Global Development (INDIACom)
phone_issue,Research on China's Domestic Mobile Phone Export Trade Issues Based on Big Data,2021 2nd International Conference on Big Data Economy and Information Management (BDEIM)
phone_issue,Exploring the application domain and middleware issues for a phone-centric information monitoring environment,"The 2007 International Conference on Next Generation Mobile Applications, Services and Technologies (NGMAST 2007)"
phone_issue,Evidentiary effect on electronic records- legal issues on wiretapping of the skype phone,TENCON 2007 - 2007 IEEE Region 10 Conference
phone_issue,Analysis on the Relevant Legal Issues of Mobile Phone Advertisement,2008 International Conference on Management of e-Commerce and e-Government
phone_issue,"Direct conversion radio for digital mobile phones-design issues, status, and trends",IEEE Transactions on Microwave Theory and Techniques
phone_issue,Issues with Various Security Threats on Mobile Phones,2013 Palestinian International Conference on Information and Communication Technology
phone_issue,A phone-based e-health system for OSAS and its energy issue,2012 International Symposium on Information Technologies in Medicine and Education
