keyword,title,publication
phone_memory,Active disassembly using shape memory polymers for the mobile phone industry,Proceedings of the 1999 IEEE International Symposium on Electronics and the Environment (Cat. No.99CH36357)
phone_memory,Reducing computational and memory cost for cellular phone embedded speech recognition system,"2004 IEEE International Conference on Acoustics, Speech, and Signal Processing"
phone_memory,Energy-efficient BitTorrent downloads to mobile phones through memory-limited proxies,2011 IEEE Consumer Communications and Networking Conference (CCNC)
phone_memory,Toward a new tool to extract the evidence from a memory card of mobile phones,2016 4th International Symposium on Digital Forensic and Security (ISDFS)
phone_memory,94% power-recycle and near-zero driving-dead-zone N-type low-dropout regulator with 20mV undershoot at short-period load transient of flash memory in smart phone,2018 IEEE International Solid-State Circuits Conference - (ISSCC)
phone_memory,Memory Function and Cell Phone Microwave Exposure in Youngsters [Health Matters],IEEE Microwave Magazine
phone_memory,Innovative Method for Visual Acuity and Memory Functions Evaluation and Recovery due to “Serious” Games on Tablet and Smart Phone Gadgets,2019 E-Health and Bioengineering Conference (EHB)
phone_memory,Phone routing using the dynamic memory model,Proceedings of the 2002 Congress on Evolutionary Computation. CEC'02 (Cat. No.02TH8600)
phone_memory,Real-Time LUT-based color correction for cell phone cameras in low light conditions without frame memory,2012 IEEE International Conference on Consumer Electronics (ICCE)
phone_memory,How Much Memory Do Cell Phones Need?,IEEE Consumer Electronics Magazine
phone_memory,Telecommunications health and safety: Mobile-phone RF/microwave exposure and memory performance scores in adolescents,URSI Radio Science Bulletin
phone_memory,In-memory credentials robbery on android phones,World Congress on Internet Security (WorldCIS-2013)
phone_memory,DIPLOMA: Consistent and coherent shared memory over mobile phones,2012 IEEE 30th International Conference on Computer Design (ICCD)
phone_memory,Volatile Memory-Centric Investigation of SMS-Hijacked Phones: A Pushbullet Case Study,2018 Federated Conference on Computer Science and Information Systems (FedCSIS)
phone_memory,A Low-memory Mobile Phone Continuous Authentication Scheme Based on Multimodal Biometric Information,"2024 2nd International Conference On Mobile Internet, Cloud Computing and Information Security (MICCIS)"
