keyword,title,publication
phone_resource,The Portable Eye Examination Kit: Mobile phones can screen for eye disease in low-resource settings,IEEE Pulse
phone_resource,"3D Applications for 3G Mobile Phones: Design, Development, Resource Utilization",2006 IEEE International Symposium on Consumer Electronics
phone_resource,SVG Map Delivery Scheme for Resources Constrained Mobile Phones,2007 IEEE Wireless Communications and Networking Conference
phone_resource,Interactive design and realization of mobile learning resources through 3G mobile phones,"2012 International Conference on Information Management, Innovation Management and Industrial Engineering"
phone_resource,Phone Distribution Estimation for Low Resource Languages,"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)"
phone_resource,Thumb: A real-time resource information sharing application over mobile phones,2012 IEEE International Conference on Pervasive Computing and Communications Workshops
phone_resource,Resource Scheduling for NOMA-Based Mobile Phones and IoT Fusion Satellite Network,2023 15th International Conference on Communication Software and Networks (ICCSN)
phone_resource,A model for monitoring HIV/AIDS patients on ART in low resource setting: A case of using mobile phones,"2013 Pan African International Conference on Information Science, Computing and Telecommunications (PACT)"
phone_resource,Resource consumption analysis of online activity recognition on mobile phones and smartwatches,2017 IEEE 36th International Performance Computing and Communications Conference (IPCCC)
phone_resource,New resources for Brazilian Portuguese: Results for grapheme-to-phoneme and phone classification,2006 International Telecommunications Symposium
phone_resource,Performance of REsource LOcation and Discovery (RELOAD) on Mobile Phones,2010 IEEE Wireless Communication and Networking Conference
phone_resource,LAOF: A New Framework to Efficiently Process Business Objects on Resource Constrained Mobile Phones,The Ninth International Conference on Mobile Data Management (mdm 2008)
phone_resource,Information-Centric Local Resource Sharing System on Smart Phones,2019 IEEE 25th International Conference on Parallel and Distributed Systems (ICPADS)
phone_resource,The final frontier-on your phone [Resources_App Watch],Stephen Cass
