keyword,title,publication
phone_response,A cloud-based intrusion detection and response system for mobile phones,2011 IEEE/IFIP 41st International Conference on Dependable Systems and Networks Workshops (DSN-W)
phone_response,Influence of fastening methods on the dynamic response and reliability assessment of PCBS in cellular phones under free drop,2008 11th Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems
phone_response,Smart-phone battery-life short-fall in disaster response: Quantifying the gap,2016 IEEE Global Humanitarian Technology Conference (GHTC)
phone_response,Application of Response Surface Methodology (RSM) in Microspeaker Design Used in Mobile Phones,IEEE Transactions on Magnetics
phone_response,Response to “Children Absorb Higher Doses of Radio Frequency Electromagnetic Radiation From Mobile Phones Than Adults” and “Yes the Children Are More Exposed to Radiofrequency Energy From Mobile Telephones Than Adults”,IEEE Access
phone_response,An Approach to Modeling Call Response Behavior on Mobile Phones Based on Multi-Dimensional Contexts,2017 IEEE/ACM 4th International Conference on Mobile Software Engineering and Systems (MOBILESoft)
phone_response,A precautionary tale: the British response to cell phone EMF,IEEE Technology and Society Magazine
phone_response,Conducting Classroom Discussions in the Manner of an Orchestra Using a Mobile Phone Based Response Analyzing System,Seventh IEEE International Conference on Advanced Learning Technologies (ICALT 2007)
phone_response,Short-term relaxation responses to a voice-guided mobile phone relaxation application and self-guided relaxation,2009 9th International Conference on Information Technology and Applications in Biomedicine
phone_response,Work in progress: Using mobile phones to accomplish an Audience Response System with IGoogle home page,2012 Frontiers in Education Conference Proceedings
phone_response,Design and implementation of fall detection and voice response detection in a smart phone,2014 IEEE International Instrumentation and Measurement Technology Conference (I2MTC) Proceedings
phone_response,Can Mobile Phone Usage Affect Hypothalamus-Pituitary-Adrenal Axis Response?,2020 10th Annual Computing and Communication Workshop and Conference (CCWC)
phone_response,Perceived security risks of scanning quick response (QR) codes in mobile computing with smart phones,"2013 International Conference on Engineering, Management Science and Innovation (ICEMSI)"
phone_response,Response of high blood glucose level to GTEM cell electromagnetic fields to simulate cell phone radiation,2012 Abstracts IEEE International Conference on Plasma Science
phone_response,An Engineering Training Equipment Self-cognition Method Based on Mobile Phone Quick Response (QR) Codes,2018 IEEE 10th International Conference on Engineering Education (ICEED)
phone_response,Community sense-and-response systems: Your phone as seismometer,2014 IEEE International Conference on Pervasive Computing and Communication Workshops (PERCOM WORKSHOPS)
phone_response,SpotME If You Can: Randomized Responses for Location Obfuscation on Mobile Phones,2011 31st International Conference on Distributed Computing Systems
phone_response,NotiMind: Utilizing Responses to Smart Phone Notifications as Affective Sensors,IEEE Access
phone_response,Quantifying the Effectiveness of Mobile Phone Virus Response Mechanisms,37th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN'07)
phone_response,Modeling the electromagnetic response of hearing aids to digital wireless phones,IEEE Transactions on Electromagnetic Compatibility
phone_response,Sinhala Speech Recognition for Interactive Voice Response Systems Accessed Through Mobile Phones,2018 Moratuwa Engineering Research Conference (MERCon)
phone_response,A framework of community inspired distributed message dissemination and emergency alert response system over smart phones,2016 8th International Conference on Communication Systems and Networks (COMSNETS)
phone_response,PERSEO: A system to personalize the environment response through smart phones and objects,2013 IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops)
phone_response,Cell phone usage: an analysis of users' subjective responses in the adoption,IEEE 2002 International Symposium on Technology and Society (ISTAS'02). Social Implications of Information and Communication Technology. Proceedings (Cat. No.02CH37293)
