keyword,title,publication
smartphone_battery,"A Passive Bidirectional BLE Tag Demonstrating Battery-Free Communication in Tablet/Smartphone-to-Tag, Tag-to-Tablet/Smartphone, and Tag-to-Tag Modes",2023 IEEE International Solid-State Circuits Conference (ISSCC)
smartphone_battery,Smartphone Energizer: Extending Smartphone's battery life with smart offloading,2013 9th International Wireless Communications and Mobile Computing Conference (IWCMC)
smartphone_battery,What is eating up battery life on my SmartPhone: A case study,2012 International Conference on Energy Aware Computing
smartphone_battery,Battery life time extension method using selective data reception on smartphone,The International Conference on Information Network 2012
smartphone_battery,Android Smartphone: Battery saving service,2011 International Conference on Research and Innovation in Information Systems
smartphone_battery,Durability and cycle frequency of smartphone and tablet lithium-ion batteries in the field,2016 Electronics Goes Green 2016+ (EGG)
smartphone_battery,An Analysis of Screen Resolution Effects on Battery Endurance: A Case of Smartphones,"2022 IEEE 9th International Conference on Sciences of Electronics, Technologies of Information and Telecommunications (SETIT)"
smartphone_battery,"A wireless, smartphone controlled, battery powered, head mounted light delivery system for optogenetic stimulation",2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)
smartphone_battery,Battery Consumption of Smartphone Sensors,2015 11th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS)
smartphone_battery,"Towards the 5G Smartphone: Greater system capacity, more bands, faster data rates, advanced applications and longer battery life",2012 IEEE Radio Frequency Integrated Circuits Symposium
smartphone_battery,Energy harvesting for idly charging smartphones to improve perceived battery life,"2017 IEEE XXIV International Conference on Electronics, Electrical Engineering and Computing (INTERCON)"
smartphone_battery,A low-cost solar cell charger prototype for smartphone's battery charging,2014 IEEE 6th International Conference on Adaptive Science & Technology (ICAST)
smartphone_battery,Federated Learning: An Energy Efficiency Perspective to Extend Smartphone Battery Life,2022 IEEE Delhi Section Conference (DELCON)
smartphone_battery,Diagnostic of batteries based on microcontroller and smartphone,2017 International Conference on System Science and Engineering (ICSSE)
smartphone_battery,Fairness while improving smartphone battery life using D2D cooperative relays underlaying LTE networks,2016 International Conference on Computational Techniques in Information and Communication Technologies (ICCTICT)
smartphone_battery,Environmental sizing of smartphone batteries,2012 Electronics Goes Green 2012+
smartphone_battery,A Smartphone Management Method to Save Battery Using Bayesian Networks and Fuzzy System,"2015 IEEE International Conference on Computer and Information Technology; Ubiquitous Computing and Communications; Dependable, Autonomic and Secure Computing; Pervasive Intelligence and Computing"
smartphone_battery,23.3 A Passive Crystal-Less Wi-Fi-to-BLE Tag Demonstrating Battery-Free FDD Communication with Smartphones,2024 IEEE International Solid-State Circuits Conference (ISSCC)
smartphone_battery,Analysis of 4G Network and Chat Applications to Smartphone Battery Life,2018 International Seminar on Application for Technology of Information and Communication
smartphone_battery,An Accurate Smartphone Battery Parameter Calibration Using Unscented Kalman Filter,"2021 International Conference on Communication, Control and Information Sciences (ICCISc)"
smartphone_battery,FlexDisplay: A Flexible Display Framework To Conserve Smartphone Battery Power,2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops)
smartphone_battery,Output Voltage Characteristics of Dual 2-stage Cockcroft-Walton Circuit for Multiport Smartphone Battery Charger,2021 IEEE 10th Global Conference on Consumer Electronics (GCCE)
smartphone_battery,Smartphone Battery State-of-Charge (SoC) Estimation and battery lifetime prediction: State-of-art review,"2020 10th International Conference on Cloud Computing, Data Science & Engineering (Confluence)"
smartphone_battery,Accurate online power estimation and automatic battery behavior based power model generation for smartphones,2010 IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS)
smartphone_battery,"Power Consumption Analysis, Measurement, Management, and Issues: A State-of-the-Art Review of Smartphone Battery and Energy Usage",IEEE Access
smartphone_battery,Online Travel Mode Identification Using Smartphones With Battery Saving Considerations,IEEE Transactions on Intelligent Transportation Systems
smartphone_battery,On-Board Short-Circuit Detection of Li-ion Batteries Undergoing Fixed Charging Profile as in Smartphone Applications,IEEE Transactions on Industrial Electronics
smartphone_battery,Improving smartphone battery life utilizing device-to-device cooperative relays underlaying LTE networks,2014 IEEE International Conference on Communications (ICC)
smartphone_battery,Improving Compliance in Remote Healthcare Systems Through Smartphone Battery Optimization,IEEE Journal of Biomedical and Health Informatics
smartphone_battery,Where has my battery gone? Finding sensor related energy black holes in smartphone applications,2013 IEEE International Conference on Pervasive Computing and Communications (PerCom)
smartphone_battery,Understanding Application-Battery Interactions on Smartphones: A Large-Scale Empirical Study,IEEE Access
smartphone_battery,Extending the Battery Life of Smartphones and Tablets: A Practical Approach to Optimizing the LTE Network,IEEE Vehicular Technology Magazine
smartphone_battery,Full Charge Capacity and Charging Diagnosis of Smartphone Batteries,IEEE Transactions on Mobile Computing
smartphone_battery,Improving Smartphones Battery Life by Reducing Energy Waste of Background Applications,"2014 Eighth International Conference on Next Generation Mobile Apps, Services and Technologies"
smartphone_battery,Extending battery life of smartphones by overcoming idle power consumption using ambient light energy harvesting,2018 IEEE International Conference on Industrial Technology (ICIT)
smartphone_battery,BattTracker: Enabling energy awareness for smartphone using Li-ion battery characteristics,IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications
smartphone_battery,Making Smartphone Smart on Demand for Longer Battery Life,2017 IEEE 37th International Conference on Distributed Computing Systems (ICDCS)
smartphone_battery,Graceful Performance Adaption through Hardware-Software Interaction for Autonomous Battery Management of Multicore Smartphones,2018 Ninth International Green and Sustainable Computing Conference (IGSC)
smartphone_battery,Smartphone battery saving by bit-based hypothesis spaces and local Rademacher Complexities,2014 International Joint Conference on Neural Networks (IJCNN)
smartphone_battery,Charge-Depleting of the Batteries Makes Smartphones Recognizable,2017 IEEE 23rd International Conference on Parallel and Distributed Systems (ICPADS)
smartphone_battery,Investigating battery consumption in low-end smartphones: Preliminary results,2017 IST-Africa Week Conference (IST-Africa)
smartphone_battery,Battery and Data Drain of Over-The-Top Applications on Low-end Smartphones,2018 IST-Africa Week Conference (IST-Africa)
smartphone_battery,Smartphone Radio Interface Management for Longer Battery Lifetime,2017 IEEE International Conference on Autonomic Computing (ICAC)
smartphone_battery,Battery cell configuration for organic light emitting diode display in modern smartphones and tablet-PCs,2012 IEEE/ACM International Conference on Computer-Aided Design (ICCAD)
