keyword,title,publication
smartphone_memory,Real-life Human Activity Recognition with Tri-axial Accelerometer Data from Smartphone using Hybrid Long Short-Term Memory Networks,2020 15th International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP)
smartphone_memory,Balanced memory management for smartphones based on adaptive background app management,The 18th IEEE International Symposium on Consumer Electronics (ISCE 2014)
smartphone_memory,Long Short Term Memory Networks for Stroke Activity Recognition base on Smartphone,"2021 IEEE 5th International Conference on Information Technology, Information Systems and Electrical Engineering (ICITISEE)"
smartphone_memory,Long Short-Term Memory for Human Fall Detection Based Gamification on Unconstraint Smartphone Position,2019 International Congress on Applied Information Technology (AIT)
smartphone_memory,Extending App Installable Memory in Android Smartphones,2016 IEEE/ACM International Conference on Mobile Software Engineering and Systems (MOBILESoft)
smartphone_memory,Challenges in memory subsystem design for future smartphone systems,2017 IEEE International Conference on Big Data and Smart Computing (BigComp)
smartphone_memory,Effective memory management for improving image processing on smartphones,2017 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-TW)
smartphone_memory,Unified non-volatile memory and NAND flash memory architecture in smartphones,The 20th Asia and South Pacific Design Automation Conference
smartphone_memory,ConvAE-LSTM: Convolutional Autoencoder Long Short-Term Memory Network for Smartphone-Based Human Activity Recognition,IEEE Access
smartphone_memory,Building high-performance smartphones via non-volatile memory: The swap approach,2014 International Conference on Embedded Software (EMSOFT)
smartphone_memory,Improving the storage performance of smartphones through journaling in non-volatile memory,IEEE Transactions on Consumer Electronics
smartphone_memory,Exploring memory energy optimizations in smartphones,2011 International Green Computing Conference and Workshops
smartphone_memory,Characterization and Throttling-Based Mitigation of Memory Interference for Heterogeneous Smartphones,2015 IEEE International Symposium on Workload Characterization
smartphone_memory,Energy-Efficient In-Memory Paging for Smartphones,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
smartphone_memory,Improving Flash Memory Performance and Reliability for Smartphones With I/O Deduplication,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
smartphone_memory,Reliable and Trustworthy Memory Acquisition on Smartphones,IEEE Transactions on Information Forensics and Security
smartphone_memory,A buffer cache architecture for smartphones with hybrid DRAM/PCM memory,2015 IEEE Non-Volatile Memory System and Applications Symposium (NVMSA)
smartphone_memory,Evaluating the memory system behavior of smartphone workloads,"2014 International Conference on Embedded Computer Systems: Architectures, Modeling, and Simulation (SAMOS XIV)"
smartphone_memory,MEG: Memory and Energy Efficient Garbled Circuit Evaluation on Smartphones,IEEE Transactions on Information Forensics and Security
smartphone_memory,Memory-Augmented Autoencoder Based Continuous Authentication on Smartphones With Conditional Transformer GANs,IEEE Transactions on Mobile Computing
smartphone_memory,SmartSplit: Latency-Energy-Memory Optimisation for CNN Splitting on Smartphone Environment,2022 14th International Conference on COMmunication Systems & NETworkS (COMSNETS)
smartphone_memory,iRAM: Sensing memory needs of my smartphone,"2016 IEEE 12th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)"
smartphone_memory,A Novel Smartphone-Based Human Activity Recognition Approach using Convolutional Autoencoder Long Short-Term Memory Network,2023 IEEE 24th International Conference on Information Reuse and Integration for Data Science (IRI)
smartphone_memory,Attention Mechanism-Based Bidirectional Long Short-Term Memory for Cycling Activity Recognition Using Smartphones,IEEE Access
smartphone_memory,A Thread Behavior-Based Memory Management Framework on Multi-core Smartphone,2014 19th International Conference on Engineering of Complex Computer Systems
smartphone_memory,A method to avoid smartphone memory errors impacting encryption keys,2016 Winter Simulation Conference (WSC)
