keyword,title,publication
smartphone_performance,Tapping Task Performance on Smartphones in Cold Temperature,Interacting with Computers
smartphone_performance,Are smartphones suited for DTN networking? A methodological teardown of smartphones' WiFi performance,"2015 13th International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks (WiOpt)"
smartphone_performance,GNSS Precise Point Positioning with Android Smartphones and Comparison with High Performance Receivers,"2019 IEEE International Conference on Signal, Information and Data Processing (ICSIDP)"
smartphone_performance,23.3 A highly integrated smartphone SoC featuring a 2.5GHz octa-core CPU with advanced high-performance and low-power techniques,2015 IEEE International Solid-State Circuits Conference - (ISSCC) Digest of Technical Papers
smartphone_performance,A Case Study of Automating User Experience-Oriented Performance Testing on Smartphones,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation"
smartphone_performance,Implementation and performance analysis of smartphone-based 3D PDR system with hybrid motion and heading classifier,"2014 IEEE/ION Position, Location and Navigation Symposium - PLANS 2014"
smartphone_performance,Differential performance of automatic speech-based depression classification across smartphones,2017 Seventh International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW)
smartphone_performance,2.5 A 7nm FinFET 2.5GHz/2.0GHz Dual-Gear Octa-Core CPU Subsystem with Power/Performance Enhancements for a Fully Integrated 5G Smartphone SoC,2020 IEEE International Solid-State Circuits Conference - (ISSCC)
smartphone_performance,Format effects of Traditional Chinese character size and font style on reading performance when using smartphones,2017 International Conference on Applied System Innovation (ICASI)
smartphone_performance,Low-Band MIMO Antenna for Smartphones With Robust Performance to User Interaction,IEEE Antennas and Wireless Propagation Letters
smartphone_performance,$4 \times 4$ MIMO Performance of Two Conjoined Dual Wideband Antennas Including the Feedline Effects for 5G Smartphones,2019 IEEE Asia-Pacific Microwave Conference (APMC)
smartphone_performance,Smartphone GNSS positioning performance improvements through utilisation of Google location API,"2018 41st International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)"
smartphone_performance,GNSS Reflectometry from Smartphones: Testing Performance of In-Built Antennas and GNSS Chips,IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium
smartphone_performance,Fatigue Detection Method Based on Smartphone Text Entry Performance Metrics,2016 9th International Conference on Developments in eSystems Engineering (DeSE)
smartphone_performance,Performance comparison of smartphones and a wearable motion sensor for patient m-assessment,2018 16th Biennial Baltic Electronics Conference (BEC)
smartphone_performance,Impact of Chipset Configuration on Thermal Performance of Smartphones,2018 17th IEEE Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems (ITherm)
smartphone_performance,Experiment-Based Smartphone Traffic Modeling and Power Saving Performance Analysis for LTE DRX Mechanism,"2014 IEEE International Conference on Internet of Things (iThings), and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom)"
smartphone_performance,Performance analysis of ubiquitous web systems for SmartPhones,2011 International Symposium on Performance Evaluation of Computer & Telecommunication Systems
smartphone_performance,Response time performance estimation in smartphones applying dynamic voltage & frequency scaling and completely fair scheduler,The 18th IEEE International Symposium on Consumer Electronics (ISCE 2014)
smartphone_performance,Performance Evaluation of Indoor Positioning Systems based on Smartphone and Wearable Device,2020 5th International Conference on Smart and Sustainable Technologies (SpliTech)
smartphone_performance,Slot Antenna Performance and Signal Quality in a Smartphone Prototype,IEEE Antennas and Wireless Propagation Letters
smartphone_performance,Connected Smartphones and High-Performance Servers for Remote Object Detection,"2014 IEEE International Conference on Cyber-Physical Systems, Networks, and Applications"
smartphone_performance,Optimizing Performance of Real Time Multiplayer 3D Games on Smartphone Using Unsupervised Learning (K-Means),2019 Fourth International Conference on Informatics and Computing (ICIC)
smartphone_performance,Near Real-time Performance of Population-based Nature-Inspired Algorithms on Cheaper and Older Smartphones,2018 5th International Conference on Soft Computing & Machine Intelligence (ISCMI)
smartphone_performance,Performance testing of PDR using common sensors on a smartphone,2013 International Conference on Advanced Computer Science and Information Systems (ICACSIS)
smartphone_performance,Performance characterization of aspheric polymer lens formed by gravity and surface tension: A high magnification portable microscope for smartphone and tablet,2016 9th Biomedical Engineering International Conference (BMEiCON)
smartphone_performance,Performance analysis of intrusion detection systems for Smartphone security enhancements,International Conference on Mobile IT Convergence
smartphone_performance,Smartphone–controlled industrial robots: Design and user performance evaluation,"2022 IEEE 22nd International Symposium on Computational Intelligence and Informatics and 8th IEEE International Conference on Recent Achievements in Mechatronics, Automation, Computer Science and Robotics (CINTI-MACRo)"
smartphone_performance,Oppo Reno5pro Smartphone Single-frequency GNSS Positioning Performance Evaluation,2022 IEEE International Conference on Unmanned Systems (ICUS)
smartphone_performance,Interactive audio-visual performance system controlled by smartphone based on arm movements,2016 International Conference on Advanced Materials for Science and Engineering (ICAMSE)
smartphone_performance,Performance Anomalies of Smartphone-based Mobile Wi-Fi Hotspots,"2019 3rd International Conference on Recent Advances in Signal Processing, Telecommunications & Computing (SigTelCom)"
smartphone_performance,Real-World Performance Evaluations of Low-Band 5G NR/4G LTE 4×4 MIMO on Commercial Smartphones,2024 IEEE Wireless Communications and Networking Conference (WCNC)
smartphone_performance,Performance and power consumption evaluation in smartphone based image processing for medical applications,2018 IEEE International Conference on Imaging Systems and Techniques (IST)
smartphone_performance,From Finger Gesture to Finger Choreography: Enabling 3D Live Performances on Smartphones,2014 18th International Conference on Information Visualisation
smartphone_performance,Comparison of Smartphone Sensors Performance Using Participatory Sensing and Cloud Application,"2015 International Conference on Identification, Information, and Knowledge in the Internet of Things (IIKI)"
smartphone_performance,Survey of non-visual identification performance by using a tactile compass in smartphones,2017 International Conference on Applied System Innovation (ICASI)
smartphone_performance,Development of a Smartphone-Based Educational Robot with Cloud Architecture and Evaluation of Its Performance,"2018 Latin American Robotic Symposium, 2018 Brazilian Symposium on Robotics (SBR) and 2018 Workshop on Robotics in Education (WRE)"
smartphone_performance,A performance study on context-aware real-time multimedia transmission between smartphone and cloud,2012 International Symposium on Intelligent Signal Processing and Communications Systems
smartphone_performance,Performance Evaluation of “SmartSource” a Distributed Database System Using Smartphone in Cellular Network,2018 4th International Conference on Computing Communication and Automation (ICCCA)
smartphone_performance,Estimating Cognitive Performance Changes Based on Psychophysiological Sensor in the Smartphone: A Proposed Model,2019 11th International Conference on Information Technology and Electrical Engineering (ICITEE)
