keyword,title,publication
smartphone_resource,Optimizing resources on smartphone gait recognition,2017 IEEE International Joint Conference on Biometrics (IJCB)
smartphone_resource,Attack Detection based on Statistical Analysis of Smartphone Resource Utilization,2019 IEEE 16th India Council International Conference (INDICON)
smartphone_resource,Smartphone for next generation attendance system and human resources payroll system,"2017 4th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)"
smartphone_resource,BeaconNet: A Beacon-Based Smartphone Ad-Hoc Network for Resource-Constrained Classrooms,2018 IEEE 18th International Conference on Advanced Learning Technologies (ICALT)
smartphone_resource,UCHEK: an affordable smartphone based point of care diagnostic system for a low resource medical setup,Appropriate Healthcare Technologies for Low Resource Settings (AHT 2014)
smartphone_resource,Secure Proctoring of Contactless Handwritten-Assessments with Insufficient Computing Resources using Smartphones,2022 9th International Conference on Future Internet of Things and Cloud (FiCloud)
smartphone_resource,SmartPhoto: A Resource-Aware Crowdsourcing Approach for Image Sensing with Smartphones,IEEE Transactions on Mobile Computing
smartphone_resource,Seamless Dynamic Adaptive Streaming in LTE/Wi-Fi Integrated Network under Smartphone Resource Constraints,IEEE Transactions on Mobile Computing
smartphone_resource,Remora: Sensing resource sharing among smartphone-based body sensor networks,2013 IEEE/ACM 21st International Symposium on Quality of Service (IWQoS)
smartphone_resource,Deep learning-based image evaluation for cervical precancer screening with a smartphone targeting low resource settings – Engineering approach,2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)
smartphone_resource,Energy Management of Applications With Varying Resource Usage on Smartphones,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
smartphone_resource,Smartphone spectrophotometer for point-of-care diagnostics in low-resource settings,2015 IEEE Region 10 Humanitarian Technology Conference (R10-HTC)
smartphone_resource,Learning Resource Management Specifications in Smartphones,2015 IEEE 21st International Conference on Parallel and Distributed Systems (ICPADS)
smartphone_resource,A Socially Inspired Smartphone Resource Sharing Scheme for Internet of Things in Smart Cities,2019 IEEE International Smart Cities Conference (ISC2)
smartphone_resource,How to run a successful mobile crowdsourcing project developers must respect the quirks of smartphone culture [Resources_At Work],Amy Nordrum
smartphone_resource,Foldscope: A paper microscope you can attach to your smartphone - [Resources_Tools and Toys],Mark Anderson
smartphone_resource,Review: dragonfly DACS upgrade your smartphone's audio with these slim digital-to-analog converters [Resources],Glenn Zorpette
smartphone_resource,Dirac: High-fidelity audio for your smartphone [Resources_Tools & Toys],Michael Koziol
