keyword,title,publication
smartphone_response,Evaluation of a smartphone-based student response system for providing high quality real-time responses in a distributed classroom,25th IET Irish Signals & Systems Conference 2014 and 2014 China-Ireland International Conference on Information and Communications Technologies (ISSC 2014/CIICT 2014)
smartphone_response,Emergency response in smartphone-based Mobile Ad-Hoc Networks,2012 IEEE International Conference on Communications (ICC)
smartphone_response,Implementation of a smartphone as a wireless gyroscope application for the quantification of reflex response,2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society
smartphone_response,Frequency Response of Smartphones at the Upper Limit of the Audible Range,2022 ELEKTRO (ELEKTRO)
smartphone_response,Response time performance estimation in smartphones applying dynamic voltage & frequency scaling and completely fair scheduler,The 18th IEEE International Symposium on Consumer Electronics (ISCE 2014)
smartphone_response,Empowering Communities With a Smartphone-Based Response Network for Opioid Overdoses,IEEE Pervasive Computing
smartphone_response,Response Type Road Roughness Measuring System from a Vehicle Mounted Android Smartphone,2022 IEEE Delhi Section Conference (DELCON)
smartphone_response,Development of a smartphone application for disaster response,OCEANS 2015 - MTS/IEEE Washington
smartphone_response,An investigation into dynamic TLPs for smartphone communication: To facilitate timed response in way finding for vision impaired people,2013 International Conference on Advances in ICT for Emerging Regions (ICTer)
smartphone_response,Response of the autonomic nervous system to emotional email on a smartphone,2014 World Automation Congress (WAC)
smartphone_response,Response Time Analysis to Support Business Process of the NFC Communication in Smartphone,2019 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI)
smartphone_response,"A response to smartphone addiction among university populations in an emerging country, Piura - 2023",2023 XIII International Conference on Virtual Campus (JICV)
smartphone_response,A smartphone-based mobile incident response system for indoor and outdoor scenarios,2016 IEEE International Conference on Industrial Technology (ICIT)
smartphone_response,RescueAid: Smartphone-Aided Situational Awareness For Emergency Response,2023 24th IEEE International Conference on Mobile Data Management (MDM)
smartphone_response,Dynamic scale selected Laplacian decomposed frequency response for cross-smartphone periocular verification in visible spectrum,2016 19th International Conference on Information Fusion (FUSION)
smartphone_response,Smartphone Response System Using Twitter to Enable Effective Interaction and Improve Engagement in Large Classrooms,IEEE Transactions on Education
smartphone_response,Fog Computing based Automated Accident Detection and Emergency Response System using Android Smartphone,2018 14th International Conference on Emerging Technologies (ICET)
smartphone_response,Eight Element MIMO Antenna Array With Tri-Band Response for Modern Smartphones,IEEE Access
smartphone_response,Detection of Careless Responses in Online Surveys Using Answering Behavior on Smartphone,IEEE Access
smartphone_response,A behavioral biometric challenge and response approach to user authentication on smartphones,"2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)"
