keyword,title,publication
smartphone_storage,Digital Storage in Smartphones and Wearables [The Art of Storage],IEEE Consumer Electronics Magazine
smartphone_storage,ID Card Storage System using Optical Character Recognition (OCR) on Android-based Smartphone,2022 International Conference on Electrical and Information Technology (IEIT)
smartphone_storage,A review on enhancing storage space of smartphone using virtualization,2015 International Conference on Futuristic Trends on Computational Analysis and Knowledge Management (ABLAZE)
smartphone_storage,A smartphone design approach to user communication interface for administering storage system network,Year: 2012 | Conference Paper | Publisher: IEEE
smartphone_storage,Wireless Heart Signal Monitoring with Smartphone as Storage Media,2021 1st International Conference on Electronic and Electrical Engineering and Intelligent System (ICE3IS)
smartphone_storage,A small non-volatile write buffer to reduce storage writes in smartphones,"2015 Design, Automation & Test in Europe Conference & Exhibition (DATE)"
smartphone_storage,Smartphone cloud storage anti virus detection and prevention using robust algorithm,"2012 8th International Conference on Computing and Networking Technology (INC, ICCIS and ICMIC)"
smartphone_storage,Using Smartphones as a Proxy for Forensic Evidence Contained in Cloud Storage Services,2013 46th Hawaii International Conference on System Sciences
smartphone_storage,Improving the storage performance of smartphones through journaling in non-volatile memory,IEEE Transactions on Consumer Electronics
smartphone_storage,A tiny-capacitor-backed non-volatile buffer to reduce storage writes in smartphones,2015 International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS)
smartphone_storage,Fjord: Informed storage management for smartphones,2013 IEEE 29th Symposium on Mass Storage Systems and Technologies (MSST)
smartphone_storage,Revisiting Temporal Storage I/O Behaviors of Smartphone Applications: Analysis and Synthesis,2022 IEEE International Symposium on Workload Characterization (IISWC)
smartphone_storage,Using Smartphone Sensors for Encrypting Mobile Data Storage to Withstand Quantum Cryptanalysis,"2022 Sixth International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)"
