keyword,title,publication
android_battery,"Smart agriculture technology: An integrated framework of renewable energy resources, IoT-based energy management, and precision robotics",Cleaner Energy Systems
android_battery,A platform for automating battery-driven batch benchmarking and profiling of Android-based mobile devices,Simulation Modelling Practice and Theory
android_battery,Enersave API: Android-based power-saving framework for mobile devices,Future Computing and Informatics Journal
android_battery,Using mobile devices as scientific measurement instruments: Reliable android task scheduling,Pervasive and Mobile Computing
android_battery,Android Malware Detection Using Deep Learning,Procedia Computer Science
android_battery,Motrol: A hardware-software device for batch benchmarking and profiling of in-lab mobile device clusters,HardwareX
android_battery,On-device Resilient Android Malware Detection using Incremental Learning,Procedia Computer Science
android_battery,E-APK: Energy pattern detection in decompiled android applications,Journal of Computer Languages
android_battery,Measuring power consumption in mobile devices for energy sustainable app development: A comparative study and challenges,Sustainable Computing: Informatics and Systems
android_battery,HB-ReTriple: Mobile rendering optimization based on efficient history reusing,Journal of Systems Architecture
android_battery,From benchmarks to real apps: Exploring the energy impacts of performance-directed changes,Journal of Systems and Software
android_battery,"Impact of mobile cross-platform development on CPU, memory and battery of mobile devices when using common mobile app features",Procedia Computer Science
android_battery,Energy-aware network/interface selection and handover application for android-based mobile devices,Computer Networks
android_battery,Improving mobile device security with operating system-level virtualization,Computers & Security
android_battery,CLAID: Closing the Loop on AI & Data Collection — A cross-platform transparent computing middleware framework for smart edge-cloud and digital biomarker applications,Future Generation Computer Systems
android_battery,Energy Consumption Metrics for Mobile Device Dynamic Malware Detection,Procedia Computer Science
android_battery,A real-time power monitoring and energy-efficient network/interface selection tool for android smartphones,Journal of Network and Computer Applications
android_battery,Design and Development of Spherical Spy Robot for Surveillance Operation,Procedia Computer Science
android_battery,Towards energy aware object-oriented development of android applications,Sustainable Computing: Informatics and Systems
android_battery,State-taint analysis for detecting resource bugs,Science of Computer Programming
android_battery,Nature Inspired Power Optimization in smartphones,Swarm and Evolutionary Computation
android_battery,"A new asset tracking architecture integrating RFID, Bluetooth Low Energy tags and ad hoc smartphone applications",Pervasive and Mobile Computing
android_battery,Free apps eat up your cellphone battery just to send you ads,New Scientist
android_battery,A simple and low-cost portable potentiostat with real-time data sharing for wireless electrochemical analyses,Journal of Electroanalytical Chemistry
android_battery,AndroidOff:Offloading android application based on cost estimation,Journal of Systems and Software
android_battery,gLCB: an energy aware context broker,Sustainable Computing: Informatics and Systems
android_battery,Portable open-source autosampler for shallow waters,HardwareX
android_battery,The Moitree middleware for distributed mobile-cloud computing,Journal of Systems and Software
android_battery,"Open-source FlexNIRS: A low-cost, wireless and wearable cerebral health tracker",NeuroImage
android_battery,A wearable and smart actuator for haptic stimulation,Micro and Nano Engineering
android_battery,The energy impact of security mechanisms in modern mobile devices,Network Security
android_battery,On the impact of code smells on the energy consumption of mobile applications,Information and Software Technology
android_battery,AwarNS: A framework for developing context-aware reactive mobile applications for health and mental health,Journal of Biomedical Informatics
android_battery,LiveDewStream: A stream processing platform for running in-lab distributed deep learning inferences on smartphone clusters at the edge,SoftwareX
android_battery,Usability of a smartwatch for atrial fibrillation detection in older adults after stroke,Cardiovascular Digital Health Journal
android_battery,An auction-based incentive mechanism for heterogeneous mobile clouds,Journal of Systems and Software
android_battery,A middleware framework for application-aware and user-specific energy optimization in smart mobile devices,Pervasive and Mobile Computing
android_battery,MLEE: Method Level Energy Estimation — A machine learning approach,Sustainable Computing: Informatics and Systems
android_battery,Calibrating parameters and formulas for process-level energy consumption profiling in smartphones,Journal of Network and Computer Applications
android_battery,Resource Usage Analysis of a Mobile Banking Application using Sensor-and-Touchscreen-Based Continuous Authentication,Procedia Computer Science
android_battery,Partial mobile application offloading to the cloud for energy-efficiency with security measures,Sustainable Computing: Informatics and Systems
android_battery,A mobile application for cognitive screening of dementia,Computer Methods and Programs in Biomedicine
android_battery,Collaborative Bluetooth-based location authentication on smart phones,Pervasive and Mobile Computing
android_battery,Resource Usage Analysis of a Sensor-based Mobile Augmented Reality Application,Procedia Computer Science
android_battery,Towards a health software supporting platform for wearable devices,Procedia Computer Science
android_battery,A Cs2LiYCl6:Ce-based advanced radiation monitoring device,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment"
android_battery,Cost-effective and power-efficient portable turbine-based emergency ventilator,HardwareX
android_battery,An intelligent mobile based decision support system for retinal disease diagnosis,Decision Support Systems
android_battery,Exploiting location-related behaviors without the GPS data on smartphones,Information Sciences
android_battery,Investigation on parallel hybrid electric bicycle along with issuer management system for mountainous region,Journal of Cleaner Production
android_battery,Taming Energy Cost of Disk Encryption Software on Data-Intensive Mobile Devices,Procedia Computer Science
android_battery,"Intrusion detection for mobile devices using the knowledge-based, temporal abstraction method",Journal of Systems and Software
android_battery,"Federated learning review: Fundamentals, enabling technologies, and future applications",Information Processing & Management
android_battery,Building energy consumption models based on smartphone user’s usage patterns,Knowledge-Based Systems
android_battery,A comparative study on the energy consumption of Progressive Web Apps,Information Systems
android_battery,The state of the art in measurement-based experiments on the mobile web,Information and Software Technology
android_battery,Power tradeoffs in mobile video transmission for smartphones,Computer Communications
android_battery,Output-oriented power saving mode for mobile devices,Future Generation Computer Systems
android_battery,Taming energy cost of disk encryption software on data-intensive mobile devices,Future Generation Computer Systems
android_battery,Peer-assisted video on-demand streaming system in practical WiFi-based mobile opportunistic networks,Journal of Network and Computer Applications
android_battery,On-site cell concentration and viability detections using smartphone based field-portable cell counter,Analytica Chimica Acta
android_battery,Context-aware RAON middleware for opportunistic network,Pervasive and Mobile Computing
android_battery,Optimized device centric aggregation mechanisms for mobile devices with multiple wireless interfaces,Computer Networks
android_battery,Flexible multijunction solar cells embedded inside smart dust modules for outdoor applications to Smart Grids,Applied Energy
android_battery,Activity classification with smart phones for sports activities,Procedia Engineering
android_battery,Energy-aware environments for the development of green applications for cyber–physical systems,Future Generation Computer Systems
android_battery,A 3D printed smartphone optosensing platform for point-of-need food safety inspection,Analytica Chimica Acta
android_battery,All-inorganic halide perovskite tuned robust mechanical-energy harvester: Self driven posture monitor and power source for portable electronics,Applied Materials Today
android_battery,A novel gateway-based solution for remote elderly monitoring,Journal of Biomedical Informatics
android_battery,Interactive flow simulation using Tegra-powered mobile devices,Advances in Engineering Software
android_battery,A study of energy-aware implementation techniques: Redistribution of computational jobs in mobile apps,Sustainable Computing: Informatics and Systems
android_battery,Towards an efficient and Energy-Aware mobile big health data architecture,Computer Methods and Programs in Biomedicine
android_battery,Multi-sensor system with Bluetooth connectivity for non-invasive measurements of human body physical parameters,Sensors and Actuators A: Physical
