keyword,title,publication
android_energy,A systematic literature review on Android-specific smells,Journal of Systems and Software
android_energy,"Smart agriculture technology: An integrated framework of renewable energy resources, IoT-based energy management, and precision robotics",Cleaner Energy Systems
android_energy,Using mobile devices as scientific measurement instruments: Reliable android task scheduling,Pervasive and Mobile Computing
android_energy,Ultrasonographic measurement of abdominal and gluteal-femoral fat thickness as a predictor for android/gynoid ratio,European Journal of Radiology
android_energy,HB-ReTriple: Mobile rendering optimization based on efficient history reusing,Journal of Systems Architecture
android_energy,On-device Resilient Android Malware Detection using Incremental Learning,Procedia Computer Science
android_energy,Audio signal based danger detection using signal processing and deep learning,Expert Systems with Applications
android_energy,Consumption of Ultraprocessed Foods and Body Fat Distribution Among U.S. Adults,American Journal of Preventive Medicine
android_energy,Post-mortem digital forensics analysis of the Zepp Life android application,Forensic Science International: Digital Investigation
android_energy,E-APK: Energy pattern detection in decompiled android applications,Journal of Computer Languages
android_energy,Lightweight energy consumption analysis and prediction for Android applications,Science of Computer Programming
android_energy,An investigation on feature and text extraction from images using image recognition in Android,Materials Today: Proceedings
android_energy,Springbok: An App deployment accelerator for Android smart devices,Computers & Electrical Engineering
android_energy,Measuring power consumption in mobile devices for energy sustainable app development: A comparative study and challenges,Sustainable Computing: Informatics and Systems
android_energy,Computational analysis of starch for sustainable power generation towards integrated wearable IoT,Applied Energy
android_energy,Energy-efficient low-latency audio on android,Journal of Systems and Software
android_energy,Enersave API: Android-based power-saving framework for mobile devices,Future Computing and Informatics Journal
android_energy,AMEn Predictor: A mobile app to predict energy values of broilers feedstuffs,Computers and Electronics in Agriculture
android_energy,Distribution of lean mass and mortality risk in patients with type 2 diabetes,Primary Care Diabetes
android_energy,Measurement of Visceral Adipose Tissue in Persons With Spinal Cord Injury by Magnetic Resonance Imaging and Dual X-Ray Absorptiometry: Generation and Application of a Predictive Equation,Journal of Clinical Densitometry
android_energy,Dataset for multimodal transport analytics of smartphone users - Collecty,Data in Brief
android_energy,A real-time power monitoring and energy-efficient network/interface selection tool for android smartphones,Journal of Network and Computer Applications
android_energy,An empirical study on the performance and energy costs of ads and analytics in mobile web apps,Information and Software Technology
android_energy,Towards energy aware object-oriented development of android applications,Sustainable Computing: Informatics and Systems
android_energy,"Impact of mobile cross-platform development on CPU, memory and battery of mobile devices when using common mobile app features",Procedia Computer Science
android_energy,From benchmarks to real apps: Exploring the energy impacts of performance-directed changes,Journal of Systems and Software
android_energy,Smart indoor navigation and proximity advertising with android application using BLE technology,Materials Today: Proceedings
android_energy,Evaluation of body composition and bone mineral density in patients with and without idiopathic condylar resorption of temporomandibular disorders by dual energy X-ray absorptiometry,Journal of Dental Sciences
android_energy,Almond Consumption Decreases Android Fat Mass Percentage in Adults With High Android Subcutaneous Adiposity but Does Not Change HbA1c,Current Developments in Nutrition
android_energy,Computational offloading mechanism for native and android runtime based mobile applications,Journal of Systems and Software
android_energy,The Effect of a Compression Bandage on Dual Energy X-ray Absorptiometry Body Composition Scores,Journal of Clinical Densitometry
android_energy,"Associations Between Sedentary Time, Physical Activity, and Dual-Energy X-ray Absorptiometry Measures of Total Body, Android, and Gynoid Fat Mass in Children",Journal of Clinical Densitometry
android_energy,A platform for automating battery-driven batch benchmarking and profiling of Android-based mobile devices,Simulation Modelling Practice and Theory
android_energy,Energy-aware network/interface selection and handover application for android-based mobile devices,Computer Networks
android_energy,A novel data acquisition approach for valves in industrial refrigeration,"e-Prime - Advances in Electrical Engineering, Electronics and Energy"
android_energy,AgriWealth: IoT based farming system,Microprocessors and Microsystems
android_energy,Energy Consumption Metrics for Mobile Device Dynamic Malware Detection,Procedia Computer Science
android_energy,A security framework for mHealth apps on Android platform,Computers & Security
android_energy,Contribution of Android and Gynoid Adiposity to Bone Mineral Density in Healthy Postmenopausal Thai Women,Journal of Clinical Densitometry
android_energy,Performance and programming effort trade-offs of android persistence frameworks,Journal of Systems and Software
android_energy,Connection-less BLE Performance Evaluation on Smartphones,Procedia Computer Science
android_energy,Maternal Android Adiposity and Vitamin D Status in Lactation Are Positive Predictors of Child Adiposity and Vitamin D Status at 2 Years of Age: A Follow-Up Study From Montréal,Current Developments in Nutrition
android_energy,"Reproductive hormones, bone mineral content, body composition, and testosterone therapy in boys and adolescents with Klinefelter syndrome",Endocrine Connections
android_energy,Android fat as a determinant of metabolic syndrome: Sex differences,Nutrition
android_energy,The development of SHS-SWTHS designing software based on windows and android mobile device platforms,Renewable Energy
android_energy,"A new asset tracking architecture integrating RFID, Bluetooth Low Energy tags and ad hoc smartphone applications",Pervasive and Mobile Computing
android_energy,Body fat distribution in obesity and the association with falls: A cohort study of Brazilian women aged 60 years and over,Maturitas
android_energy,Changes in truncal obesity and fat distribution predict arterial health,Journal of Clinical Lipidology
android_energy,Energy efficient adaptation engines for android applications,Information and Software Technology
android_energy,State-taint analysis for detecting resource bugs,Science of Computer Programming
android_energy,"Mediterranean diet, tobacco consumption and body composition during perimenopause. The FLAMENCO project",Maturitas
android_energy,An environment for automated measurement of energy consumed by mobile and embedded computing devices,Measurement
android_energy,A systematic review on techniques and approaches to estimate mobile software energy consumption,Sustainable Computing: Informatics and Systems
android_energy,An Intelligent Energy Management System using IOT,Materials Today: Proceedings
android_energy,AndroidOff:Offloading android application based on cost estimation,Journal of Systems and Software
android_energy,Life cycle assessment of alternative building materials using idematlightlca mobile app,Materials Today: Proceedings
android_energy,"The Abnormal Ratio of Android-Gynoid Fat, Measured by Dual-Energy X-Ray Absorptiometry (DEXA) Scans, is Moderately Useful for Diagnosing Metabolic Syndrome in Children and Adolescents",Journal of Clinical Densitometry
android_energy,On the impact of code smells on the energy consumption of mobile applications,Information and Software Technology
android_energy,Static analysis of android apps: A systematic literature review,Information and Software Technology
android_energy,Development of smart energy monitoring using NB-IOT and cloud,Measurement: Sensors
android_energy,Towards a practical framework for code offloading in the Internet of Things,Future Generation Computer Systems
android_energy,Thin is green: Leveraging the thin-client paradigm for sustainable mobile computing,Computers & Electrical Engineering
android_energy,Increase in Android Fat Mass With Age in Healthy Women With Normal Body Mass Index,Journal of Clinical Densitometry
android_energy,Smartphone-powered portable chemiresistive sensing system for label free detection of lead ions in water,Microchemical Journal
android_energy,Chapter 12: Photovoltaic project design in software,Renewable and Clean Energy Systems Based on Advanced Nanomaterials
android_energy,Plasma mitochondrial derived peptides MOTS-c and SHLP2 positively associate with android and liver fat in people without diabetes,Biochimica et Biophysica Acta (BBA) - General Subjects
android_energy,Impact of android overweight or obesity and insulin resistance on basal and postprandial SR-BI and ABCA1-mediated serum cholesterol efflux capacities,Atherosclerosis
android_energy,"Body adiposity index related to total, gynoid and android fat mass assessed by dual-energy X-ray absorptiometry",Nutrition
android_energy,"Effects of Prune (Dried Plum) Supplementation on Cardiometabolic Health in Postmenopausal Women: An Ancillary Analysis of a 12-Month Randomized Controlled Trial, The Prune Study",The Journal of Nutrition
android_energy,Effect of Chemotherapy on Dual-Energy X-ray Absorptiometry (DXA) Body Composition Precision Error in Head and Neck Cancer Patients,Journal of Clinical Densitometry
android_energy,Enhanced detection of acrylamide using a versatile solid-state upconversion sensor through spectral and visual analysis,Journal of Hazardous Materials
android_energy,Android Unikernel: Gearing mobile code offloading towards edge computing,Future Generation Computer Systems
