keyword,title,publication
android_issue,An empirical study on compatibility issues in Android API field evolution,Information and Software Technology
android_issue,MADRAS-NET: A deep learning approach for detecting and classifying android malware using Linknet,Measurement: Sensors
android_issue,Strengthening LLM ecosystem security: Preventing mobile malware from manipulating LLM-based applications,Information Sciences
android_issue,GHGDroid: Global heterogeneous graph-based android malware detection,Computers & Security
android_issue,A systematic literature review on Android-specific smells,Journal of Systems and Software
android_issue,ReckDroid: Detecting red packet fraud in Android apps,Computers & Security
android_issue,SynDroid: An adaptive enhanced Android malware classification method based on CTGAN-SVM,Computers & Security
android_issue,Assessing the security of inter-app communications in android through reinforcement learning,Computers & Security
android_issue,WHGDroid: Effective android malware detection based on weighted heterogeneous graph,Journal of Information Security and Applications
android_issue,Explainable Classification Model for Android Malware Analysis Using API and Permission-Based Features,"Computers, Materials and Continua"
android_issue,Efficient concept drift handling for batch android malware detection models,Pervasive and Mobile Computing
android_issue,A Systematic Review of Social Media Data Mining on Android,Procedia Computer Science
android_issue,Automated malware detection using machine learning and deep learning approaches for android applications,Measurement: Sensors
android_issue,Defendroid: Real-time Android code vulnerability detection via blockchain federated neural network with XAI,Journal of Information Security and Applications
android_issue,Selection of disassembly schemes for multiple types of waste mobile phones based on knowledge reuse and disassembly line balancing,Journal of Manufacturing Systems
android_issue,F2DC: Android malware classification based on raw traffic and neural networks,Computer Networks
android_issue,Concept drift and cross-device behavior: Challenges and implications for effective android malware detection,Computers & Security
android_issue,A novel Android malware detection method with API semantics extraction,Computers & Security
android_issue,FridgeSnap: A software for recipe suggestion based on food image classification,Software Impacts
android_issue,"Android malware concept drift using system calls: Detection, characterization and challenges",Expert Systems with Applications
android_issue,EfficientNet convolutional neural networks-based Android malware detection,Computers & Security
android_issue,Generating sparse explanations for malicious Android opcode sequences using hierarchical LIME,Computers & Security
android_issue,A longitudinal study of the impact of refactoring in android applications,Information and Software Technology
android_issue,RansomDroid: Forensic analysis and detection of Android Ransomware using unsupervised machine learning technique,Forensic Science International: Digital Investigation
android_issue,Probing AndroVul dataset for studies on Android malware classification,Journal of King Saud University - Computer and Information Sciences
android_issue,An Android Malware Detection and Classification Approach Based on Contrastive Lerning,Computers & Security
android_issue,Self-report user interfaces for patients with Rheumatic and Musculoskeletal Diseases: App review and usability experiments with mobile user interface components,Computers & Graphics
android_issue,DroidEnemy: Battling adversarial example attacks for Android malware detection,Digital Communications and Networks
android_issue,A method of multidimensional software aging prediction based on ensemble learning: A case of Android OS,Information and Software Technology
android_issue,Exploring the use of static and dynamic analysis to improve the performance of the mining sandbox approach for android malware identification,Journal of Systems and Software
android_issue,Towards Explainable CNNs for Android Malware Detection,Procedia Computer Science
android_issue,Vulnerabilities in Android webview objects: Still not the end!,Computers & Security
android_issue,A Bayesian probability model for Android malware detection,ICT Express
android_issue,An Android Malware Detection Approach Based on Static Feature Analysis Using Machine Learning Algorithms,Procedia Computer Science
android_issue,A survey of android application and malware hardening,Computer Science Review
android_issue,Studying users’ perception of IoT mobile companion apps,Pervasive and Mobile Computing
android_issue,On machine learning effectiveness for malware detection in Android OS using static analysis data,Journal of Information Security and Applications
android_issue,GeoSurvey: A cloud-based mobile app for efficient land surveys and big data collection,Software Impacts
android_issue,You Shall not Repackage! Demystifying Anti-Repackaging on Android,Computers & Security
android_issue,Permission based Android security: Issues and countermeasures,Computers & Security
android_issue,Android Password Managers and Vault Applications: Data Storage Security Issues Identification,Journal of Information Security and Applications
android_issue,"Android single sign-on security: Issues, taxonomy and directions",Future Generation Computer Systems
android_issue,JOWMDroid: Android malware detection based on feature weighting with joint optimization of weight-mapping and classifier parameters,Computers & Security
android_issue,Towards predictive analysis of android vulnerability using statistical codes and machine learning for IoT applications,Computer Communications
android_issue,Android code smells: From introduction to refactoring,Journal of Systems and Software
android_issue,How are framework code samples maintained and used by developers? The case of Android and Spring Boot,Journal of Systems and Software
android_issue,Sharing runtime permission issues for developers based on similar-app review mining,Journal of Systems and Software
android_issue,Vulnerability analysis of Qualcomm Secure Execution Environment (QSEE),Computers & Security
android_issue,A root privilege management scheme with revocable authorization for Android devices,Journal of Network and Computer Applications
android_issue,Android malware detection as a Bi-level problem,Computers & Security
android_issue,Springbok: An App deployment accelerator for Android smart devices,Computers & Electrical Engineering
android_issue,Function-level obfuscation detection method based on Graph Convolutional Networks,Journal of Information Security and Applications
android_issue,Covertvasion: Depicting threats through covert channels based novel evasive attacks in android,International Journal of Intelligent Networks
android_issue,Chapter 2: Performance tuning of Android applications using clustering and optimization heuristics,Advanced Data Mining Tools and Methods for Social Computing
android_issue,Pleasure or pain? An evaluation of the costs and utilities of bloatware applications in android smartphones,Journal of Network and Computer Applications
android_issue,Android data storage security: A review,Journal of King Saud University - Computer and Information Sciences
android_issue,MSYM: A multichannel communication system for android devices,Computer Networks
android_issue,SMART GROW – Low-cost automated hydroponic system for urban farming,HardwareX
android_issue,Hunter: Tracing anycast communications to uncover cross-border personal data transfers,Computers & Security
android_issue,DelDroid: An automated approach for determination and enforcement of least-privilege architecture in android,Journal of Systems and Software
android_issue,A real-time deep learning approach for classifying cervical spine fractures,Healthcare Analytics
android_issue,A security framework for mHealth apps on Android platform,Computers & Security
android_issue,New flash memory acquisition methods based on firmware update protocols for LG Android smartphones,Digital Investigation
android_issue,Security considerations related to the use of mobile devices in the operation of critical infrastructures,International Journal of Critical Infrastructure Protection
android_issue,AATT+: Effectively manifesting concurrency bugs in Android apps,Science of Computer Programming
android_issue,Human values in software development artefacts: A case study on issue discussions in three Android applications,Information and Software Technology
android_issue,"Security analysis of menstruation cycle tracking applications using static, dynamic and machine learning techniques",Journal of Information Security and Applications
android_issue,Analysis of Malicious Behavior of Android Apps,Procedia Computer Science
android_issue,A real-time application-based convolutional neural network approach for tomato leaf disease classification,Array
android_issue,CitySolution: A complaining task distributive mobile application for smart city corporation using deep learning,SoftwareX
android_issue,Android architecture: attacking the weak points,Network Security
android_issue,A Survey on HTTPS Implementation by Android Apps: Issues and Countermeasures,Applied Computing and Informatics
android_issue,Discovering communities of malapps on Android-based mobile cyber-physical systems,Ad Hoc Networks
android_issue,Leveraging adjusted user behavior in the detection and prevention of outgoing malicious SMSs in Android devices,Computers in Human Behavior
android_issue,A human-centered artificial intelligence approach for privacy protection of elderly App users in smart cities,Neurocomputing
android_issue,An empirical study of collaborative model and its security risk in Android,Journal of Systems and Software
android_issue,Rapid Android Parser for Investigating DEX files (RAPID),Digital Investigation
android_issue,Conceptual framework for the security of mobile health applications on Android platform,Telematics and Informatics
android_issue,Privacy-preserving malware detection in Android-based IoT devices through federated Markov chains,Future Generation Computer Systems
android_issue,Chapter Three: Effectiveness of state-of-the-art dynamic analysis techniques in identifying diverse Android malware and future enhancements,Advances in Computers
android_issue,An improved cohesive hierarchical clustering for indoor air quality monitoring in smart gymnasium with healthy sport areas,Alexandria Engineering Journal
android_issue,An automatic irrigation system using IOT devices,Materials Today: Proceedings
android_issue,Transfer Learning Approach for Malware Images Classification on Android Devices Using Deep Convolutional Neural Network,Procedia Computer Science
android_issue,Static analysis of android apps: A systematic literature review,Information and Software Technology
android_issue,"Saturday, June 24, 202312:00 PM - 1:00 PMPSOR01 Presentation Time: 12:00 PM: Prostate Brachy 2.0: Accessible & Immersive Virtual Reality Training Curriculum for Prostate Brachytherapy",Brachytherapy
android_issue,An integrated static detection and analysis framework for android,Pervasive and Mobile Computing
android_issue,On the effectiveness of system API-related information for Android ransomware detection,Computers & Security
android_issue,Securing android applications via edge assistant third-party library detection,Computers & Security
android_issue,Best current practices for OAuth/OIDC Native Apps: A study of their adoption in popular providers and top-ranked Android clients,Journal of Information Security and Applications
android_issue,Computational offloading mechanism for native and android runtime based mobile applications,Journal of Systems and Software
android_issue,Android/OSGi-based vehicular network management system,Computer Communications
android_issue,"Google attempts Android malware fix, but problems persist",Computer Fraud & Security
android_issue,"Security and privacy of mobile wallet users in Bitcoin, Dash, Monero, and Zcash",Pervasive and Mobile Computing
android_issue,RootAgency: A digital signature-based root privilege management agency for cloud terminal devices,Information Sciences
android_issue,Threats increase on mobile platforms – especially Android – as popularity grows,Network Security
android_issue,Scalable and robust unsupervised android malware fingerprinting using community-based network partitioning,Computers & Security
android_issue,Scalable and robust unsupervised Android malware fingerprinting using community-based network partitioning,Computers & Security
android_issue,"Chapter 1: Testing Android Mobile Applications: Challenges, Strategies, and Approaches",Advances in Computers
android_issue,Screening smartphone applications using malware family signatures,Computers & Security
android_issue,Smartphone-based colorimetric sensor application for measuring biochemical material concentration,Sensing and Bio-Sensing Research
android_issue,The effect of mobile application based genetic counseling on the psychosocial well-being of thalassemia patients and caregivers: A randomized controlled trial,Patient Education and Counseling
android_issue,A survey of malware detection using deep learning,Machine Learning with Applications
android_issue,A systematic review of google cardboard used in education,Computers & Education: X Reality
android_issue,Chapter 19: Android User Enabled Security: Passwords and Gesture,Seeking the Truth from Mobile Evidence
android_issue,"QuickETC2-HQ: Improved ETC2 encoding techniques for real-time, high-quality texture compression",Computers & Graphics
android_issue,Development of Android Application for Courier Monitoring System,Procedia Computer Science
android_issue,TinyVisor: An extensible secure framework on android platforms,Computers & Security
android_issue,QRFence: A flexible and scalable QR link security detection framework for Android devices,Future Generation Computer Systems
android_issue,Detecting Android malicious apps and categorizing benign apps with ensemble of classifiers,Future Generation Computer Systems
android_issue,Efficient and Secure IoT Based Smart Home Automation Using Multi-Model Learning and Blockchain Technology,CMES - Computer Modeling in Engineering and Sciences
android_issue,Development of Affordable and Powerful Swarm Mobile Robot Based on Smartphone Android and IOIO board,Procedia Computer Science
android_issue,Detection of malicious Android applications using Ontology-based intelligent model in mobile cloud environment,Journal of Information Security and Applications
android_issue,An intelligent garment for online fetal well-being monitoring,Expert Systems with Applications
android_issue,Client-based and Cross-layer Optimized Flow Mobility for Android Devices in Heterogeneous Femtocell/Wi-Fi Networks*,Procedia Computer Science
android_issue,An Android application for receiving notifications of astrophysical transient events,Astronomy and Computing
android_issue,Activity recognition with android phone using mixture-of-experts co-trained with labeled and unlabeled data,Neurocomputing
android_issue,Automatic testing of runtime enforcers with Test4Enforcers,Journal of Systems and Software
android_issue,Real-time machine learning-based approach for pothole detection,Expert Systems with Applications
android_issue,Towards the design of personalized adaptive user interfaces for smart TV viewers,Journal of King Saud University - Computer and Information Sciences
android_issue,Chapter 25: Security Management Systems,Computer and Information Security Handbook (Fourth Edition)
android_issue,The Application of Augmented Reality to Generate Realistic Interaction in the Property Sector,Procedia Computer Science
android_issue,The use of android smart phones as a tool for absences,Procedia Computer Science
android_issue,On the use of artificial malicious patterns for android malware detection,Computers & Security
android_issue,Forensic analysis of smart TV: A current issue and call to arms,Digital Investigation
android_issue,A signal pattern recognition approach for mobile devices and its application to braking state classification on robotic mobility devices,Robotics and Autonomous Systems
android_issue,Evaluation of the effectiveness of speed tables combined with other traffic calming measures and their community acceptance in Mauritius,Case Studies on Transport Policy
android_issue,Fast & Furious: On the modelling of malware detection as an evolving data stream,Expert Systems with Applications
android_issue,An empirical study of problems and evaluation of IoT malware classification label sources,Journal of King Saud University - Computer and Information Sciences
android_issue,An artificial neural network model of LRU-cache misses on out-of-order embedded processors,Microprocessors and Microsystems
android_issue,Automated Fetal Monitoring System,Procedia Engineering
android_issue,Smartphone sensor data as digital evidence,Computers & Security
android_issue,Handheld chemiresistive sensing system for lead ion detection in water,Journal of Water Process Engineering
android_issue,An integrated acoustic/LoRa system for transmission of multimedia sensor data over an Internet of Underwater Things,Computer Communications
android_issue,Mobile insecurities multiply,Network Security
android_issue,A Social IoT-based platform for the deployment of a smart parking solution,Computer Networks
android_issue,UFace: Your universal password that no one can see,Computers & Security
android_issue,IEEE802.11 Access Point's Service Set Identifier (SSID) for Localization and Tracking,"Computers, Materials and Continua"
android_issue,Investigation on parallel hybrid electric bicycle along with issuer management system for mountainous region,Journal of Cleaner Production
android_issue,Detecting Android Botnet Applications Using Convolution Neural Network,"Computers, Materials and Continua"
android_issue,Integrating an e-book Software with Vector Graphic Technology on Cloud Platform,Procedia - Social and Behavioral Sciences
android_issue,"MalDy: Portable, data-driven malware detection using natural language processing and machine learning techniques on behavioral analysis reports",Digital Investigation
android_issue,PUFPass: A password management mechanism based on software/hardware codesign,Integration
android_issue,Quantization Friendly MobileNet (QF-MobileNet) Architecture for Vision Based Applications on Embedded Platforms,Neural Networks
android_issue,Route Social Network,Procedia Technology
android_issue,A smartphone-based ASR data collection tool for under-resourced languages,Speech Communication
android_issue,Automatic accident detection with multi-modal alert system implementation for ITS,Vehicular Communications
android_issue,Theoretical and practical applications of blockchain in healthcare information management,Information & Management
android_issue,On-site colorimetric food spoilage monitoring with smartphone embedded machine learning,Talanta
