keyword,title,publication
android_latency,Android obesity could be associated with a higher fall risk than gynoid obesity following a standing-slip: A simulation-based biomechanical analysis,Journal of Biomechanics
android_latency,F2DC: Android malware classification based on raw traffic and neural networks,Computer Networks
android_latency,Understanding Research Trends in Android Malware Research Using Information Modelling Techniques,"Computers, Materials and Continua"
android_latency,Energy-efficient low-latency audio on android,Journal of Systems and Software
android_latency,Solution for Sound Playback Delay on Android Devices,Procedia Computer Science
android_latency,Android OS parameters measurement on S3C6410,IFAC-PapersOnLine
android_latency,Android Malware Detection using LSI-based Reduced Opcode Feature Vector,Procedia Computer Science
android_latency,Advanced forensic method to authenticate audio files from Tizen-based Samsung Galaxy Watches,Forensic Science International: Digital Investigation
android_latency,Applications IO profiling and analysis for smart devices,Journal of Systems Architecture
android_latency,My Latent Tuberculosis Treatment - mobile application to assist in adherence to latent tuberculosis treatment,Procedia Computer Science
android_latency,Machine learning-based smart wearable system for cardiac arrest monitoring using hybrid computing,Biomedical Signal Processing and Control
android_latency,"Peer-to-peer publication, search and retrieval using the Android mobile platform",Computer Networks
android_latency,Differentiating signal from artefacts in cosmic ray detection: Applying Siamese spiking neural networks to CREDO experimental data,Measurement
android_latency,Android Unikernel: Gearing mobile code offloading towards edge computing,Future Generation Computer Systems
android_latency,Connection-less BLE Performance Evaluation on Smartphones,Procedia Computer Science
android_latency,SocialSense: Mobile crowd sensing-based physical distance monitoring model leveraging federated learning for pandemic,Internet of Things
android_latency,Design and implementation for a UAV-based streaming media system,Ad Hoc Networks
android_latency,On the Characterization and Risk Assessment of AI-Powered Mobile Cloud Applications,Computer Standards & Interfaces
android_latency,User interface-level QoE analysis for Android application tuning,Pervasive and Mobile Computing
android_latency,ShaderNN: A lightweight and efficient inference engine for real-time applications on mobile GPUs,Neurocomputing
android_latency,The Moitree middleware for distributed mobile-cloud computing,Journal of Systems and Software
android_latency,AIOLOS: Middleware for improving mobile application performance through cyber foraging,Journal of Systems and Software
android_latency,CovertSYS: A systematic covert communication approach for providing secure end-to-end conversation via social networks,Journal of Information Security and Applications
android_latency,MVC app: A smartphone application for performing chemometric methods,Chemometrics and Intelligent Laboratory Systems
android_latency,CollaboRoid: Mobile platform support for collaborative applications,Pervasive and Mobile Computing
android_latency,A point-of-need enzyme linked aptamer assay for Mycobacterium tuberculosis detection using a smartphone,Sensors and Actuators B: Chemical
android_latency,Mobile collaborative computing on the fly,Pervasive and Mobile Computing
android_latency,Neural architecture search for real-time quality assessment of wearable multi-lead ECG on mobile devices,Biomedical Signal Processing and Control
android_latency,"A rapid field detection system for citrus huanglongbing associated ‘Candidatus Liberibacter asiaticus’ from the psyllid vector, Diaphorina citri Kuwayama and its implications in disease management",Crop Protection
android_latency,CroudSTag: Social Group Formation with Facial Recognition and Mobile Cloud Services,Procedia Computer Science
android_latency,Crowd-Cache: Leveraging on spatio-temporal correlation in content popularity for mobile networking in proximity,Computer Communications
android_latency,Mobile phone-based evaluation of latent tuberculosis infection: Proof of concept for an integrated image capture and analysis system,Computers in Biology and Medicine
android_latency,A path model of sarcopenia on bone mass loss in elderly subjects,"The Journal of nutrition, health and aging"
android_latency,Adaptive deployment and configuration for mobile augmented reality in the cloudlet,Journal of Network and Computer Applications
android_latency,Towards PWA in Healthcare,Procedia Computer Science
android_latency,Lascad : Language-agnostic software categorization and similar application detection,Journal of Systems and Software
android_latency,"An analysis of architecture, framework, security and challenging aspects for data aggregation and routing techniques in IoT WSNs",Theoretical Computer Science
android_latency,A novel gateway-based solution for remote elderly monitoring,Journal of Biomedical Informatics
