keyword,title,publication
android_performance,A Lightweight malware detection technique based on hybrid fuzzy simulated annealing clustering in Android apps,Egyptian Informatics Journal
android_performance,Machine learning approach to detect android malware using feature-selection based on feature importance score,Journal of Engineering Research
android_performance,An Attention-Based Approach to Enhance the Detection and Classification of Android Malware,"Computers, Materials and Continua"
android_performance,Leveraging application permissions and network traffic attributes for Android ransomware detection,Journal of Network and Computer Applications
android_performance,PHIGrader: Evaluating the effectiveness of Manifest file components in Android malware detection using Multi Criteria Decision Making techniques,Journal of Network and Computer Applications
android_performance,DCM-GIFT: An Android malware dynamic classification method based on gray-scale image and feature-selection tree,Information and Software Technology
android_performance,A lightweight deep learning-based android malware detection framework,Expert Systems with Applications
android_performance,Bioinspired artificial intelligence based android malware detection and classification for cybersecurity applications,Alexandria Engineering Journal
android_performance,GMADV: An android malware variant generation and classification adversarial training framework,Journal of Information Security and Applications
android_performance,A hybrid approach for Android malware detection using improved multi-scale convolutional neural networks and residual networks,Expert Systems with Applications
android_performance,Unveiling vulnerabilities in deep learning-based malware detection: Differential privacy driven adversarial attacks,Computers & Security
android_performance,The revolution and vision of explainable AI for Android malware detection and protection,Internet of Things
android_performance,FAMCF: A few-shot Android malware family classification framework,Computers & Security
android_performance,A systematic literature review on Android-specific smells,Journal of Systems and Software
android_performance,MADRAS-NET: A deep learning approach for detecting and classifying android malware using Linknet,Measurement: Sensors
android_performance,Machine Learning for Android Malware Detection: Mission Accomplished? A Comprehensive Review of Open Challenges and Future Perspectives,Computers & Security
android_performance,Efficient android malware identification with limited training data utilizing multiple convolution neural network techniques,Engineering Applications of Artificial Intelligence
android_performance,Strengthening LLM ecosystem security: Preventing mobile malware from manipulating LLM-based applications,Information Sciences
android_performance,Outsmarting Android Malware with Cutting-Edge Feature Engineering and Machine Learning Techniques,"Computers, Materials and Continua"
android_performance,GenDroid: A query-efficient black-box android adversarial attack framework,Computers & Security
android_performance,Efficient concept drift handling for batch android malware detection models,Pervasive and Mobile Computing
android_performance,SynDroid: An adaptive enhanced Android malware classification method based on CTGAN-SVM,Computers & Security
android_performance,DL-AMDet: Deep learning-based malware detector for android,Intelligent Systems with Applications
android_performance,LSTM-based Approach for Android Malware Detection,Procedia Computer Science
