keyword,title,publication
android_resource,A lightweight deep learning-based android malware detection framework,Expert Systems with Applications
android_resource,AI-powered malware detection with Differential Privacy for zero trust security in Internet of Things networks,Ad Hoc Networks
android_resource,Application of IoT Android voice assistant based on sensor networks in higher education network mode,Measurement: Sensors
android_resource,XLMR4MD: New Vietnamese dataset and framework for detecting the consistency of description and permission in Android applications using large language models,Computers & Security
android_resource,DCM-GIFT: An Android malware dynamic classification method based on gray-scale image and feature-selection tree,Information and Software Technology
android_resource,MDADroid: A novel malware detection method by constructing functionality-API mapping,Computers & Security
android_resource,Securing Android IoT devices with GuardDroid transparent and lightweight malware detection,Ain Shams Engineering Journal
android_resource,Outsmarting Android Malware with Cutting-Edge Feature Engineering and Machine Learning Techniques,"Computers, Materials and Continua"
android_resource,Automated repair of resource leaks in Android applications,Journal of Systems and Software
android_resource,Design and implementation of a mobile medical and continuing care system based on wireless sensor networks,Measurement: Sensors
android_resource,How resource utilization influences UI responsiveness of Android software,Information and Software Technology
android_resource,Efficient android malware identification with limited training data utilizing multiple convolution neural network techniques,Engineering Applications of Artificial Intelligence
android_resource,A review of deep learning models to detect malware in Android applications,Cyber Security and Applications
android_resource,Android malware detection and identification frameworks by leveraging the machine and deep learning techniques: A comprehensive review,Telematics and Informatics Reports
android_resource,Towards automated Android app internationalisation: An exploratory study,Journal of Systems and Software
android_resource,"Smart agriculture technology: An integrated framework of renewable energy resources, IoT-based energy management, and precision robotics",Cleaner Energy Systems
android_resource,ProDroid — An Android malware detection framework based on profile hidden Markov model,Pervasive and Mobile Computing
android_resource,Taxonomy of security weaknesses in Java and Kotlin Android apps,Journal of Systems and Software
android_resource,Achieving resource-centric access control for web-app interactions on android,High-Confidence Computing
android_resource,A method of multidimensional software aging prediction based on ensemble learning: A case of Android OS,Information and Software Technology
android_resource,EfficientNet convolutional neural networks-based Android malware detection,Computers & Security
android_resource,Android botnet detection using machine learning models based on a comprehensive static analysis approach,Journal of Information Security and Applications
android_resource,A new adversarial malware detection method based on enhanced lightweight neural network,Computers & Security
android_resource,Permission-based Android malware analysis by using dimension reduction with PCA and LDA,Journal of Information Security and Applications
android_resource,"MobiPCR: Efficient, accurate, and strict ML-based mobile malware detection",Future Generation Computer Systems
android_resource,A Large Scale Analysis of Android — Web Hybridization,Journal of Systems and Software
android_resource,A comprehensive dental dataset of six classes for deep learning based object detection study,Data in Brief
android_resource,Covertvasion: Depicting threats through covert channels based novel evasive attacks in android,International Journal of Intelligent Networks
android_resource,RoppDroid: Robust permission re-delegation prevention in Android inter-component communication,Computers & Security
android_resource,Design and implementation of the WIPI-to-Android automatic mobile game converter for the contents compatibility in the heterogeneous mobile OS,Journal of Systems Architecture
android_resource,CLAID: Closing the Loop on AI & Data Collection — A cross-platform transparent computing middleware framework for smart edge-cloud and digital biomarker applications,Future Generation Computer Systems
android_resource,Detecting COVID-19 from chest computed tomography scans using AI-driven android application,Computers in Biology and Medicine
android_resource,Time series forecast modeling of vulnerabilities in the android operating system using ARIMA and deep learning methods,Sustainable Computing: Informatics and Systems
android_resource,End-to-end malware detection for android IoT devices using deep learning,Ad Hoc Networks
android_resource,Dypermin: Dynamic permission mining framework for android platform,Computers & Security
android_resource,A comparative study on HIPAA technical safeguards assessment of android mHealth applications,Smart Health
android_resource,"Impact of mobile cross-platform development on CPU, memory and battery of mobile devices when using common mobile app features",Procedia Computer Science
android_resource,“Less Give More”: Evaluate and zoning Android applications,Measurement
android_resource,Variable-strength combinatorial testing of exported activities based on misexposure prediction,Journal of Systems and Software
android_resource,AATT+: Effectively manifesting concurrency bugs in Android apps,Science of Computer Programming
android_resource,Springbok: An App deployment accelerator for Android smart devices,Computers & Electrical Engineering
android_resource,Comparison Analysis of Android GUI Testing Frameworks by Using an Experimental Study,Procedia Computer Science
android_resource,Permission based Android security: Issues and countermeasures,Computers & Security
android_resource,An efficient combined deep neural network based malware detection framework in 5G environment,Computer Networks
android_resource,A Survey on HTTPS Implementation by Android Apps: Issues and Countermeasures,Applied Computing and Informatics
android_resource,Measuring power consumption in mobile devices for energy sustainable app development: A comparative study and challenges,Sustainable Computing: Informatics and Systems
android_resource,SMART GROW – Low-cost automated hydroponic system for urban farming,HardwareX
android_resource,DroidInjector: A process injection-based dynamic tracking system for runtime behaviors of Android applications,Computers & Security
android_resource,DelDroid: An automated approach for determination and enforcement of least-privilege architecture in android,Journal of Systems and Software
android_resource,Toward a more dependable hybrid analysis of android malware using aspect-oriented programming,Computers & Security
android_resource,Machine learning-based smart wearable system for cardiac arrest monitoring using hybrid computing,Biomedical Signal Processing and Control
android_resource,"Peer-to-peer publication, search and retrieval using the Android mobile platform",Computer Networks
android_resource,Personal information leakage detection method using the inference-based access control model on the Android platform,Pervasive and Mobile Computing
android_resource,CoDRA: Context-based dynamically reconfigurable access control system for android,Journal of Network and Computer Applications
android_resource,API recommendation for the development of Android App features based on the knowledge mined from App stores,Science of Computer Programming
android_resource,AgriWealth: IoT based farming system,Microprocessors and Microsystems
android_resource,A platform for automating battery-driven batch benchmarking and profiling of Android-based mobile devices,Simulation Modelling Practice and Theory
android_resource,CitySolution: A complaining task distributive mobile application for smart city corporation using deep learning,SoftwareX
android_resource,Android resource usage risk assessment using hidden Markov model and online learning,Computers & Security
android_resource,A privacy enforcing framework for Android applications,Computers & Security
android_resource,Chapter 11: Running neural networks in Android,Introduction to Deep Learning and Neural Networks with Python™
android_resource,Supporting parents with acutely ill children: Environment scan and user evaluation of mobile applications (the SuPa kids project),International Journal of Medical Informatics
android_resource,"Kynoid: Real-time enforcement of fine-grained, user-defined, and data-centric security policies for Android",Information Security Technical Report
android_resource,Android-GAN: Defending against android pattern attacks using multi-modal generative network as anomaly detector,Expert Systems with Applications
android_resource,Studying users’ adaptation to Android’s run-time fine-grained access control system,Journal of Information Security and Applications
android_resource,Computational offloading mechanism for native and android runtime based mobile applications,Journal of Systems and Software
android_resource,AndrODet: An adaptive Android obfuscation detector,Future Generation Computer Systems
android_resource,An empirical study of collaborative model and its security risk in Android,Journal of Systems and Software
android_resource,Chapter 25: Security Management Systems,Computer and Information Security Handbook (Fourth Edition)
android_resource,CNN-Transformer hybrid network for concrete dam crack patrol inspection,Automation in Construction
android_resource,An automatic irrigation system using IOT devices,Materials Today: Proceedings
android_resource,ANDROID: An Inter-disciplinary Academic Network that Promotes Co-operation and Innovation among European Higher Education to Increase Society's Resilience to Disasters,Procedia Economics and Finance
android_resource,Facilitating the development of cross-platform software via automated code synthesis from web-based programming resources,"Computer Languages, Systems & Structures"
android_resource,A mobile malware detection method using behavior features in network traffic,Journal of Network and Computer Applications
android_resource,pH-indicator based on delignified jute fiber and red cabbage anthocyanins for monitoring fish spoilage using a smartphone application,Microchemical Journal
android_resource,Review of interactive digital solutions improving health literacy of personal cancer risks in the general public,International Journal of Medical Informatics
android_resource,eDakterBari: A human-centered solution enabling online medical consultation and information dissemination for resource-constrained communities in Bangladesh,Heliyon
android_resource,Use of Innovative Technology in Surgical Training in Resource-Limited Settings: A Scoping Review,Journal of Surgical Education
android_resource,State-taint analysis for detecting resource bugs,Science of Computer Programming
android_resource,Parallelisation of an interactive lattice-Boltzmann method on an Android-powered mobile device,Advances in Engineering Software
android_resource,"Saturday, June 24, 202312:00 PM - 1:00 PMPSOR01 Presentation Time: 12:00 PM: Prostate Brachy 2.0: Accessible & Immersive Virtual Reality Training Curriculum for Prostate Brachytherapy",Brachytherapy
android_resource,Android/OSGi-based vehicular network management system,Computer Communications
android_resource,Homomorphic federated learning schemes enabled pedestrian and vehicle detection system,Internet of Things
android_resource,Application of Acupuncture Acupoint Visual Teaching System by Neural Regulation,World Neurosurgery
android_resource,Mining permission patterns for contrasting clean and malicious android applications,Future Generation Computer Systems
android_resource,A Permission verification approach for android mobile applications,Computers & Security
android_resource,"Booting, browsing and streaming time profiling, and bottleneck analysis on android-based systems",Journal of Network and Computer Applications
android_resource,An efficient cloud-integrated distributed deep neural network framework for IoT malware classification,Future Generation Computer Systems
android_resource,Quantization Friendly MobileNet (QF-MobileNet) Architecture for Vision Based Applications on Embedded Platforms,Neural Networks
android_resource,The Moitree middleware for distributed mobile-cloud computing,Journal of Systems and Software
android_resource,Dynamic privacy leakage analysis of Android third-party libraries,Journal of Information Security and Applications
android_resource,Smartphone applications: A contemporary resource for dermatopathology,Journal of Pathology Informatics
