keyword,title,publication
android_response,Efficient android malware identification with limited training data utilizing multiple convolution neural network techniques,Engineering Applications of Artificial Intelligence
android_response,Post-mortem digital forensic analysis of the Garmin Connect application for Android,Forensic Science International: Digital Investigation
android_response,KRTunnel: DNS channel detector for mobile devices,Computers & Security
android_response,"Smart solutions for capsicum Harvesting: Unleashing the power of YOLO for Detection, Segmentation, growth stage Classification, Counting, and real-time mobile identification",Computers and Electronics in Agriculture
android_response,A hybrid intelligent approach to detect Android Botnet using Smart Self-Adaptive Learning-based PSO-SVM,Knowledge-Based Systems
android_response,5: Android GNSS seismogeodesy,GNSS Seismogeodesy
android_response,Optimal tuning of PID controllers with derivative filter for stable processes using three points from the step response,ISA Transactions
android_response,VARSE: Android app for real-time acquisition and analysis of heart rate signals,International Journal of Medical Informatics
android_response,Smart sweat glucose detection system based on organic electrochemical transistor and near field communication,Chinese Journal of Analytical Chemistry
android_response,An unmanned rice seeder with WiFi based mobile-control system for drudgery reduction,Smart Agricultural Technology
android_response,Android Application for Eye Lens Dose Hp3 Estimator Base on Personal Dose Hp10 TLD Harshaw for Radiation Workers in Diagnostic and Interventional Radiology,Journal of Medical Imaging and Radiation Sciences
android_response,Plasma mitochondrial derived peptides MOTS-c and SHLP2 positively associate with android and liver fat in people without diabetes,Biochimica et Biophysica Acta (BBA) - General Subjects
android_response,Machine learning-based smart wearable system for cardiac arrest monitoring using hybrid computing,Biomedical Signal Processing and Control
android_response,Verbal Augmented Reality Journaling App: Retention,Archives of Physical Medicine and Rehabilitation
android_response,Android fine-grained permission control system with real-time expert recommendations,Pervasive and Mobile Computing
android_response,Smartphone-powered portable chemiresistive sensing system for label free detection of lead ions in water,Microchemical Journal
android_response,A new method for experimental tuning of PI controllers based on the step response,ISA Transactions
android_response,Security Awareness and Forensic Investigation of Junior Zenbo Robot,Procedia Computer Science
android_response,Sharing runtime permission issues for developers based on similar-app review mining,Journal of Systems and Software
android_response,Effects of lateral head tilt on user perceptions of humanoid and android robots,Computers in Human Behavior
android_response,Design and prototyping of a robotic hand for sign language using locally-sourced materials,Scientific African
android_response,AndroidOff:Offloading android application based on cost estimation,Journal of Systems and Software
android_response,Appropriability risk and knowledge search on digital platforms,Research Policy
android_response,Efficient android electronic nose design for recognition and perception of fruit odors using Kernel Extreme Learning Machines,Chemometrics and Intelligent Laboratory Systems
android_response,AgroDecisor EFC: First Android™ app decision support tool for timing fungicide applications for management of late-season soybean diseases,Computers and Electronics in Agriculture
