keyword,title,publication
android_storage,Smart Building Control: An Android Application for Enhanced Monitoring and Management in the Internet of Things Era,Procedia Computer Science
android_storage,CloudIntellMal: An advanced cloud based intelligent malware detection framework to analyze android applications,Computers and Electrical Engineering
android_storage,A Systematic Literature Review on Digital Forensic Investigation on Android Devices,Procedia Computer Science
android_storage,REC CONNECT: A Comprehensive Android File Transfer Application,Procedia Computer Science
android_storage,Android Password Managers and Vault Applications: Data Storage Security Issues Identification,Journal of Information Security and Applications
android_storage,"Smart agriculture technology: An integrated framework of renewable energy resources, IoT-based energy management, and precision robotics",Cleaner Energy Systems
android_storage,Android data storage security: A review,Journal of King Saud University - Computer and Information Sciences
android_storage,Applications IO profiling and analysis for smart devices,Journal of Systems Architecture
android_storage,EfficientNet convolutional neural networks-based Android malware detection,Computers & Security
android_storage,Linux page fault analysis in android systems,Microprocessors and Microsystems
android_storage,Android malware detection through machine learning on kernel task structures,Neurocomputing
android_storage,Management information platform based on Internet of Things,Measurement: Sensors
android_storage,Physical activity forecasting with time series data using Android smartphone,Pervasive and Mobile Computing
android_storage,The development of SHS-SWTHS designing software based on windows and android mobile device platforms,Renewable Energy
android_storage,SpeechToText: An open-source software for automatic detection and transcription of voice recordings in digital forensics,Forensic Science International: Digital Investigation
android_storage,Digital forensic investigation of cloud storage services,Digital Investigation
android_storage,Android/OSGi-based vehicular network management system,Computer Communications
android_storage,Improving mobile device security with operating system-level virtualization,Computers & Security
android_storage,Automated forensic analysis of mobile applications on Android devices,Digital Investigation
android_storage,Factorizing 2FA: Forensic analysis of two-factor authentication applications,Forensic Science International: Digital Investigation
android_storage,The Android Forensics Automator (AnForA): A tool for the Automated Forensic Analysis of Android Applications,Computers & Security
android_storage,"System of Acquisition, Transmission, Storage and Visualization of Pulse Oximeter and ECG Data Using Android and MQTT",Procedia Technology
android_storage,Android based malware detection using a multifeature collaborative decision fusion approach,Neurocomputing
android_storage,Chapter 4: Android file systems and data structures,Android Forensics
android_storage,GSDroid: Graph Signal Based Compact Feature Representation for Android Malware Detection,Expert Systems with Applications
android_storage,Challenges and opportunities for wearable IoT forensics: TomTom Spark 3 as a case study,Forensic Science International: Reports
android_storage,Introducing a general-purpose augmented reality platform for the use in engineering education,Advances in Industrial and Manufacturing Engineering
