keyword,title,publication
mobile_battery,Applications – Portable Applications | Military: Batteries and Fuel Cells,Encyclopedia of Electrochemical Power Sources (Second Edition)
mobile_battery,Quantifying the decarbonization potential of mobile heat battery in low-temperature district heating,Sustainable Cities and Society
mobile_battery,Collaborative optimization of logistics and electricity for the mobile charging service system,Applied Energy
mobile_battery,Resilience of hydrogen fuel station-integrated power systems with high penetration of photovoltaics,Journal of Energy Storage
mobile_battery,Thermal design of a system for mobile hydrogen powersupply,Applied Thermal Engineering
mobile_battery,Strategic operation of electric vehicle in residential microgrid with vehicle-to-home features,Energy
mobile_battery,Maximising mobile user experience through self-adaptive content- and ambient-aware display brightness scaling,Journal of Systems Architecture
mobile_battery,Joint wireless energy transmission and dynamic power management for full-duplex relay system,Energy
mobile_battery,Battery Types – Sodium Batteries – High-Temperature Sodium Batteries | Safety,Encyclopedia of Electrochemical Power Sources (Second Edition)
mobile_battery,Effect of polypyrrole-derived N-doped carbon coating on the sodium storage properties of NiCo2S4 synthesized by recycling discarded mobile phone batteries,Ceramics International
mobile_battery,Multi-scenario design of ammonia-based energy storage systems for use as non-wires alternatives,Journal of Energy Storage
mobile_battery,Reinforcement learning for radio resource management of hybrid energy cellular networks with battery constraints,Computer Communications
mobile_battery,Energy conserving cost selection for fine-grained computational offloading in mobile edge computing networks,Computer Communications
mobile_battery,Improving productivity of a battery powered electric wheel loader with electric-hydraulic hybrid drive solution,Journal of Cleaner Production
mobile_battery,How to choose mobile energy storage or fixed energy storage in high proportion renewable energy scenarios: Evidence in China,Applied Energy
mobile_battery,"Joint operation of mobile battery, power system, and transportation system for improving the renewable energy penetration rate",Applied Energy
mobile_battery,A coreless track-type seamless wireless charging system using co-planar wires enabling quasi-free planar movements for mobile logistics robots,Applied Energy
mobile_battery,Trustworthy retrieval system in mobile P2P wireless network,Ad Hoc Networks
mobile_battery,The time-dependent electric vehicle routing problem with drone and synchronized mobile battery swapping,Advanced Engineering Informatics
mobile_battery,Energy Management System for a Smart Green Nanogrid feeding a Research Laboratory with Autonomous Mobile Robots,IFAC-PapersOnLine
mobile_battery,Assessment of the complete chain evolution process of LIBs from micro internal short circuit failure to thermal runaway under mechanical abuse conditions,Process Safety and Environmental Protection
mobile_battery,Hybrid energy storage system and management strategy for motor drive with high torque overload,Journal of Energy Storage
mobile_battery,Lithium-ion battery utilization in various modes of e-transportation,eTransportation
mobile_battery,Resilience of active networks with optimal mobile energy storage systems management,Electric Power Systems Research
