keyword,title,publication
mobile_cpu,Inference latency prediction for CNNs on heterogeneous mobile devices and ML frameworks,Performance Evaluation
mobile_cpu,Secure workflow scheduling algorithm utilizing hybrid optimization in mobile edge computing environments,Computer Communications
mobile_cpu,Optimizing vision transformers for CPU platforms via human-machine collaborative design,Knowledge-Based Systems
mobile_cpu,Energy-efficient task scheduling for mobile edge computing with virtual machine I/O interference,Future Generation Computer Systems
mobile_cpu,Hybrid path planning based on adaptive visibility graph initialization and edge computing for mobile robots,Engineering Applications of Artificial Intelligence
mobile_cpu,OCL-MEC: An online CPU-core prediction based on load balancing framework for offloading resource management in mobile edge computing environment,Measurement: Sensors
mobile_cpu,"UAV-mounted IRS assisted wireless powered mobile edge computing systems: Joint beamforming design, resource allocation and position optimization",Computer Networks
mobile_cpu,A deep learning-based mobile application for tree species mapping in RGB images,International Journal of Applied Earth Observation and Geoinformation
mobile_cpu,Cooperative computation offloading and resource allocation for delay minimization in mobile edge computing,Journal of Systems Architecture
mobile_cpu,Dynamic computation scheduling for hybrid energy mobile edge computing networks,Journal of Systems Architecture
mobile_cpu,Next generation edge computing: A roadmap to net zero emissions,Journal of Economy and Technology
mobile_cpu,A collaborative CPU–GPU approach for principal component analysis on mobile heterogeneous platforms,Journal of Parallel and Distributed Computing
mobile_cpu,Secure mobile internet voting system using biometric authentication and wavelet based AES,Journal of Information Security and Applications
mobile_cpu,Mildip: An energy efficient code offloading framework in mobile cloudlets,Information Sciences
mobile_cpu,An online energy-saving offloading algorithm in mobile edge computing with Lyapunov optimization,Ad Hoc Networks
mobile_cpu,A Siamese Network for real-time object tracking on CPU,Software Impacts
mobile_cpu,Computation bits enhancement for IRS-assisted multi-UAV wireless powered mobile edge computing systems,Vehicular Communications
mobile_cpu,Multi-agent reinforcement learning based computation offloading and resource allocation for LEO Satellite edge computing networks,Computer Communications
mobile_cpu,Evaluation of gem5 for performance modeling of ARM Cortex-R based embedded SoCs,Microprocessors and Microsystems
mobile_cpu,"Joint resource allocation, user clustering and 3-D location optimization in multi-UAV-enabled mobile edge computing",Computer Networks
mobile_cpu,A lightweight convolutional neural network for automated crack inspection,Construction and Building Materials
mobile_cpu,"A scalable simulator for cloud, fog and edge computing platforms with mobility support",Future Generation Computer Systems
mobile_cpu,Deep learning based prediction of traffic peaks in mobile networks,Computer Networks
mobile_cpu,ShaderNN: A lightweight and efficient inference engine for real-time applications on mobile GPUs,Neurocomputing
mobile_cpu,Energy-efficiency optimization for heterogeneous computing-assisted NOMA-MEC edge AI tasks,Future Generation Computer Systems
mobile_cpu,Chapter 2: Multicore and data-level optimization: OpenMP and SIMD,Embedded Systems (Second Edition)
mobile_cpu,Evaluating the Performance of 5G NR in Indoor Environments: An Experimental Study,Procedia Computer Science
mobile_cpu,Matrix Hop Mobile Agent (MHMA) System for E-Service Applications,Procedia Engineering
mobile_cpu,A flexible heterogeneous real-time digital image correlation system,Optics and Lasers in Engineering
mobile_cpu,Physical fault injection and side-channel attacks on mobile devices: A comprehensive analysis,Computers & Security
mobile_cpu,HB-ReTriple: Mobile rendering optimization based on efficient history reusing,Journal of Systems Architecture
mobile_cpu,Towards detection of juice filming charging attacks via supervised CPU usage analysis on smartphones,Computers & Electrical Engineering
mobile_cpu,Online computation offloading with double reinforcement learning algorithm in mobile edge computing,Journal of Parallel and Distributed Computing
mobile_cpu,"Impact of mobile cross-platform development on CPU, memory and battery of mobile devices when using common mobile app features",Procedia Computer Science
mobile_cpu,Failure mechanism and reliability test method for USB interface circuitry on CPUs for mobile devices,Microelectronics Reliability
mobile_cpu,Geometrical and statistical incremental semantic modeling on mobile devices,Computers & Graphics
mobile_cpu,EdgeBus: Co-Simulation based resource management for heterogeneous mobile edge computing environments,Internet of Things
mobile_cpu,Recycling of printed circuit boards by abrasive waterjet cutting,Process Safety and Environmental Protection
mobile_cpu,Mining method of massive data of mobile library under information asymmetry facing large-scare database,Microprocessors and Microsystems
mobile_cpu,Performance evaluation of 2D LiDAR SLAM algorithms in simulated orchard environments,Computers and Electronics in Agriculture
mobile_cpu,The state of the art in measurement-based experiments on the mobile web,Information and Software Technology
mobile_cpu,Resource Load Prediction of Internet of Vehicles Mobile Cloud Computing,"Computers, Materials and Continua"
mobile_cpu,Enhancing security offloading performance in NOMA heterogeneous MEC networks using access point selection and meta-heuristic algorithm,Computer Networks
mobile_cpu,A middleware framework for application-aware and user-specific energy optimization in smart mobile devices,Pervasive and Mobile Computing
mobile_cpu,Computation rate maximization for IRS-enhanced dynamic spectrum access assisted MEC system,Physical Communication
mobile_cpu,Take the aTrain. Introducing an interface for the Accessible Transcription of Interviews,Journal of Behavioral and Experimental Finance
mobile_cpu,Use of Smartphones for Hypoglycaemia Prediction - A Feasibility Study,Procedia Computer Science
mobile_cpu,Lightweight tomato real-time detection method based on improved YOLO and mobile deployment,Computers and Electronics in Agriculture
mobile_cpu,Partitioning Application Using Graph Theory for Mobile Devices in Pervasive Computing Environments,Procedia Computer Science
mobile_cpu,Stochastic resource scheduling via bilayer dynamic Markov decision process in mobile cloud networks,Computer Communications
mobile_cpu,Chapter 21: Power management of mobile GPUs,Advances in GPU Research and Practice
mobile_cpu,High-performance flow classification using hybrid clusters in software defined mobile edge computing,Computer Communications
mobile_cpu,Covalent-assisted construction of “scale-like” boron nitride/polyimide thermal interface materials with high thermal conductivity,Composites Communications
mobile_cpu,Mobile device power models for energy efficient dynamic offloading at runtime,Journal of Systems and Software
mobile_cpu,Autonomous power management in mobile devices using dynamic frequency scaling and reinforcement learning for energy minimization,Microprocessors and Microsystems
mobile_cpu,SPsync: Lightweight multi-terminal big spatiotemporal data synchronization solution,Future Generation Computer Systems
mobile_cpu,Computational rate maximization for SWIPT-based mobile edge computing with alternative optimization algorithm,Internet of Things
mobile_cpu,Battery-aware centralized schedulers for CPU-bound jobs in mobile Grids,Pervasive and Mobile Computing
mobile_cpu,Order picking optimization in a robotic mobile fulfillment system,Expert Systems with Applications
mobile_cpu,Resource Usage Analysis of a Mobile Banking Application using Sensor-and-Touchscreen-Based Continuous Authentication,Procedia Computer Science
mobile_cpu,Chapter 6: Dual phase high efficiency mobile CPU power supply minimizes size and thermal stress,Analog Circuit Design
mobile_cpu,Improving energy efficiency of mobile devices by characterizing and exploring user behaviors,Journal of Systems Architecture
mobile_cpu,End to end navigation stack for nuclear power plant inspection with mobile robot,SoftwareX
mobile_cpu,A platform for automating battery-driven batch benchmarking and profiling of Android-based mobile devices,Simulation Modelling Practice and Theory
mobile_cpu,A dynamic resource management in mobile agent by artificial neural network,Journal of Network and Computer Applications
mobile_cpu,Optimized task scheduling for cost-latency trade-off in mobile fog computing using fuzzy analytical hierarchy process,Computer Networks
mobile_cpu,AVX-TSCHA: Leaking information through AVX extensions in commercial processors,Computers & Security
mobile_cpu,Lightweight anchor-free one-level feature indoor personnel detection method based on transformer,Engineering Applications of Artificial Intelligence
mobile_cpu,"Intrusion detection for mobile devices using the knowledge-based, temporal abstraction method",Journal of Systems and Software
mobile_cpu,"Chapter 92: A low cost, efficient mobile CPU power",Analog Circuit Design
mobile_cpu,Distributed cooperative computation offloading in multi-access edge computing fiber–wireless networks,Optics Communications
mobile_cpu,A cooperative MEC framework based on multi-UAV and AP to minimize weighted energy consumption,Pervasive and Mobile Computing
mobile_cpu,Progressive ray casting for volumetric models on mobile devices,Computers & Graphics
mobile_cpu,Generative Adversarial Super-Resolution at the edge with knowledge distillation,Engineering Applications of Artificial Intelligence
mobile_cpu,Removing epoxy underfill between neighbouring components using acid for component chip-off,Digital Investigation
mobile_cpu,Interactive flow simulation using Tegra-powered mobile devices,Advances in Engineering Software
mobile_cpu,JFCGuard: Detecting juice filming charging attack via processor usage analysis on smartphones,Computers & Security
mobile_cpu,Analysis of multi cloud storage applications for resource constrained mobile devices,Perspectives in Science
mobile_cpu,A Lightweight Security Protocol for NFC-based Mobile Payments,Procedia Computer Science
mobile_cpu,Study on malicious node detection,Materials Today: Proceedings
mobile_cpu,SimEdgeIntel: A open-source simulation platform for resource management in edge intelligence,Journal of Systems Architecture
mobile_cpu,Stochastic computation resource allocation for mobile edge computing powered by wireless energy transfer,Ad Hoc Networks
mobile_cpu,Security and Energy-aware Collaborative Task Offloading in D2D communication,Future Generation Computer Systems
mobile_cpu,Joint scene and object tracking for cost-Effective augmented reality guided patient positioning in radiation therapy,Computer Methods and Programs in Biomedicine
mobile_cpu,UCM-Net: A lightweight and efficient solution for skin lesion segmentation using MLP and CNN,Biomedical Signal Processing and Control
mobile_cpu,Rice grains and grain impurity segmentation method based on a deep learning algorithm-NAM-EfficientNetv2,Computers and Electronics in Agriculture
mobile_cpu,Visual predictive control for differential drive robots with parallel implementation on GPU,Computers and Electrical Engineering
mobile_cpu,Exploiting the untapped potential of mobile distributed computing via approximation,Pervasive and Mobile Computing
mobile_cpu,Generic Context Adaptation for Mobile Cloud Computing Environments,Procedia Computer Science
mobile_cpu,A generic energy optimization framework for heterogeneous platforms using scaling models,Microprocessors and Microsystems
mobile_cpu,ENOrMOUS: ENergy Optimization for MObile plateform using User needS,Journal of Systems Architecture
mobile_cpu,A flexible algorithm to offload DAG applications for edge computing,Journal of Network and Computer Applications
mobile_cpu,Chapter 3: The ARM Microcontrollers,ARM-Based microcontroller projects using MBED
mobile_cpu,"Chapter 12: Efficient, compact 2-phase power supply delivers 40A to Intel mobile CPUs",Analog Circuit Design
mobile_cpu,Controlling energy without compromising system performance in mobile grid environments,Computers & Electrical Engineering
mobile_cpu,Systematic evaluation methodology for cell phone user interfaces,Interacting with Computers
mobile_cpu,Fully integer-based quantization for mobile convolutional neural network inference,Neurocomputing
mobile_cpu,Model Predictive Control for Autonomous Navigation Using Embedded Graphics Processing Unit,IFAC-PapersOnLine
mobile_cpu,Radio and computing resource allocation with energy harvesting devices in mobile edge computing environment,Computer Communications
mobile_cpu,Cost-aware automatic scaling and workload-aware replica management for edge-cloud environment,Journal of Network and Computer Applications
mobile_cpu,Forensic smartphone analysis using adhesives: Transplantation of Package on Package components,Digital Investigation
mobile_cpu,Real-time person orientation estimation and tracking using colored point clouds,Robotics and Autonomous Systems
mobile_cpu,Location and routing of armed Unmanned Aerial Vehicles and carrier platforms against mobile targets,Computers & Operations Research
mobile_cpu,How does the traffic behavior change by using SUMO traffic generation tools,Computer Communications
mobile_cpu,Energy efficient computation offloading for nonorthogonal multiple access assisted mobile edge computing with energy harvesting devices,Computer Networks
mobile_cpu,Server implementations for improving the performance of CAR systems based on mobile phones,Journal of Network and Computer Applications
mobile_cpu,ALICE Connex: A volunteer computing platform for the Time-Of-Flight calibration of the ALICE experiment. An opportunistic use of CPU cycles on Android devices,Future Generation Computer Systems
mobile_cpu,Performance evaluation of decision making under uncertainty for low power heterogeneous platforms,Journal of Parallel and Distributed Computing
mobile_cpu,Design and evaluation of mobile offloading system for web-centric devices,Journal of Network and Computer Applications
mobile_cpu,How developers micro-optimize Android apps,Journal of Systems and Software
mobile_cpu,Lane departure warning for mobile devices based on a fuzzy representation of images,Fuzzy Sets and Systems
mobile_cpu,FPGA-accelerated SmartNIC for supporting 5G virtualized Radio Access Network,Computer Networks
mobile_cpu,Robust receivers for base station cooperation systems,Digital Signal Processing
mobile_cpu,Dynamic multi-user computation offloading for wireless powered mobile edge computing,Journal of Network and Computer Applications
mobile_cpu,Building of an edge enabled drone network ecosystem for bird species identification,Ecological Informatics
