keyword,title,publication
mobile_energy,Research on mobile energy storage scheduling strategy for emergency power supply protection of post-disaster isolated loads,Energy Reports
mobile_energy,How to choose mobile energy storage or fixed energy storage in high proportion renewable energy scenarios: Evidence in China,Applied Energy
mobile_energy,An energy-saving joint resource allocation strategy for mobile edge computing,Physical Communication
mobile_energy,Data traffic unloading method of internet of things based on mobile edge computing,Measurement: Sensors
mobile_energy,Algorithm for partial sweep coverage on a line,Discrete Applied Mathematics
mobile_energy,A truthful randomized mechanism for task allocation with multi-attributes in mobile edge computing,Journal of King Saud University - Computer and Information Sciences
mobile_energy,Evaluating an autonomous electric robot for real farming applications,Smart Agricultural Technology
mobile_energy,A two-layer economic resilience model for distribution network restoration after natural disasters,Applied Energy
mobile_energy,Truthful mechanism for joint resource allocation and task offloading in mobile edge computing,Computer Networks
mobile_energy,A multi-strategy optimizer for energy minimization of multi-UAV-assisted mobile edge computing,Swarm and Evolutionary Computation
mobile_energy,Time Parameter Based Low-Energy Data Encryption Method for Mobile Applications,CMES - Computer Modeling in Engineering and Sciences
mobile_energy,Optimal siting and sizing of mobile-static storage mix in distribution systems with high renewable energy resources penetration,Electric Power Systems Research
mobile_energy,An energy efficient clustering algorithm based on density and fitness for mobile crowd-sensing network,Journal of Engineering Research
mobile_energy,Service placement strategies in mobile edge computing based on an improved genetic algorithm,Pervasive and Mobile Computing
mobile_energy,Dynamic computation scheduling for hybrid energy mobile edge computing networks,Journal of Systems Architecture
mobile_energy,Active and reactive power coordination optimization for active distribution network considering mobile energy storage system and dynamic network reconfiguration,Electric Power Systems Research
mobile_energy,Fuzzy cluster-based multi-node charging strategy in mobile sensor networks,Ad Hoc Networks
mobile_energy,Renewable microgeneration cooperation with base station sleeping-mode strategy for energy-efficient operation of 5G infrastructures,"Sustainable Energy, Grids and Networks"
mobile_energy,A mobile data collection method for balancing energy consumption and delay in strip-shaped wireless sensor networks with branches,Ad Hoc Networks
