keyword,title,publication
mobile_freeze,Effects of freeze-thaw cycles on the quality of frozen raw noodles,Food Chemistry
mobile_freeze,Case study on the relationship between transmission of antibiotic resistance genes and microbial community under freeze-thaw cycle on cold-region dairy farm,Science of The Total Environment
mobile_freeze,Quantification of Residual Water in Pharmaceutical Frozen Solutions Via 1H Solid-State NMR,Journal of Pharmaceutical Sciences
mobile_freeze,Solid-State NMR Spectroscopy to Probe State and Phase Transitions in Frozen Solutions,Molecular Pharmaceutics
mobile_freeze,To explore the best freeze-drying technology of Polygonatum sibiricum delar. Ex redoute and to establish the best HPLC method for the determination of main effective components of it from different areas in China,Heliyon
mobile_freeze,Untargeted metabolomics profiling of tropical marine microalgae in batch culture system with different mobile phase using Liquid Chromatography-Orbitrap High-resolution Mass Spectrometry combined with chemometrics,Regional Studies in Marine Science
mobile_freeze,Effect of freeze-thaw frequency plus rainfall on As and Sb metal(loid)s leaching from the solidified/stabilized soil remediated with Fe-based composite agent,Science of The Total Environment
mobile_freeze,The preservable effects of ultrasound-assisted alginate oligosaccharide soaking on cooked crayfish subjected to Freeze-Thaw cycles,Ultrasonics Sonochemistry
mobile_freeze,Enhanced freeze-thaw cycles facilitate the antibiotic resistance proliferation and dissemination risk under global climate change,Process Safety and Environmental Protection
mobile_freeze,Chemical characteristics and reactive transport of soil salt ions in frozen soil during the freeze and thaw period,Journal of Hydrology
mobile_freeze,Contrasting effects of dry-wet and freeze-thaw aging on the immobilization of As in As-contaminated soils amended by zero-valent iron-embedded biochar,Journal of Hazardous Materials
mobile_freeze,Freeze-Tag is NP-hard in 3D with L1 distance,Procedia Computer Science
mobile_freeze,Freeze and Crypt: Linux kernel support for main memory encryption,Computers & Security
mobile_freeze,"A validated LC-MS/MS method for simultaneous quantitation of piperacillin, cefazolin, and cefoxitin in rat plasma and twelve tissues",Journal of Pharmaceutical and Biomedical Analysis
mobile_freeze,Transport of plastic particles in natural porous media under freeze–thaw treatment: Effects of porous media property,Journal of Hazardous Materials
mobile_freeze,Development of pea protein nanoparticle/hydrolyzed rice glutelin fibril emulsion gels for encapsulation of curcumin,International Journal of Biological Macromolecules
mobile_freeze,Polymer-filled macroporous hydrogel for low friction,Extreme Mechanics Letters
mobile_freeze,"Subsurface mixing of different soil water pools in a permafrost-underlain headwater catchment, Qilian Mountains, Northeastern Tibetan Plateau",Journal of Hydrology
mobile_freeze,Ultrasound-assisted osmotic dehydration pretreatment before pulsed fluidized bed microwave freeze-drying (PFBMFD) of Chinese yam,Food Bioscience
mobile_freeze,Network-based video freeze detection and prediction in HTTP adaptive streaming,Computer Communications
mobile_freeze,A cross-layer approach for TCP optimization over wireless and mobile networks,Computer Communications
mobile_freeze,Measuring and estimating Key Quality Indicators in Cloud Gaming services,Computer Networks
mobile_freeze,Freezing Unicast Paths in Sensor Swarms,Procedia Computer Science
mobile_freeze,Fluorogenic RNA aptamer output sensors via transcription activated by recombinase polymerase amplification for nucleic acid testing,Chemical Engineering Journal
mobile_freeze,Exposure of nanoplastics to freeze-thaw leads to aggregation and reduced transport in model groundwater environments,Water Research
mobile_freeze,Development of a low resolution 1H NMR spectroscopic technique for the study of matrix mobility in fresh and freeze-thawed hen egg yolk,Food Chemistry
mobile_freeze,"Lead speciation in body tissues, gastrointestinal contents, and feces of lead-exposed wild rats (Rattus rattus)",Science of The Total Environment
mobile_freeze,Characteristics of soil freeze–thaw cycles and their effects on water enrichment in the rhizosphere,Geoderma
mobile_freeze,Separation and quantification of Azvudine in plasma of patients with COVID-19 using LC-MS/MS,Journal of Pharmaceutical and Biomedical Analysis
mobile_freeze,Advanced protocols for the mitigation of friendly jamming in mobile ad-hoc networks,Journal of Network and Computer Applications
mobile_freeze,Modeling rehydration of porous food materials: II. The dual porosity approach,Journal of Food Engineering
mobile_freeze,High-resolution X-ray fluorescence core scanning of landslide-dammed reservoir sediment sequences on the Chinese Loess Plateau: New insights into the formation and geochemical processes of annual freeze-thaw layers,Geoderma
mobile_freeze,Eliminating bandwidth estimation from adaptive video streaming in wireless networks,Signal Processing: Image Communication
mobile_freeze,Freeze-tolerance of Trichinella muscle larvae in experimentally infected wild boars,Veterinary Parasitology
mobile_freeze,Preparative Supercritical Fluid Chromatography | Chromatography Supercritical Fluid,"Reference Module in Chemistry, Molecular Sciences and Chemical Engineering"
mobile_freeze,Assessing the influencing factors of soil susceptibility to wind erosion: A wind tunnel experiment with a machine learning and model-agnostic interpretation approach,CATENA
mobile_freeze,Facile material extrusion of 3D wearable conductive-polymer micro-super-capacitors,Additive Manufacturing
mobile_freeze,Enhanced post freeze-thaw stability of Zn/Pb co-contaminated soil through MgO-activated steel slag and fiber treatment,Cold Regions Science and Technology
mobile_freeze,Liquid chromatography and differential scanning calorimetry studies on the states of water in hydrophilic polymer gel packings in relation to retention selectivity,Journal of Chromatography A
mobile_freeze,"Microstructure, state of water and proton conductivity of sulfonated poly(ether ether ketone)",Solid State Ionics
mobile_freeze,An improved high performance liquid chromatography–photodiode array detection–atmospheric pressure chemical ionization–mass spectrometry method for determination of chlorophylls and their derivatives in freeze-dried and hot-air-dried Rhinacanthus nasutus (L.) Kurz,Talanta
mobile_freeze,Simulating soil freeze/thaw cycles typical of winter alpine conditions: Implications for N and P availability,Applied Soil Ecology
mobile_freeze,Exploring pharmacokinetics of talazoparib in ABCB1/ABCG2-deficient mice using a novel UHPLC-MS/MS method,Heliyon
mobile_freeze,Aramid nanofiber aerogel membrane extract from waste plastic for efficient separation of surfactant-stabilized oil-in-water emulsions,Journal of Environmental Chemical Engineering
mobile_freeze,Network structure and chain mobility of freeze-dried polyvinyl chloride/dioxane gels,Polymer
mobile_freeze,Amorphous water in three-dimensional confinement of zeolite-templated carbon,Chemical Physics Letters
mobile_freeze,"5.03: Mountain and Hillslope Geomorphology | Processes, Transport, Deposition and Landforms: Controls on Rates of Soil Creep",Treatise on Geomorphology (Second Edition)
mobile_freeze,"The first LC-MS/MS stereoselective bioanalytical methods to quantitatively detect 9R- and 9S-hexahydrocannabinols and their metabolites in human blood, oral fluid and urine",Journal of Pharmaceutical and Biomedical Analysis
mobile_freeze,Simple HPLC method for cefazolin determination in human serum – validation and stability testing,Journal of Chromatography B
mobile_freeze,"Water content effect on the chromatic attributes of dehydrated strawberries during storage, as evaluated by image analysis",LWT - Food Science and Technology
mobile_freeze,Method for the isolation of citric acid and malic acid in Japanese apricot liqueur for carbon stable isotope analysis,Food Chemistry
mobile_freeze,Simultaneous analysis of thiamphenicol and its prodrug thiamphenicol glycinate in human plasma and urine by high performance liquid chromatography: Application to pharmacokinetic study,Journal of Pharmaceutical and Biomedical Analysis
mobile_freeze,"A freeze-fracture study of mesophyll cell membranes in the embryonic Phaseolus leaf, in the dry seed and during the initial stages of germination",Tissue and Cell
mobile_freeze,Simultaneous determination of dibucaine and naphazoline in human serum by monolithic silica spin column extraction and liquid chromatography–mass spectrometry,Journal of Chromatography B
mobile_freeze,Cover crop mixtures: A powerful strategy to reduce post-harvest surplus of soil nitrate and leaching,"Agriculture, Ecosystems & Environment"
mobile_freeze,"An eco-friendly HPLC-UV method for the determination of risedronate in its bulk and tablet dosage form with application to content uniformity, dissolution and stability testing",Saudi Pharmaceutical Journal
mobile_freeze,On the impact of soft handoff in cellular systems,Computer Networks
mobile_freeze,Immunomodulatory effects of cyclotides isolated from Viola odorata in an experimental autoimmune encephalomyelitis animal model of multiple sclerosis,Multiple Sclerosis and Related Disorders
mobile_freeze,Intact charge variant analysis of ziv-aflibercept by cationic exchange liquid chromatography as a proof of concept: Comparison between volatile and non-volatile salts in the mobile phase,Journal of Pharmaceutical and Biomedical Analysis
mobile_freeze,Ultrasonic investigation of the interaction of hydrogen-dislocations in copper crystals,Materials Science and Engineering: A
mobile_freeze,Evaluation of the Food And Nutrient Database for Dietary Studies for use with a mobile telephone food record,Journal of Food Composition and Analysis
mobile_freeze,The management and exploitation of naturally light-emitting bacteria as a flexible analytical tool: A tutorial,Analytica Chimica Acta
mobile_freeze,"A sensitive combined assay for the quantification of paclitaxel, docetaxel and ritonavir in human plasma using liquid chromatography coupled with tandem mass spectrometry",Journal of Chromatography B
mobile_freeze,A liquid chromatography/tandem mass spectrometry method for determination of obatoclax in human plasma,Journal of Chromatography B
mobile_freeze,Development of a novel UPLC-MS/MS method for the simultaneously quantification of polydatin and resveratrol in plasma: Application to a pharmacokinetic study in rats,Journal of Chromatography B
mobile_freeze,Advancing oral drug delivery: The science of fast dissolving tablets (FDTs),Intelligent Pharmacy
mobile_freeze,Liquid chromatographic assay for dicloxacillin in plasma,Journal of Chromatography B
mobile_freeze,Sensitive quantification of rifaximin in human plasma by liquid chromatography–tandem mass spectrometry,Journal of Chromatography B
mobile_freeze,HPLC method with fluorescence detection for the quantitative determination of flaxseed lignans,Journal of Chromatography B
mobile_freeze,"Determination of the marker compound, chikusetsusaponin IVa in Dolichos lablab L. using HPLC–PDA and HPLC–ELSD",South African Journal of Botany
mobile_freeze,Establishment of an LC-MS/MS method for quantification of lifitegrast in rabbit plasma and ocular tissues and its application to pharmacokinetic study,Journal of Chromatography B
mobile_freeze,Effect of microsome–liposome fusion on the rotational mobility of cytochrome P450IIB4 in rabbit liver microsomes,Journal of Inorganic Biochemistry
mobile_freeze,Adaptive step-size NCLMS algorithm for double-talk echo canceling,Signal Processing
mobile_freeze,Liquid chromatography tandem mass spectrometry method for the estimation of lamotrigine in human plasma: Application to a pharmacokinetic study,Journal of Pharmaceutical Analysis
