keyword,title,publication
mobile_gpu,Inference latency prediction for CNNs on heterogeneous mobile devices and ML frameworks,Performance Evaluation
mobile_gpu,Hybrid path planning based on adaptive visibility graph initialization and edge computing for mobile robots,Engineering Applications of Artificial Intelligence
mobile_gpu,An efficient GPU-accelerated inference engine for binary neural network on mobile phones,Journal of Systems Architecture
mobile_gpu,ShaderNN: A lightweight and efficient inference engine for real-time applications on mobile GPUs,Neurocomputing
mobile_gpu,Efficient stereo matching on embedded GPUs with zero-means cross correlation,Journal of Systems Architecture
mobile_gpu,A deep learning-based mobile application for tree species mapping in RGB images,International Journal of Applied Earth Observation and Geoinformation
mobile_gpu,L-Bench: An Android benchmark set for low-power mobile GPUs,Computers & Graphics
mobile_gpu,Designing and Prototyping of AI-based Real-time Mobile Detectors for Calisthenic Push-up Exercise,Procedia Computer Science
mobile_gpu,A collaborative CPU–GPU approach for principal component analysis on mobile heterogeneous platforms,Journal of Parallel and Distributed Computing
mobile_gpu,HB-ReTriple: Mobile rendering optimization based on efficient history reusing,Journal of Systems Architecture
mobile_gpu,High-performance flow classification using hybrid clusters in software defined mobile edge computing,Computer Communications
mobile_gpu,A Coupled Human and Natural Systems (CHANS) framework integrated with reinforcement learning for urban flood mitigation,Journal of Hydrology
mobile_gpu,Efficient UAV-Based MEC Using GPU-Based PSO and Voronoi Diagrams,CMES - Computer Modeling in Engineering and Sciences
mobile_gpu,A novel GPU based Geo-Location Inference Attack on WebGL framework,High-Confidence Computing
mobile_gpu,Chapter 21: Power management of mobile GPUs,Advances in GPU Research and Practice
mobile_gpu,"Open source, open hardware hand-held mobile mapping system for large scale surveys",SoftwareX
mobile_gpu,Ultra-selective membrane composed of charge-stabilized fixed carrier and amino acid-based ionic liquid mobile carrier for highly efficient carbon capture,Chemical Engineering Journal
mobile_gpu,Energy-efficient global illumination algorithms for mobile devices using dynamic voltage and frequency scaling,Computers & Graphics
mobile_gpu,A GPU-accelerated real-time human voice separation framework for mobile phones,Journal of Systems Architecture
mobile_gpu,Mobile Cloud computing architecture for massively parallelizable geometric computation,Computers in Industry
mobile_gpu,Interactive flow simulation using Tegra-powered mobile devices,Advances in Engineering Software
mobile_gpu,Smart in-car camera system using mobile cloud computing framework for deep learning,Vehicular Communications
mobile_gpu,Task offloading using GPU-based particle swarm optimization for high-performance vehicular edge computing,Journal of King Saud University - Computer and Information Sciences
mobile_gpu,Deep learning based prediction of traffic peaks in mobile networks,Computer Networks
mobile_gpu,Mobile Ultrasound Plane Wave Beamforming on iPhone or iPad using Metal- based GPU Processing,Physics Procedia
mobile_gpu,On the Use of a GPU-Accelerated Mobile Device Processor for Sound Source Localization,Procedia Computer Science
mobile_gpu,Rice grains and grain impurity segmentation method based on a deep learning algorithm-NAM-EfficientNetv2,Computers and Electronics in Agriculture
mobile_gpu,Model Predictive Control for Autonomous Navigation Using Embedded Graphics Processing Unit,IFAC-PapersOnLine
mobile_gpu,Efficient object tracking algorithm based on lightweight Siamese networks,Engineering Applications of Artificial Intelligence
mobile_gpu,Visual predictive control for differential drive robots with parallel implementation on GPU,Computers and Electrical Engineering
mobile_gpu,On-body wearable device localization with a fast and memory efficient SVM-kNN using GPUs,Pattern Recognition Letters
mobile_gpu,"GPU-powered, interactive flow simulation on a peer-to-peer group of mobile devices",Advances in Engineering Software
mobile_gpu,A survey and measurement study of GPU DVFS on energy conservation,Digital Communications and Networks
mobile_gpu,Systematic detection of memory related performance bottlenecks in GPGPU programs,Journal of Systems Architecture
mobile_gpu,A flexible heterogeneous real-time digital image correlation system,Optics and Lasers in Engineering
mobile_gpu,GPU4S: Embedded GPUs in space - Latest project updates,Microprocessors and Microsystems
mobile_gpu,Real-time and accurate monocular 3D sensor using the reference plane calibration and an optimized SGM based on opencl acceleration,Optics and Lasers in Engineering
mobile_gpu,Global path guided model predictive path integral control: Applications to GPU-parallelizable robot simulation systems,Computers and Electrical Engineering
mobile_gpu,ZebraRecognizer: Pedestrian crossing recognition for people with visual impairment or blindness,Pattern Recognition
mobile_gpu,Low power & mobile hardware accelerators for deep convolutional neural networks,Integration
mobile_gpu,Chapter Six: Deep learning with GPUs,Advances in Computers
mobile_gpu,CO2-selective membranes containing amino acid salts for CO2/N2 separation,Journal of Membrane Science
mobile_gpu,Estimating coverage and capacity of high frequency mobile networks in ultradense urban areas,Computer Communications
mobile_gpu,Chapter 1: Formal analysis techniques for reliable GPU programming: current solutions and call to action,Advances in GPU Research and Practice
mobile_gpu,CNN Design for Real-Time Traffic Sign Recognition,Procedia Engineering
mobile_gpu,GPU accelerated initialization of local maximum-entropy meshfree methods for vibrational and acoustic problems,Computer Methods in Applied Mechanics and Engineering
mobile_gpu,Embedded GPU and multicore processors for emotional-based mobile robotic agents,Future Generation Computer Systems
mobile_gpu,Energy-aware hybrid precision selection framework for mobile GPUs,Computers & Graphics
mobile_gpu,Mobile collaborative computing on the fly,Pervasive and Mobile Computing
mobile_gpu,An efficient terrain Level of Detail implementation for mobile devices and performance study,"Computers, Environment and Urban Systems"
mobile_gpu,Robust omnidirectional mobile robot topological navigation system using omnidirectional vision,Engineering Applications of Artificial Intelligence
mobile_gpu,Server load and network-aware adaptive deep learning inference offloading for edge platforms,Internet of Things
mobile_gpu,Polyvinyl alcohol membrane incorporated with amine-modified silica nanoparticles and ionic liquid for facilitated transport of CO2,International Journal of Greenhouse Gas Control
mobile_gpu,Real time exploration and management of large medical volumetric datasets on small mobile devices—Evaluation of remote volume rendering approach,International Journal of Information Management
mobile_gpu,A lightweight convolutional neural network for automated crack inspection,Construction and Building Materials
mobile_gpu,Parallel random matrix particle swarm optimization scheduling algorithms with budget constraints on cloud computing systems,Applied Soft Computing
mobile_gpu,Optimizing vision transformers for CPU platforms via human-machine collaborative design,Knowledge-Based Systems
mobile_gpu,Progressive ray casting for volumetric models on mobile devices,Computers & Graphics
mobile_gpu,GPU based real-time SLAM of six-legged robot,Microprocessors and Microsystems
mobile_gpu,Eye-Full Tower: A GPU-based variable multibaseline omnidirectional stereovision system with automatic baseline selection for outdoor mobile robot navigation,Robotics and Autonomous Systems
