keyword,title,publication
mobile_latency,Inference latency prediction for CNNs on heterogeneous mobile devices and ML frameworks,Performance Evaluation
mobile_latency,A digital twin dynamic migration method for industrial mobile robots,Robotics and Computer-Integrated Manufacturing
mobile_latency,An overview of mobility awareness with mobile edge computing over 6G network: Challenges and future research directions,Results in Engineering
mobile_latency,Task offloading framework to meet resiliency demand in mobile edge computing system,Sustainable Computing: Informatics and Systems
mobile_latency,URLLC-aware and energy-efficient data offloading strategy in high-mobility vehicular mobile edge computing environments,Vehicular Communications
mobile_latency,Distributed realtime rendering in decentralized network for mobile web augmented reality,Future Generation Computer Systems
mobile_latency,"The association between sex-specific typologies of mobile phone addiction, alexithymia and negative emotions among college students: A latent profile analysis",Children and Youth Services Review
mobile_latency,Assessing the substitutability of mobile and fixed internet: The impact of 5G services on consumer valuation and price elasticity,Telecommunications Policy
mobile_latency,A novel offloading strategy for multi-user optimization in blockchain-enabled Mobile Edge Computing networks for improved Internet of Things performance,Computers and Electrical Engineering
mobile_latency,Deep reinforcement learning-based low-latency task offloading for mobile-edge computing networks,Applied Soft Computing
mobile_latency,A Novel intelligent SAV oriented QL-based task offloading in mobile edge environments,Expert Systems with Applications
mobile_latency,Experimental evaluation of 5G performance based on a digital twin of a machine tool,CIRP Journal of Manufacturing Science and Technology
mobile_latency,Rethinking the mobile edge for vehicular services,Computer Networks
mobile_latency,Service caching and user association in cache enabled multi-UAV assisted MEN for latency-sensitive applications,Computers and Electrical Engineering
mobile_latency,Learning-driven service caching in MEC networks with bursty data traffic and uncertain delays,Computer Networks
mobile_latency,"Optimizing energy efficiency in mobile edge computing: Leveraging latency-aware offloading, clustering, and UAV placement strategies",AEU - International Journal of Electronics and Communications
mobile_latency,Task execution latency minimization for energy-sensitive IoTs in wireless powered mobile edge computing: A DRL-based method,Computer Networks
mobile_latency,"Outdoor mobile broadband performance analysis in Malaysia, Singapore, and Thailand",Results in Engineering
mobile_latency,Delay-sensitive resource allocation for IoT systems in 5G O-RAN networks,Internet of Things
mobile_latency,BACSSOC: A novel clustering method for mobile forest protection using wireless sensor network with lower energy consumption and lower latency,Simulation Modelling Practice and Theory
mobile_latency,Time Parameter Based Low-Energy Data Encryption Method for Mobile Applications,CMES - Computer Modeling in Engineering and Sciences
mobile_latency,"Cooperative sensing, communication and computation resource allocation in mobile edge computing-enabled vehicular networks",Journal of Information and Intelligence
mobile_latency,GCAGA: A Gini Coefficient-Based Optimization Strategy for Computation Offloading in Multi-User-Multi-Edge MEC System,"Computers, Materials and Continua"
mobile_latency,Fischer machine learning for mobile cloud computing in eHealth systems using blockchain mechanism,Microprocessors and Microsystems
mobile_latency,Impact of cybersecurity awareness on mobile malware propagation: A dynamical model,Computer Communications
mobile_latency,Identifying and resolving conflict in mobile application features through contradictory feedback analysis,Heliyon
mobile_latency,A multi-UAV assisted task offloading and path optimization for mobile edge computing via multi-agent deep reinforcement learning,Journal of Network and Computer Applications
mobile_latency,MEC-enabled resource allocation in Internet of Vehicles,Physical Communication
mobile_latency,Private compression for intermediate feature in IoT-supported mobile cloud inference,Displays
mobile_latency,Uncovering the quality factors driving the success of mobile payment apps,Journal of Retailing and Consumer Services
mobile_latency,Task offloading scheme in Mobile Augmented Reality using hybrid Monte Carlo tree search (HMCTS),Alexandria Engineering Journal
mobile_latency,RL-based mobile edge computing scheme for high reliability low latency services in UAV-aided IIoT networks,Ad Hoc Networks
mobile_latency,A deep learning based dynamic bandwidth allocation method for XG-PON based mobile fronthaul for CRAN,Computer Networks
mobile_latency,Latency optimized C-RAN in optical backhaul and RF fronthaul architecture for beyond 5G network: A comprehensive survey,Computer Networks
mobile_latency,Delay-guaranteed Mobile Augmented Reality Task Offloading in Edge-assisted Environment,Ad Hoc Networks
mobile_latency,"Multi-objective optimization in order to allocate computing and telecommunication resources based on non-orthogonal access, participation of cloud server and edge server in 5G networks",Journal of King Saud University - Computer and Information Sciences
mobile_latency,"Deep Neural Networks meet computation offloading in mobile edge networks: Applications, taxonomy, and open issues",Journal of Network and Computer Applications
mobile_latency,Deep Reinforcement Learning-based computation offloading and distributed edge service caching for Mobile Edge Computing,Computer Networks
mobile_latency,Dynamic adaptive workload offloading strategy in mobile edge computing networks,Computer Networks
mobile_latency,Exploring the limitations and potential of digital twins for mobile manipulators in industry,Procedia Computer Science
mobile_latency,Deep reinforcement learning based latency-energy minimization in smart healthcare network,Digital Communications and Networks
mobile_latency,A Novel Approach to Energy Optimization: Efficient Path Selection in Wireless Sensor Networks with Hybrid ANN,"Computers, Materials and Continua"
mobile_latency,Latent class analysis of healthcare workers' perceptions of workers' job demands in mobile cabin hospitals in China,Preventive Medicine
mobile_latency,Data traffic unloading method of internet of things based on mobile edge computing,Measurement: Sensors
mobile_latency,EdgeBus: Co-Simulation based resource management for heterogeneous mobile edge computing environments,Internet of Things
mobile_latency,Deep Transfer Learning Models for Mobile-Based Ocular Disorder Identification on Retinal Images,"Computers, Materials and Continua"
mobile_latency,Mobility-aware proactive video caching based on asynchronous federated learning in mobile edge computing systems,Applied Soft Computing
mobile_latency,A Fault-Tolerant Mobility-Aware Caching Method in Edge Computing,CMES - Computer Modeling in Engineering and Sciences
mobile_latency,Sentiments prediction and thematic analysis for diabetes mobile apps using Embedded Deep Neural Networks and Latent Dirichlet Allocation,Artificial Intelligence in Medicine
mobile_latency,SocialSense: Mobile crowd sensing-based physical distance monitoring model leveraging federated learning for pandemic,Internet of Things
mobile_latency,Mobility-aware multi-user service placement and resource allocation in edge computing,Computer Networks
mobile_latency,A secure and privacy blockchain-based data sharing scheme in mobile edge caching system,Expert Systems with Applications
mobile_latency,Joint task offloading and resource allocation for secure OFDMA-based mobile edge computing systems,Ad Hoc Networks
mobile_latency,Communication architecture and operations for SDR-enabled UAVs network in disaster-stressed areas,Ad Hoc Networks
mobile_latency,Problematic mobile gamers have attention bias toward game social information,Computers in Human Behavior
mobile_latency,Energy efficiency and interoperability through O-RAN Rapid Transition Protocol (ORTP),Computer Networks
mobile_latency,Task graph offloading via deep reinforcement learning in mobile edge computing,Future Generation Computer Systems
mobile_latency,Addressing the Issues and Developments Correlated with Envisaged 5G Mobile Technologies: Comprehensive Solutions,"Computers, Materials and Continua"
mobile_latency,Server-enabled mixed reality for flood risk communication: On-site visualization with digital twins and multi-client support,Environmental Modelling & Software
mobile_latency,E-CARGO-based dynamic weight offload strategy with resource contention mitigation for edge networks,Journal of Industrial Information Integration
mobile_latency,Numerical study of an energy storage unit based on zeolite-water adsorption for mobilized thermal energy storage,Journal of Energy Storage
mobile_latency,Efficient fruit disease diagnosis on resource-constrained agriculture devices,Journal of the Saudi Society of Agricultural Sciences
mobile_latency,Prioritization-based delay sensitive task offloading in SDN-integrated mobile IoT network,Pervasive and Mobile Computing
mobile_latency,Joint scheduling and offloading of computational tasks with time dependency under edge computing networks,Simulation Modelling Practice and Theory
mobile_latency,An improved DDPG-based privacy sensitive level protection computation offloading method in mobile edge computing,Future Generation Computer Systems
mobile_latency,Mobile learning evolution and emerging computing paradigms: An edge-based cloud architecture for reduced latencies and quick response time,Array
mobile_latency,Video data offloading techniques in Mobile Edge Computing: A survey,Physical Communication
mobile_latency,Online two-timescale service placement for time-sensitive applications in MEC-assisted network: A TMAGRL approach,Computer Networks
mobile_latency,A novel energy-efficient and cost-effective task offloading approach for UAV-enabled MEC with LEO enhancement in Internet of Remote Things networks,Simulation Modelling Practice and Theory
mobile_latency,Deep reinforcement learning-based online task offloading in mobile edge computing networks,Information Sciences
mobile_latency,Mobile association scheme based on auction algorithm in heterogeneous wireless networks,Ad Hoc Networks
mobile_latency,Empirical performance analysis and ML-based modeling of 5G non-standalone networks,Computer Networks
mobile_latency,ShaderNN: A lightweight and efficient inference engine for real-time applications on mobile GPUs,Neurocomputing
mobile_latency,A relay-assisted parallel offloading strategy for multi-source tasks in internet of vehicles,Sustainable Energy Technologies and Assessments
mobile_latency,QoS-aware task offloading and resource allocation optimization in vehicular edge computing networks via MADDPG,Computer Networks
mobile_latency,Real-time field disease identification based on a lightweight model,Computers and Electronics in Agriculture
mobile_latency,Defining ‘seamlessly connected’: user perceptions of operation latency in cross-device interaction,International Journal of Human-Computer Studies
mobile_latency,Enhanced whale optimization algorithm for dependent tasks offloading problem in multi-edge cloud computing,Alexandria Engineering Journal
mobile_latency,System-centric energy efficient computation offloading and resource allocation in latency-sensitive MEC systems,Ad Hoc Networks
mobile_latency,Evaluating the quality of service of Opportunistic Mobile Ad Hoc Network routing algorithms on real devices: A software-driven approach,Ad Hoc Networks
mobile_latency,Distributed reinforcement learning-based optimization of resource scheduling for telematics,Computers and Electrical Engineering
mobile_latency,Privacy-preserving and verifiable classifier training in edge-assisted mobile communication systems,Computer Communications
mobile_latency,Enhancing 5G performance: A standalone system platform with customizable features,AEU - International Journal of Electronics and Communications
mobile_latency,Multi-Agent Deep Reinforcement Learning for Efficient Computation Offloading in Mobile Edge Computing,"Computers, Materials and Continua"
mobile_latency,An expert system for hybrid edge to cloud computational offloading in heterogeneous MEC–MCC environments,Journal of Network and Computer Applications
mobile_latency,EEG-based schizophrenia classification using penalized sequential dictionary learning in the context of mobile healthcare,Biomedical Signal Processing and Control
mobile_latency,A novel rate control algorithm for low latency video coding base on mobile edge cloud computing,Computer Communications
mobile_latency,An Optimal Algorithm for Resource Allocation in D2D Communication,"Computers, Materials and Continua"
mobile_latency,Optimizing point-of-sale services in MEC enabled near field wireless communications using multi-agent reinforcement learning,Computer Communications
mobile_latency,DPTP-LICD: A differential privacy trajectory protection method based on latent interest community detection,High-Confidence Computing
mobile_latency,I-OPC: An intelligent optimal path computation system using critical path prediction and deep learning for a time-sensitive network,Alexandria Engineering Journal
mobile_latency,A data security and privacy scheme for user quality of experience in a Mobile Edge Computing-based network,Array
mobile_latency,An Empirical Investigation on Employing Machine Learning for Balancing Home Agent Loads in Next Generation IP Mobility,Procedia Computer Science
mobile_latency,Text mining approach to explore determinants of grocery mobile app satisfaction using online customer reviews,Journal of Retailing and Consumer Services
mobile_latency,The influence of parental autonomy support on cyberbullying victimization of high school students: A latent moderation analysis,Acta Psychologica
mobile_latency,A Digital Twin-based multi-objective optimized task offloading and scheduling scheme for vehicular edge networks,Future Generation Computer Systems
mobile_latency,A deep multi-embedding model for mobile application recommendation,Decision Support Systems
mobile_latency,A new priority aware routing protocol for efficient emergency data transmissions in MANETs,Ad Hoc Networks
mobile_latency,A GPU-accelerated real-time human voice separation framework for mobile phones,Journal of Systems Architecture
mobile_latency,An energy-saving joint resource allocation approach for mobile edge computing based on NOMA,Physical Communication
mobile_latency,Proactive Caching at the Wireless Edge: A Novel Predictive User Popularity-Aware Approach,CMES - Computer Modeling in Engineering and Sciences
mobile_latency,Mobility-aware fog computing in dynamic networks with mobile nodes: A survey,Journal of Network and Computer Applications
mobile_latency,Hybrid Mobile Cloud Computing Architecture with Load Balancing for Healthcare Systems,"Computers, Materials and Continua"
mobile_latency,What is discussed about Flutter on Stack Overflow (SO) question-and-answer (Q&A) website: An empirical study,Journal of Systems and Software
mobile_latency,Task Offloading and Resource Allocation in IoT Based Mobile Edge Computing Using Deep Learning,"Computers, Materials and Continua"
mobile_latency,Routing cost-integrated intelligent handover strategy for multi-layer LEO mega-constellation networks,Chinese Journal of Aeronautics
mobile_latency,Assessing the impact of summer heat on the movement of people in Tokyo based on mobile phone location data,Building and Environment
mobile_latency,Version [1.1.0]- [DLDiagnosis: A mobile and web application for diseases classification using Deep Learning],SoftwareX
mobile_latency,ADRLO: Adaptive deep reinforcement learning-based offloading for edge computing,Physical Communication
mobile_latency,A study on the impact of mobility on caching in non-standalone 5G vehicular networks,Vehicular Communications
mobile_latency,Attention mechanism enhanced LSTM networks for latency prediction in deterministic MEC networks,Intelligent Systems with Applications
mobile_latency,Cognitive radio inspired RSMA-MEC under hardware impairments: Performance analysis and optimization,Physical Communication
mobile_latency,Hybrid learning based service migration for cost minimization with deadlines in multi-user mobile edge computing systems,Computer Networks
mobile_latency,Semantic segmentation of raw multispectral laser scanning data from urban environments with deep neural networks,ISPRS Open Journal of Photogrammetry and Remote Sensing
mobile_latency,Intelligent cache and buffer optimization for mobile VR adaptive transmission in 5G edge computing networks,Digital Communications and Networks
mobile_latency,Latency-aware computation offloading and DQN-based resource allocation approaches in SDN-enabled MEC,Ad Hoc Networks
mobile_latency,UAV-assisted task offloading system using dung beetle optimization algorithm & deep reinforcement learning,Ad Hoc Networks
mobile_latency,Joint multi-user DNN partitioning and task offloading in mobile edge computing,Ad Hoc Networks
mobile_latency,Perception-latency aware distributed target tracking,Information Fusion
mobile_latency,Mobile image restoration via prior quantization,Pattern Recognition Letters
mobile_latency,Collaborative caching relay algorithm based on recursive deep reinforcement learning in mobile vehicle edge network,Ad Hoc Networks
mobile_latency,An intelligent task offloading method based on multi-agent deep reinforcement learning in ultra-dense heterogeneous network with mobile edge computing,Computer Networks
mobile_latency,Green hybrid energy harvesting for intelligent mobile edge computing in internet of things,Physical Communication
mobile_latency,Mobile edge assisted multi-view light field video system: Prototype design and empirical evaluation,Future Generation Computer Systems
mobile_latency,On the application of uplink/downlink decoupled access in heterogeneous mobile edge computing,Computer Networks
mobile_latency,Scheduling of graph neural network and Markov based UAV mobile edge computing networks,Physical Communication
mobile_latency,Privacy-preserving offloading scheme in multi-access mobile edge computing based on MADRL,Journal of Parallel and Distributed Computing
mobile_latency,Performance evaluation of the effect of traffic decentralization with mobile edge computing,ICT Express
mobile_latency,Federated reinforcement learning based task offloading approach for MEC-assisted WBAN-enabled IoMT,Alexandria Engineering Journal
mobile_latency,Joint optimization of offloading strategy and resource allocation for multi-user in dynamic vehicular edge computing systems,Simulation Modelling Practice and Theory
mobile_latency,A Novel Lyapunov based Dynamic Resource Allocation for UAVs-assisted Edge Computing,Computer Networks
mobile_latency,My Latent Tuberculosis Treatment - mobile application to assist in adherence to latent tuberculosis treatment,Procedia Computer Science
mobile_latency,Lyapunov-guided deep reinforcement learning for delay-aware online task offloading in MEC systems,Journal of Systems Architecture
mobile_latency,Energy and latency aware mobile task assignment for green cloudlets,Simulation Modelling Practice and Theory
mobile_latency,Cooperative caching algorithm for mobile edge networks based on multi-agent meta reinforcement learning,Computer Networks
mobile_latency,Server load and network-aware adaptive deep learning inference offloading for edge platforms,Internet of Things
mobile_latency,Latency minimization for IRS-assisted mobile edge computing networks,Physical Communication
mobile_latency,RLCS: Towards a robust and efficient mobile edge computing resource scheduling and task offloading system based on graph neural network,Computer Communications
mobile_latency,A dynamic pricing scheme for secure offloading and resource allocation based on the internet of vehicles,Ad Hoc Networks
mobile_latency,Optimal self-stabilizing mobile byzantine-tolerant regular register with bounded timestamps,Theoretical Computer Science
mobile_latency,A Latent Profile Analysis of University Faculty Subtypes for Mobile Technology Integration,Computers and Education Open
mobile_latency,Machine learning-based computation offloading in multi-access edge computing: A survey,Journal of Systems Architecture
mobile_latency,Investigating the impact of environmental and temporal features on mobile phone distracted driving behavior using phone use data,Accident Analysis & Prevention
mobile_latency,Predicting application usage based on latent contextual information,Computer Communications
mobile_latency,A systematic analysis and review on producer mobility management in named data networks: Research background and challenges,Alexandria Engineering Journal
mobile_latency,Suitability of SDN and MEC to facilitate digital twin communication over LTE-A,Digital Communications and Networks
mobile_latency,A RNN based offloading scheme to reduce latency and preserve energy using RNNBOS,Measurement: Sensors
mobile_latency,Stackelberg game-based task offloading and pricing with computing capacity constraint in mobile edge computing,Journal of Systems Architecture
mobile_latency,Dependent tasks offloading in mobile edge computing: A multi-objective evolutionary optimization strategy,Future Generation Computer Systems
mobile_latency,Mobility-aware edge server placement for mobile edge computing,Computer Communications
mobile_latency,Cooperative computation offloading and resource allocation for delay minimization in mobile edge computing,Journal of Systems Architecture
mobile_latency,Sodium nitrite-sodium nitrate eutectic based composite phase change material (CPCM) for medium-temperature thermal energy storage (TES): Exploring the relationship between microstructures and thermal properties,Journal of Energy Storage
mobile_latency,"Can consumer big data reveal often-overlooked urban poverty? Evidence from Guangzhou, China","Computers, Environment and Urban Systems"
mobile_latency,Energy-efficient task offloading in fog computing for 5G cellular network,"Engineering Science and Technology, an International Journal"
mobile_latency,Snake optimizer with oscillating factors to solve edge computing task unloading and scheduling optimization problem,Alexandria Engineering Journal
mobile_latency,"A deep reinforcement learning resource allocation strategy for integrated sensing, communication and computing",Physical Communication
mobile_latency,A three-level slicing algorithm in a multi-slice multi-numerology context,Computer Communications
mobile_latency,A pipeline approach for privacy preservation against poisoning attacks in a Mobile Edge Computing environment,Ad Hoc Networks
mobile_latency,A review on new technologies in 3GPP standards for 5G access and beyond,Computer Networks
mobile_latency,Two-stage computing offloading algorithm in cloud-edge collaborative scenarios based on game theory,Computers & Electrical Engineering
mobile_latency,Perses: A framework for the continuous evaluation of the QoS of distributed mobile applications,Pervasive and Mobile Computing
mobile_latency,TMHD: Twin-Bridge Scheduling of Multi-Heterogeneous Dependent Tasks for Edge Computing,Future Generation Computer Systems
mobile_latency,A decision tree approach for enhancing real-time response in exigent healthcare unit using edge computing,Measurement: Sensors
mobile_latency,Physical-layer security based mobile edge computing for emerging cyber physical systems,Computer Communications
mobile_latency,Optimal deployment of private 5G multi-access edge computing systems at smart factories: Using hybrid crow search algorithm,Journal of Network and Computer Applications
mobile_latency,Developing Check-Point Mechanism to Protect Mobile Agent Free-Roaming Against Untrusted Hosts,"Computers, Materials and Continua"
mobile_latency,Use of smartphone apps for mobile communication and social digital pressure: A longitudinal panel study,Technological Forecasting and Social Change
mobile_latency,Compact wideband two-element millimeter wave MIMO antenna with CMT based modified T-shaped decoupling structure for mobile applications with estimated link budget in urban scenario,AEU - International Journal of Electronics and Communications
mobile_latency,5G enabled smart cities: A real-world evaluation and analysis of 5G using a pilot smart city application,Internet of Things
mobile_latency,"Maximum likelihood localization of a network of moving agents from ranges, bearings and velocity measurements",Signal Processing
mobile_latency,Energy efficient data gathering using mobile sink in IoT for reliable irrigation,Sustainable Computing: Informatics and Systems
mobile_latency,Towards efficient and robust intelligent mobile vision system via small object aware parallel offloading,Journal of Systems Architecture
mobile_latency,Decentralized computation offloading via multi-agent deep reinforcement learning for NOMA-assisted mobile edge computing with energy harvesting devices,Journal of Systems Architecture
mobile_latency,"Perils, power and promises: Latent profile analysis on the attitudes towards artificial intelligence (AI) among middle-aged and older adults in Hong Kong",Computers in Human Behavior: Artificial Humans
mobile_latency,Dynamic and intelligent edge server placement based on deep reinforcement learning in mobile edge computing,Ad Hoc Networks
mobile_latency,Dynamic network-aware container allocation in Cloud/Fog computing with mobile nodes,Internet of Things
mobile_latency,The hidden conversion funnel of mobile vs. desktop consumers,Electronic Commerce Research and Applications
mobile_latency,Reduced subjective sleep quality in people rating themselves as electro-hypersensitive: An observational study,Sleep Medicine
mobile_latency,An IPSO-assisted DNN operation scheme in UAV-mounted MEC networks,Ad Hoc Networks
mobile_latency,Mean Opinion Score Estimation for Mobile Broadband Networks Using Bayesian Networks,"Computers, Materials and Continua"
mobile_latency,A data fusion approach with mobile phone data for updating travel survey-based mode split estimates,Transportation Research Part C: Emerging Technologies
mobile_latency,Joint task offloading and resource allocation for multi-user and multi-server MEC networks: A deep reinforcement learning approach with multi-branch architecture,Engineering Applications of Artificial Intelligence
mobile_latency,Korea's leadership in 5G and beyond: Footprints and futures,Telecommunications Policy
mobile_latency,Multivariate Aggregated NOMA for Resource Aware Wireless Network Communication Security,"Computers, Materials and Continua"
mobile_latency,Analysis of post-disaster population movement by using mobile spatial statistics,International Journal of Disaster Risk Reduction
mobile_latency,Interference management in 5G and beyond networks: A comprehensive survey,Computer Networks
mobile_latency,A novel load balancing scheme for mobile edge computing,Journal of Systems and Software
mobile_latency,Dynamic offloading technique for real-time edge-to-cloud computing in heterogeneous MEC–MCC and IoT devices,Internet of Things
mobile_latency,“Was that interesting?” & “Does it matter?”: The implications of on-task learning experiences,Studies in Educational Evaluation
mobile_latency,Secure computation offloading assisted by intelligent reflection surface for mobile edge computing network,Physical Communication
mobile_latency,Minimizing energy consumption in UAV assisted NOMA-MEC networks,Physical Communication
mobile_latency,Qos-aware mobile service optimization in multi-access mobile edge computing environments,Pervasive and Mobile Computing
