keyword,title,publication
mobile_launch,A comprehensive survey on exploring and analyzing COVID-19 mobile apps: Meta and exploratory analysis,Heliyon
mobile_launch,Forensic analysis of OpenAI's ChatGPT mobile application,Forensic Science International: Digital Investigation
mobile_launch,Engaging with the Community Before Deploying a Rural Mobile Health Unit,The Journal for Nurse Practitioners
mobile_launch,Mobile money in sub-Saharan Africa: Innovation and actors’ strategies,Telematics and Informatics Reports
mobile_launch,The AGILEScience mobile application for the AGILE space mission,Astronomy and Computing
mobile_launch,Mobile applications identification using autoencoder based electromagnetic side channel analysis,Journal of Information Security and Applications
mobile_launch,Where you live matters: The impact of offline retail density on mobile shopping app usage,Journal of Retailing
mobile_launch,A mobile application for STEMI care optimization: Pilot implementation project report,International Journal of Cardiology
mobile_launch,The app or the cap? Which fare innovation affects bus ridership?,Transport Policy
mobile_launch,"Prevention, diagnosis and pharmacological treatment of infections in pregnancy: The mobile app GAIA! for healthcare providers and patients",European Journal of Obstetrics & Gynecology and Reproductive Biology
mobile_launch,The influence of launching mobile channels on online customer reviews,Journal of Business Research
mobile_launch,Korea's leadership in 5G and beyond: Footprints and futures,Telecommunications Policy
mobile_launch,Perses: A framework for the continuous evaluation of the QoS of distributed mobile applications,Pervasive and Mobile Computing
mobile_launch,Stationary versus mobile parcel lockers: Which self-service technology moves the consumers in the last mile of urban areas?,Travel Behaviour and Society
mobile_launch,A blessing in disguise—The effect of China’s Covid-19 health code system on older people’s mobile payment usage,Finance Research Letters
mobile_launch,"From an On-site Program to a Mobile App for Prehabilitation and Rehabilitation for Robotic Radical Prostatectomy: Lessons Learned from 5 Years of Experience, the COVID-19 Outbreak, and Comparison with Nationwide Data",European Urology Oncology
mobile_launch,Aliviado Mobile App for Hospice Providers: A Usability Study,Journal of Pain and Symptom Management
mobile_launch,A reliable and fair federated learning mechanism for mobile edge computing,Computer Networks
mobile_launch,Electric buses as an air pollution and meteorological observation network: Methodology and preliminary results,Science of The Total Environment
mobile_launch,Super app on demand: Exploring the impact of service synergy on willingness to use a new service,Electronic Commerce Research and Applications
mobile_launch,User Experience Satisfaction Analysis of Customers on the BRI Mobile Application (BRImo),Procedia Computer Science
mobile_launch,JamholeHunter: On detecting new wormhole attack in Opportunistic Mobile Networks,Journal of Network and Computer Applications
mobile_launch,Temporality and the cooperative infrastructure of human communication: Noticings to delay and to accelerate onward movement in mobile interaction,Language & Communication
mobile_launch,Is a “6-second” advertisement reasonable? Acceptable mobile advertisement length for consumers,Telematics and Informatics
mobile_launch,Structural synthesis of the reconfigurable legged mobile lander for strong geometry-physical interaction with extraterrestrial environment,Mechanism and Machine Theory
mobile_launch,The impact of app revenue model choices for app revenues: A study of apps since their initial App Store launch,Economic Analysis and Policy
mobile_launch,Digital Marketing,Reference Module in Social Sciences
mobile_launch,Enhance Vertical Handover Security During Execution Phase in Mobile Networks,"Computers, Materials and Continua"
mobile_launch,A hybrid analytical concept to QoE index evaluation: Enhancing eMBB service detection in 5G SA networks,Journal of Network and Computer Applications
mobile_launch,The psychological reassurance effect of mobile tracing apps in Covid-19 Era,Computers in Human Behavior
mobile_launch,"The SOLIDS 6G Mobile Network Architecture: Driving Forces, Features, and Functional Topology",Engineering
mobile_launch,207P Mobile muscle clinics operating from a UK centre of excellence: report of patient experience and quality of care,Neuromuscular Disorders
mobile_launch,A method for the competitiveness estimation of the incremental new product through user-generated content,Decision Support Systems
mobile_launch,Evaluation of COVID-19 m-Health apps: An analysis of the methods of app usability testing during a global pandemic,Informatics in Medicine Unlocked
mobile_launch,Optical design and stray RF investigation of ITER EC H&CD equatorial launcher using mockup,Fusion Engineering and Design
mobile_launch,Usage patterns of Head-mounted vision assistance app as compared to handheld video Magnifier,Displays
mobile_launch,Social media as an amplifier of insider trading profits,"Journal of International Financial Markets, Institutions and Money"
mobile_launch,Federated learning for green and sustainable 6G IIoT applications,Internet of Things
mobile_launch,The Digital Challenge for Multinational Mobile Network Operators. More marginalization or rejuvenation?,Journal of International Management
mobile_launch,Catch them all: Impacts of location-based augmented reality mobile applications on local businesses,Information & Management
mobile_launch,Digital platforms for clinical trials: The Eureka experience,Contemporary Clinical Trials
