keyword,title,publication
mobile_memory,Ion dynamics in metal halide perovskites for resistive-switching memory and neuromorphic memristors,Materials Today Electronics
mobile_memory,A novel collision-free navigation method for autonomous chaotic mobile robots,"Chaos, Solitons & Fractals"
mobile_memory,"Life course financial mobility and later-life memory function and decline by gender, and race and ethnicity: an intersectional analysis of the US KHANDLE and STAR cohort studies",The Lancet Healthy Longevity
mobile_memory,Secure workflow scheduling algorithm utilizing hybrid optimization in mobile edge computing environments,Computer Communications
mobile_memory,CEIU: Consistent and Efficient Incremental Update mechanism for mobile systems on flash storage,Journal of Systems Architecture
mobile_memory,Leveraging User-Generated Comments and Fused BiLSTM Models to Detect and Predict Issues with Mobile Apps,"Computers, Materials and Continua"
mobile_memory,Collaborative dispersion by silent robots,Journal of Parallel and Distributed Computing
mobile_memory,Deep Reinforcement Learning-based computation offloading and distributed edge service caching for Mobile Edge Computing,Computer Networks
mobile_memory,Validation of a mobile fNIRS device for measuring working memory load in the prefrontal cortex,International Journal of Psychophysiology
mobile_memory,A GPU-accelerated real-time human voice separation framework for mobile phones,Journal of Systems Architecture
mobile_memory,Memory optimal dispersion by anonymous mobile robots,Discrete Applied Mathematics
mobile_memory,Deep Transfer Learning Models for Mobile-Based Ocular Disorder Identification on Retinal Images,"Computers, Materials and Continua"
mobile_memory,Effects of mobile-based cognitive interventions for the cognitive function in the community-dwelling older adults: A systematic review and meta-analysis,Archives of Gerontology and Geriatrics
mobile_memory,Halide perovskite photovoltaics for in-sensor reservoir computing,Nano Energy
mobile_memory,Integrating adult neurogenesis and human brain organoid models to advance epilepsy and associated behavioral research,Epilepsy & Behavior
mobile_memory,A Novel intelligent SAV oriented QL-based task offloading in mobile edge environments,Expert Systems with Applications
mobile_memory,The puzzle of experience vs. memory: Peak-end theory and strategic gamification design in M-commerce,Information & Management
mobile_memory,Study of robust package strength characterization of memory packages for handheld application,"Memories - Materials, Devices, Circuits and Systems"
mobile_memory,Approximate data mapping in refresh-free DRAM for energy-efficient computing in modern mobile systems,Computer Communications
mobile_memory,Transactive memory system (TMS) and knowledge sharing: The effects of social capital and task visibility,Library & Information Science Research
mobile_memory,Multisensory training based on an APP for enhanced verbal working memory in older adults,Internet Interventions
mobile_memory,Approximation algorithms for vehicle-aided periodic data collection from mobile sensors with obstacle avoidance in WSNs,Ad Hoc Networks
mobile_memory,Enabling secure lightweight mobile Narrowband Internet of Things (NB-IoT) applications using blockchain,Journal of Network and Computer Applications
mobile_memory,Multi-Binary Classifiers Using Optimal Feature Selection for Memory-Saving Intrusion Detection Systems,CMES - Computer Modeling in Engineering and Sciences
mobile_memory,Privacy-preserving edge federated learning for intelligent mobile-health systems,Future Generation Computer Systems
mobile_memory,Delay-guaranteed Mobile Augmented Reality Task Offloading in Edge-assisted Environment,Ad Hoc Networks
mobile_memory,Privacy Enhanced Mobile User Authentication Method Using Motion Sensors,CMES - Computer Modeling in Engineering and Sciences
mobile_memory,Activity-based model based on long short-term memory network and mobile phone signalling data,Transportmetrica A Transport Science
mobile_memory,DeepReality: An open source framework to develop AI-based augmented reality applications,Expert Systems with Applications
mobile_memory,Data accumulation in WSNs using a mobile sink: A linear programming approach,Measurement: Sensors
mobile_memory,Mobile applications for cognitive training: Content analysis and quality review,Internet Interventions
mobile_memory,Temporal moments of one-dimensional advective-dispersive transport with exchange represented via memory function models: Application to river corridor transport,Advances in Water Resources
mobile_memory,Mobility-aware coded caching in D2D communication networks,Physical Communication
mobile_memory,Effects of different interaction modes on fatigue and reading effectiveness with mobile phones,International Journal of Industrial Ergonomics
mobile_memory,Analysis and projection of market concentration for mobile internet operators in Colombia,Results in Engineering
mobile_memory,The effects of radiofrequency exposure on cognition: A systematic review and meta-analysis of human observational studies,Environment International
mobile_memory,An efficient GPU-accelerated inference engine for binary neural network on mobile phones,Journal of Systems Architecture
mobile_memory,Design and Application of English Assisted Learning System Based on Mobile Learning Platform,Procedia Computer Science
mobile_memory,A decision-making mechanism for task offloading using learning automata and deep learning in mobile edge networks,Heliyon
mobile_memory,LSTM-Oppurs: Opportunistic user recruitment strategy based on deep learning in mobile crowdsensing system,Future Generation Computer Systems
mobile_memory,Readiness for mHealth interventions in Jordan: Refugee camp and urban community survey,Internet Interventions
mobile_memory,Continual learning-based trajectory prediction with memory augmented networks,Knowledge-Based Systems
mobile_memory,Synchronized Diabetes Monitoring System: Development of Smart Mobile Apparatus for Diabetes Using Insulin,IRBM
mobile_memory,Understanding the encoding of object locations in small-scale spaces during free exploration using eye tracking,Neuropsychologia
mobile_memory,Application of mobile sensors based on deep neural networks in sports psychological detection and prevention,Preventive Medicine
mobile_memory,Performance Analysis of CNN Models for Mobile Device Eye Tracking with Edge Computing,Procedia Computer Science
mobile_memory,Frontal-midline theta and posterior alpha oscillations index early processing of spatial representations during active navigation,Cortex
mobile_memory,Almost uniform deployment of mobile agents in dynamic rings,Information and Computation
mobile_memory,A lightweight convolutional neural network for automated crack inspection,Construction and Building Materials
