keyword,title,publication
mobile_performance,Disentangling the influence of mobile learning usability and its determinants–PLS-SEM and importance-performance investigation,Computers and Education Open
mobile_performance,What is next in mobile-assisted reading? Insights from a decade of eye tracking research into cognitive processes,Educational Research Review
mobile_performance,Performance on massive MIMO enabled mobile edge computing networks: Parallel computing modeling,Physical Communication
mobile_performance,Simulation study on four-wheeled mobile robot mechanisms using various performance criteria,Robotics and Autonomous Systems
mobile_performance,Analytical performance evaluation of hemoglobin A1c on an ARKRAY HA-8160 analyzer with newly-developed mobile phase buffer,Practical Laboratory Medicine
mobile_performance,The effect of TeamSTEPPS® mobile-based training on perceptions of teamwork and team performance of operating room staff,Perioperative Care and Operating Room Management
mobile_performance,Evaluating an autonomous electric robot for real farming applications,Smart Agricultural Technology
mobile_performance,An energy-saving joint resource allocation strategy for mobile edge computing,Physical Communication
mobile_performance,Localization over distributed mobile adaptive networks based on coarsely quantized data,Journal of the Franklin Institute
mobile_performance,Mobile money innovations and health performance in sub-Saharan Africa,Technology in Society
mobile_performance,How to choose mobile energy storage or fixed energy storage in high proportion renewable energy scenarios: Evidence in China,Applied Energy
mobile_performance,Retention factor variation on wide range of mobile phase compositions in reversed-phase high-performance liquid chromatography; a short tutorial,Journal of Chromatography Open
mobile_performance,Modelling the microscale spatial distribution of urban air temperature in suburban sprawl,Urban Climate
mobile_performance,The influence of the mobile money payment on the performance of small and medium enterprises in Somalia,Technological Forecasting and Social Change
mobile_performance,Systematic survey on artificial intelligence based mobile crowd sensing and sourcing solutions: Applications and security challenges,Ad Hoc Networks
mobile_performance,Leveraging Mobile Device-Collected Up-Down Hop Test Data for Comprehensive Functional Mobility Assessment,Procedia Computer Science
mobile_performance,Heat transfer modeling with fixed and mobile heaters for frost protection in apple orchards,Computers and Electronics in Agriculture
mobile_performance,DBSCAN and Yolov5 based 3D object detection and its adaptation to a mobile platform,Mechatronics
mobile_performance,"Critical review on mobile direct air capture: Concept expansion, characteristic description, and performance evaluation",Matter
mobile_performance,"Outdoor mobile broadband performance analysis in Malaysia, Singapore, and Thailand",Results in Engineering
mobile_performance,Comparative study of adaptive trajectory tracking controller for four-wheel mobile robot with prescribed-prediction performance,Control Engineering Practice
mobile_performance,Full-scale experiment on the ventilation performance of vehicle-mounted mobile fans in a road tunnel,Tunnelling and Underground Space Technology
mobile_performance,Construction and kinematic performance analysis of a suspension support for wind tunnel tests of spinning projectiles based on wire-driven parallel robot with kinematic redundancy,Chinese Journal of Aeronautics
mobile_performance,An empirical study on the performance and energy costs of ads and analytics in mobile web apps,Information and Software Technology
mobile_performance,Automatic detection of tunnel lining crack based on mobile image acquisition system and deep learning ensemble model,Tunnelling and Underground Space Technology
mobile_performance,Speech recognition based on mobile sensor networks application in English education intelligent assisted learning system,Measurement: Sensors
mobile_performance,Path optimization algorithm for mobile sink in wireless sensor network,Expert Systems with Applications
mobile_performance,Experimental evaluation of 5G performance based on a digital twin of a machine tool,CIRP Journal of Manufacturing Science and Technology
mobile_performance,IoT-based MANET performance improvement against jamming attackers in different mobile applications,"e-Prime - Advances in Electrical Engineering, Electronics and Energy"
mobile_performance,Activity type detection of mobile phone data based on self-training: Application of the teacher–student cycling model,Transportation Research Part C: Emerging Technologies
mobile_performance,Utility and hedonic perception- Customers’ intention towards using of QR codes in mobile payment of Generation Y and Generation Z,Electronic Commerce Research and Applications
mobile_performance,A deterministic robust control with parameter optimization for uncertain two-wheel driven mobile robot,ISA Transactions
mobile_performance,Financial equality through technology: Do perceived risks deter Indian women from sustained use of mobile payment services?,International Journal of Information Management Data Insights
mobile_performance,Research on ground mobile robot trajectory tracking control based on MPC and ANFIS,Control Engineering Practice
mobile_performance,Development of deep learning-based mobile application for predicting in-situ habitat suitability of Perilla frutescens L. in real-time,Smart Agricultural Technology
mobile_performance,IMAGE SENSOR FUSION FOR MULTIMODAL BIOMETRIC RECOGNITION IN MOBILE DEVICES,Measurement: Sensors
mobile_performance,Cooperative path planning study of distributed multi-mobile robots based on optimised ACO algorithm,Robotics and Autonomous Systems
mobile_performance,Learning efficiency maximization in UAV-and-RIS-aided mobile edge learning system,Computer Networks
mobile_performance,LUR modeling of long-term average hourly concentrations of NO2 using hyperlocal mobile monitoring data,Science of The Total Environment
mobile_performance,"Integrated, multi-scale and multi-objective design of batch food processing plants. Part 2: Application to a mobile fruit and vegetable processing unit",Food and Bioproducts Processing
mobile_performance,Server-Side Systems and Mobile Apps for Optimal Job Search Experiences,Procedia Computer Science
mobile_performance,Finite Element Simulation Analysis of a Novel 3D-FRSPA for Crawling Locomotion,CMES - Computer Modeling in Engineering and Sciences
mobile_performance,The path to cashless transaction: A study of user intention and attitudes towards quick response mobile payments,Heliyon
mobile_performance,A fault tolerant node placement algorithm for WSNs and IoT networks,Computer Networks
mobile_performance,Continuous stiffness optimization of mobile robot in automated fiber placement,Robotics and Computer-Integrated Manufacturing
mobile_performance,Data secure transmission intelligent prediction algorithm for mobile industrial IoT networks,Digital Communications and Networks
mobile_performance,Truth discovery for mobile workers in edge-assisted mobile crowdsensing,ICT Express
mobile_performance,Fuzzy cluster-based multi-node charging strategy in mobile sensor networks,Ad Hoc Networks
mobile_performance,Mobile money transactions and banking sector performance in Ghana,Heliyon
mobile_performance,Evaluating task executability of mobile robots with performance maps,Procedia CIRP
mobile_performance,Real-time field disease identification based on a lightweight model,Computers and Electronics in Agriculture
mobile_performance,Implementing mobile health in your surgical practice: Results of a multidisciplinary convening,Surgery
mobile_performance,Scheduling independent tasks on multiple cloud-assisted edge servers with energy constraint,Journal of Parallel and Distributed Computing
mobile_performance,ShaderNN: A lightweight and efficient inference engine for real-time applications on mobile GPUs,Neurocomputing
mobile_performance,Research on extreme obstacle–crossing performance and multi–objective optimization of tracked mobile robot,Robotics and Autonomous Systems
mobile_performance,Mobile ad hoc network access authentication mechanism based on rotation election and two-factor aggregation,Computer Networks
mobile_performance,An optimization scheme of data link security transmission based on mobile edge computing,Ad Hoc Networks
mobile_performance,Design and prototyping of smart mobile grinding bots as an educational experience,Manufacturing Letters
mobile_performance,Addressing the Issues and Developments Correlated with Envisaged 5G Mobile Technologies: Comprehensive Solutions,"Computers, Materials and Continua"
mobile_performance,"Leveraging mobile NER for real-time capture of symptoms, diagnoses, and treatments from clinical dialogues",Informatics in Medicine Unlocked
mobile_performance,Entertainment robots based on swarm intelligence algorithm applied in remote dance performances,Entertainment Computing
mobile_performance,MoMa: An assistive mobile manipulator with a webcam-based gaze control system,HardwareX
mobile_performance,An architecture for control plane slicing in beyond 5G networks,Computer Networks
mobile_performance,Performance of Vehicle Add-on Mobile Monitoring System PM2.5 measurements during wildland fire episodes,Environmental Science: Atmospheres
mobile_performance,Learning-driven service caching in MEC networks with bursty data traffic and uncertain delays,Computer Networks
