keyword,title,publication
mobile_resource,An energy-saving joint resource allocation strategy for mobile edge computing,Physical Communication
mobile_resource,Truthful mechanism for joint resource allocation and task offloading in mobile edge computing,Computer Networks
mobile_resource,Adaptive Resource Allocation Algorithm for 5G Vehicular Cloud Communication,"Computers, Materials and Continua"
mobile_resource,"Healthcare professionals' willingness to utilize a mobile health application for adverse drug reaction reporting in a limited resource setting: An input for digital health, 2023",European Journal of Obstetrics & Gynecology and Reproductive Biology: X
mobile_resource,A truthful randomized mechanism for task allocation with multi-attributes in mobile edge computing,Journal of King Saud University - Computer and Information Sciences
mobile_resource,Conversational rhythm as a disconnective practice among middle-aged adults in situated mobile-messaging interactions,Journal of Pragmatics
mobile_resource,"Research allocation in mobile volunteer computing system: Taxonomy, challenges and future work",Future Generation Computer Systems
mobile_resource,Load-balanced offloading of multiple task types for mobile edge computing in IoT,Internet of Things
mobile_resource,Task offloading framework to meet resiliency demand in mobile edge computing system,Sustainable Computing: Informatics and Systems
mobile_resource,Service placement strategies in mobile edge computing based on an improved genetic algorithm,Pervasive and Mobile Computing
mobile_resource,Privacy-preserving edge federated learning for intelligent mobile-health systems,Future Generation Computer Systems
mobile_resource,"An economic analysis of the cost of mobile units for harm reduction, naloxone distribution, and medications for opioid use disorder",Journal of Substance Use and Addiction Treatment
mobile_resource,Intelligent joint communication and computation scheme of UAV-assisted Offloading in high speed rail scenarios,Digital Communications and Networks
mobile_resource,Improving interdependent urban power and gas distribution systems resilience through optimal scheduling of mobile emergency supply and repair resources,Reliability Engineering & System Safety
mobile_resource,Performance on massive MIMO enabled mobile edge computing networks: Parallel computing modeling,Physical Communication
mobile_resource,Fog-computing based mobility and resource management for resilient mobile networks,High-Confidence Computing
mobile_resource,Dynamic computation scheduling for hybrid energy mobile edge computing networks,Journal of Systems Architecture
mobile_resource,Efficient resource allocation for IoT applications in mobile edge computing via dynamic request scheduling optimization,Expert Systems with Applications
mobile_resource,Two-stage optimization of computation offloading for ICN-assisted mobile edge computing in 6G network,ICT Express
mobile_resource,Multi-overlapping disaster rolling recovery of unbalanced distribution systems collaborated with repair crews and mobile power sources,"Sustainable Energy, Grids and Networks"
mobile_resource,"Mobile money and financial inclusion in Africa: Emerging themes, challenges and policy implications",Technological Forecasting and Social Change
mobile_resource,Private compression for intermediate feature in IoT-supported mobile cloud inference,Displays
mobile_resource,Deep Reinforcement Learning-based computation offloading and distributed edge service caching for Mobile Edge Computing,Computer Networks
mobile_resource,Movement of ACC oxidase 3 mRNA from seeds to flesh promotes fruit ripening in apple,Molecular Plant
mobile_resource,"Deep Neural Networks meet computation offloading in mobile edge networks: Applications, taxonomy, and open issues",Journal of Network and Computer Applications
mobile_resource,GCAGA: A Gini Coefficient-Based Optimization Strategy for Computation Offloading in Multi-User-Multi-Edge MEC System,"Computers, Materials and Continua"
mobile_resource,Mobile traffic prediction with attention-based hybrid deep learning,Physical Communication
mobile_resource,Learning efficiency maximization in UAV-and-RIS-aided mobile edge learning system,Computer Networks
mobile_resource,MaDroid: A maliciousness-aware multifeatured dataset for detecting android malware,Computers & Security
mobile_resource,Optimizing point-of-sale services in MEC enabled near field wireless communications using multi-agent reinforcement learning,Computer Communications
mobile_resource,Mobility-aware and energy-efficient offloading for mobile edge computing in cellular networks,Ad Hoc Networks
mobile_resource,DCOOL: Dynamic computation offloading and resource allocation for LEO satellite-assisted edge computing in a ground-space integrated framework,ICT Express
mobile_resource,Practical benefits and lessons in adapting mobile applications to household travel surveys in developing countries,Transportation Research Procedia
mobile_resource,Delay-sensitive resource allocation for IoT systems in 5G O-RAN networks,Internet of Things
mobile_resource,A Novel intelligent SAV oriented QL-based task offloading in mobile edge environments,Expert Systems with Applications
mobile_resource,Computing Resource Allocation for Blockchain-Based Mobile Edge Computing,CMES - Computer Modeling in Engineering and Sciences
mobile_resource,MobFedLS: A framework to provide federated learning for mobile nodes in V2X environments,Future Generation Computer Systems
mobile_resource,Mobile safety apps: a material feminist orientation to precarious mobilities,Mobilities
mobile_resource,Federated deep reinforcement learning for task offloading and resource allocation in mobile edge computing-assisted vehicular networks,Journal of Network and Computer Applications
mobile_resource,Delay-guaranteed Mobile Augmented Reality Task Offloading in Edge-assisted Environment,Ad Hoc Networks
mobile_resource,An expert system for hybrid edge to cloud computational offloading in heterogeneous MEC–MCC environments,Journal of Network and Computer Applications
mobile_resource,A two-level game theoretic approach for task offloading in mobile edge computing,Engineering Applications of Artificial Intelligence
mobile_resource,Service caching and user association in cache enabled multi-UAV assisted MEN for latency-sensitive applications,Computers and Electrical Engineering
mobile_resource,Renewable microgeneration cooperation with base station sleeping-mode strategy for energy-efficient operation of 5G infrastructures,"Sustainable Energy, Grids and Networks"
mobile_resource,Distributed reinforcement learning-based optimization of resource scheduling for telematics,Computers and Electrical Engineering
mobile_resource,Spatio-temporal graph learning: Traffic flow prediction of mobile edge computing in 5G/6G vehicular networks,Computer Networks
mobile_resource,"Multi-objective optimization in order to allocate computing and telecommunication resources based on non-orthogonal access, participation of cloud server and edge server in 5G networks",Journal of King Saud University - Computer and Information Sciences
mobile_resource,MEC-enabled resource allocation in Internet of Vehicles,Physical Communication
mobile_resource,L2 listening in a digital era: Developing and validating the mobile-assisted self-regulated listening strategy questionnaire (MSRLS-Q),System
