keyword,title,publication
mobile_response,Experimental study on hydrodynamic performance of mobile training structure mooring system and numerical study on the influence of submerged state on sediment transport,Ocean Engineering
mobile_response,The path to cashless transaction: A study of user intention and attitudes towards quick response mobile payments,Heliyon
mobile_response,Effects of a mobile-based bioterrorism response program among clinical nurses: A quasi-experimental study,Nurse Education Today
mobile_response,Neuromodulatory developmental learning of the mobile robots corresponding to the unexpected obstacles,Cognitive Systems Research
mobile_response,Transport vibration analysis of mobile liquid Pb-Bi micro-reactors with non-uniform mass distribution,Nuclear Engineering and Design
mobile_response,Task offloading scheme in Mobile Augmented Reality using hybrid Monte Carlo tree search (HMCTS),Alexandria Engineering Journal
mobile_response,Utility and hedonic perception- Customers’ intention towards using of QR codes in mobile payment of Generation Y and Generation Z,Electronic Commerce Research and Applications
mobile_response,Data for developing computerized adaptive testing of problematic mobile phone use,Data in Brief
mobile_response,Response time evaluation of mobile applications combining network protocol analysis and information fusion,Information and Software Technology
mobile_response,"Mobile money, credit to deposit ratio and monetary policy: Empirics from Ghana",Transnational Corporations Review
mobile_response,Modelling the response times of mobile phone distracted young drivers: A hybrid approach of decision tree and random parameters duration model,Analytic Methods in Accident Research
mobile_response,Unraveling the prerequisites of citizen engagement intentions initiated by mobile government social media during emergencies: An integrative dual SEM-ANN analysis,International Journal of Disaster Risk Reduction
mobile_response,Development and validation of an HILIC/MS/MS method for determination of nusinersen in rabbit plasma,Heliyon
mobile_response,All-printed wearable humidity sensor with hydrophilic polyvinylpyrrolidone film for mobile respiration monitoring,Sensors and Actuators B: Chemical
mobile_response,"The Mobile Overdose Response Program: A mobile, low-threshold opioid use disorder treatment model in Philadelphia",Journal of Substance Use and Addiction Treatment
mobile_response,Feasibility of app-based home monitoring after abdominal surgery: A systematic review,The American Journal of Surgery
mobile_response,A truthful randomized mechanism for task allocation with multi-attributes in mobile edge computing,Journal of King Saud University - Computer and Information Sciences
mobile_response,Quantized control for interconnected PDE systems via mobile measurement and control strategies,Journal of the Franklin Institute
mobile_response,Shopping through mobile augmented reality: The impacts of AR embedding and embodiment attributes on consumer-based brand equity,Information & Management
mobile_response,An empirical investigation to understand mobile phone users’ behavioural intention to give their end-of-life mobile phones for formal recycling,Waste Management
mobile_response,A digital twin dynamic migration method for industrial mobile robots,Robotics and Computer-Integrated Manufacturing
mobile_response,Full-scale experiment on the ventilation performance of vehicle-mounted mobile fans in a road tunnel,Tunnelling and Underground Space Technology
mobile_response,KRTunnel: DNS channel detector for mobile devices,Computers & Security
mobile_response,On the generalizability of using mobile devices to conduct economic experiments,Journal of Behavioral and Experimental Economics
mobile_response,Mobile money as a driver of digital financial inclusion,Technological Forecasting and Social Change
mobile_response,Synergistic effects and optimal control strategies of air pollutant and carbon emission reduction from mobile sources,Journal of Cleaner Production
mobile_response,A decision model for OTT service users to adopt wireless D2D caching networks: Exploring the Korean case,Telecommunications Policy
mobile_response,Deciphering the resistance behaviours towards mobile commerce applications: A Mobile Commerce Applications Resistance Theory (MOCART),Computers in Human Behavior
mobile_response,Temperature-dependent ion migration and mobile-ion-induced degradation of perovskite solar cells under illumination,Solar Energy Materials and Solar Cells
