keyword,title,publication
mobile_responsiveness,An energy-saving joint resource allocation strategy for mobile edge computing,Physical Communication
mobile_responsiveness,A digital twin dynamic migration method for industrial mobile robots,Robotics and Computer-Integrated Manufacturing
mobile_responsiveness,Double-inverse-opal structured films of a hydrogel framework and mobile inorganic particles,Colloids and Surfaces A: Physicochemical and Engineering Aspects
mobile_responsiveness,A portable hydrogel kit based on Au@GM88A/I combined with mobile phone for polychromatic semi-quantitative and quantitative sensing analysis,Biosensors and Bioelectronics
mobile_responsiveness,Recourse strategy for the routing problem of mobile parcel lockers with time windows under uncertain demands,European Journal of Operational Research
mobile_responsiveness,"Automated, Point-of-Care mobile flow cytometry: Bringing the laboratory to the sample",Heliyon
mobile_responsiveness,The use of digital twin for mobile robot swarm task allocation,Manufacturing Letters
mobile_responsiveness,Real-Time Prediction of Urban Traffic Problems Based on Artificial Intelligence-Enhanced Mobile Ad Hoc Networks (MANETS),"Computers, Materials and Continua"
mobile_responsiveness,Psychometric properties of the Mobile Phone Parenting Practices Questionnaire (MPPPQ) for Chinese separated families with young children,Acta Psychologica
mobile_responsiveness,Drivers’ self-regulatory behaviors in active and responsive scenarios,Traffic Injury Prevention
mobile_responsiveness,Multi-agent policy learning-based path planning for autonomous mobile robots,Engineering Applications of Artificial Intelligence
mobile_responsiveness,IoT-based smart protection system to address agro-farm security challenges in Bangladesh,Smart Agricultural Technology
mobile_responsiveness,Version [1.1.0]- [DLDiagnosis: A mobile and web application for diseases classification using Deep Learning],SoftwareX
mobile_responsiveness,Mobile assessment of visual function helps to prevent Re-Injury in elderly patients with recent hip fractures,Injury
mobile_responsiveness,"Mobile treatment for opioid use disorder: Implementation of community-based, same-day medication access interventions",Journal of Substance Use and Addiction Treatment
mobile_responsiveness,Enhancing Usability: A Grounded Theory Approach-based Scrum Framework for Mobile Application Design,Procedia Computer Science
mobile_responsiveness,Using a Randomized Clinical Trial to Test the Efficacy of a Culturally Responsive Mobile Health Application in African Americans,Behavior Therapy
mobile_responsiveness,A Holonic Control System Approach for Line-less Mobile Assembly System Operations,Procedia CIRP
mobile_responsiveness,Translating and piloting a cardiovascular risk assessment and management online tool using mobile technology,Saudi Pharmaceutical Journal
mobile_responsiveness,An equity-focused approach to improving access to COVID-19 vaccination using mobile health clinics,Healthcare
mobile_responsiveness,5G enabled smart cities: A real-world evaluation and analysis of 5G using a pilot smart city application,Internet of Things
mobile_responsiveness,From e-commerce to m-commerce: An analysis of the user’s experience with different access platforms,Electronic Commerce Research and Applications
mobile_responsiveness,Speeding up temperature-responsive × reversed-phase comprehensive liquid chromatography through the combined exploitation of temperature and flow rate gradients,Journal of Chromatography A
mobile_responsiveness,Customer retention through service quality and satisfaction: using hybrid SEM-neural network analysis approach,Heliyon
mobile_responsiveness,Participatory AI for inclusive crop improvement,Agricultural Systems
mobile_responsiveness,Persistent effects of mobile phone conversation while driving after disconnect: Physiological evidence and driving performance,Heliyon
mobile_responsiveness,Nothing about us without us: Community-based participatory research to improve HIV care for mobile patients in Kenya and Uganda,Social Science & Medicine
mobile_responsiveness,Seeing is believing? Data mining to create a choice-based conjoint approach for restaurant mobile marketing,International Journal of Hospitality Management
mobile_responsiveness,"Industrial energy hubs with electric, thermal and hydrogen demands for resilience enhancement of mobile storage-integrated power systems",International Journal of Hydrogen Energy
mobile_responsiveness,La stratégie de résilience continue du RRF,Médecine de Catastrophe - Urgences Collectives
mobile_responsiveness,Design and implementation of privacy-preserving federated learning algorithm for consumer IoT,Alexandria Engineering Journal
mobile_responsiveness,Energy sharing optimization strategy of smart building cluster considering mobile energy storage characteristics of electric vehicles,Electric Power Systems Research
mobile_responsiveness,Development of a Real Time Smishing Detection Mobile Application using Rule Based Techniques,Procedia Computer Science
mobile_responsiveness,Stimuli-responsive chitosan-based nanocarriers for drug delivery in wound dressing applications: A review,Carbohydrate Polymer Technologies and Applications
mobile_responsiveness,Road to efficiency: Mobility-driven joint task offloading and resource utilization protocol for connected vehicle networks,Future Generation Computer Systems
mobile_responsiveness,Towards culturally sustaining design: Centering community’s voices for learning through Participatory Design,International Journal of Child-Computer Interaction
mobile_responsiveness,The application of a novel biomimetic enzyme p-BEs cascade catalytic platform for the rapid detection of glucose,International Journal of Biological Macromolecules
mobile_responsiveness,Continuance intention in gamified mobile applications: A study of behavioral inhibition and activation systems,International Journal of Information Management
mobile_responsiveness,Long-distance transport of the pear HMGR1 mRNA via the phloem is associated with enhanced salt tolerance,Plant Science
mobile_responsiveness,A novel dual-network CO2-responsive particle gel for mitigating CO2 channeling and leakage in hydrocarbon recovery and carbon storage,Chemical Engineering Journal
mobile_responsiveness,Software micro-rejuvenation for Android mobile systems,Journal of Systems and Software
mobile_responsiveness,Design and rationale of the cardiometabolic health program linked with community health workers and mobile health telemonitoring to reduce health disparities (LINKED-HEARTS) program,American Heart Journal
mobile_responsiveness,Exploring the factors that affect user experience in mobile-health applications: A text-mining and machine-learning approach,Journal of Business Research
mobile_responsiveness,Saliva-STAT: Sample-to-answer saliva test for COVID-19,Sensors and Actuators B: Chemical
mobile_responsiveness,Interface and interaction design: How mobile touch devices foster cognitive offloading,Computers in Human Behavior
mobile_responsiveness,Implementations of temperature gradients in temperature-responsive liquid chromatography,Journal of Chromatography A
mobile_responsiveness,Mist–fog-assisted real-time emotion recognition using deep transfer learning framework for smart city 4.0,Internet of Things
mobile_responsiveness,Waterborne polyurethane nanoparticles incorporating linoleic acid as a potential strategy for controlling antibiotic resistance spread in the mammalian intestine,Materials Today Bio
mobile_responsiveness,"Patient-Reported Outcome Measures in Chronic Spontaneous Urticaria, Angioedema, and Atopic Dermatitis",The Journal of Allergy and Clinical Immunology: In Practice
mobile_responsiveness,Adaptive mixed reality robotic games for personalized consumer robot entertainment,Entertainment Computing
mobile_responsiveness,M-commerce: The nexus between mobile shopping service quality and loyalty,Journal of Retailing and Consumer Services
mobile_responsiveness,Temperature-responsive comprehensive two-dimensional liquid chromatography coupled to high resolution mass spectrometry for the elucidation of the oxidative degradation processes of chemicals of environmental concern,Journal of Chromatography A
mobile_responsiveness,Delta GUI change detection using inferred models,Computer Standards & Interfaces
mobile_responsiveness,Triboelectric based smart ceramic tiles,Nano Energy
mobile_responsiveness,Controlling transmembrane ion transport via photo-regulated carrier mobility,Chemical Science
mobile_responsiveness,"A battery-free, wireless, flexible bandlike e-nose based on MEMS gas sensors for precisely volatile organic compounds detection",Nano Energy
mobile_responsiveness,A constitutive and drought-responsive mRNA undergoes long-distance transport in pear (Pyrus betulaefolia) phloem,Plant Science
mobile_responsiveness,Distribution of the benefits of regulation vs. competition: The case of mobile telephony in South Africa,International Journal of Industrial Organization
mobile_responsiveness,"Associations between technoference, quality of parent-infant interactions, and infants’ vocabulary development",Infant Behavior and Development
mobile_responsiveness,Pyramidal island for enhance response in ZnO/Cu2O heterojunction self-powered photodetector,Journal of Luminescence
mobile_responsiveness,High-performance lung-targeted bio-responsive platform for severe colistin-resistant bacterial pneumonia therapy,Bioactive Materials
mobile_responsiveness,Multi-functional pH-sensitive active and intelligent packaging based on highly cross-linked zein for the monitoring of pork freshness,Food Chemistry
mobile_responsiveness,7: Stimuli-responsive polymer nanocomposite films and coatings,Polymer Nanocomposite Films and Coatings
mobile_responsiveness,Influence of Mobile-friendly Design to Search Results on Google Search,Procedia - Social and Behavioral Sciences
mobile_responsiveness,Achievement of Developmental Milestones Recorded in Real Time: A Mobile App-Based Study,The Journal of Pediatrics
mobile_responsiveness,"Linezolid-Resistant Enterococcus faecalis of Chicken Origin Harbored Chromosome-Borne optrA and Plasmid-Borne cfr, cfr(D), and poxtA2 Genes",Microbiology Spectrum
mobile_responsiveness,"Validating the relationship between service quality, patient sensitivity and experience towards medical applications using SERVQUAL",International Journal of Medical Informatics
mobile_responsiveness,AmbientTalk: programming responsive mobile peer-to-peer applications with actors,"Computer Languages, Systems & Structures"
mobile_responsiveness,MB-MaaS: Mobile Blockchain-based Mining-as-a-Service for IIoT environments,Journal of Parallel and Distributed Computing
mobile_responsiveness,A gravity analysis of refugee mobility using mobile phone data,Journal of Development Economics
mobile_responsiveness,On-column modification for the creation of temperature-responsive stationary phases,Analytica Chimica Acta
mobile_responsiveness,A Mobile First Approach for the Development of a Sustainability Game,Procedia Computer Science
mobile_responsiveness,How roots and shoots communicate through stressful times,Trends in Plant Science
mobile_responsiveness,"Development of a customized m-Health-based intervention to reduce loss to follow-up among patients undergoing treatment for cervical lesions at a rural referral Hospital, South Western Uganda",Gynecologic Oncology Reports
mobile_responsiveness,Modern and Responsive Mobile-enabled Web Applications,Procedia Computer Science
mobile_responsiveness,TraineR: A crowd training platform for deep learning image labeling tasks,Software Impacts
mobile_responsiveness,Traditional and mobile devices in computer assisted web-interviews,Transportation Research Procedia
mobile_responsiveness,Three-stage fuzzy-metaheuristic algorithm for smart cities: Scheduling mobile charging and automatic rule tuning in WRSNs,Applied Soft Computing
mobile_responsiveness,A fluorescent sensor for intracellular Zn2+ based on cylindrical molecular brushes of poly(2-oxazoline) through ion-induced emission,Polymer Chemistry
mobile_responsiveness,The attitude of potentially less mobile people towards demand responsive transport in a rural area in central Germany,Journal of Transport Geography
mobile_responsiveness,Low nutrient losses by deep leaching after clearcutting and replanting Eucalyptus plantations in Brazil,Forest Ecology and Management
mobile_responsiveness,Diffusion-driven height readout analytical device based on gold nanobipyramid-doped supramolecular hydrogel for point-of-care bioanalysis,Sensors and Actuators B: Chemical
mobile_responsiveness,A demand responsive public transport for a spatially scattered population in a developing country,Case Studies on Transport Policy
mobile_responsiveness,Impact of parents mobile device use on parent-child interaction: A literature review,Computers in Human Behavior
mobile_responsiveness,The Observed Quality of Caregiver-Child Interactions With and Without a Mobile Screen Device,Academic Pediatrics
